0,1,2,3
DR #,DR Description,Section,Additional information
E3-3,Targets related to water and marine resources,-,No water targets in
,,,place
E3-4,Water consumption,Sustainability statements - Environmental information - Water - Metrics,
E3-5,Anticipated financial effects from water and marine resources-related,-,Phase-in option used in
,"impacts, risks, and opportunities",,line with ESRS 1 -
,,,Appendix C
ESRS E4 - Biodiversity and ecosystems,,,
E4-1,Transition plan and consideration of biodiversity and ecosystems in strategy,-,No transition plan in
,and business model,,place
SBM-3,"Material impacts, risks, and opportunities and their interaction with strategy","Sustainability statements - Environmental information - Biodiversity - Impacts, risks, and opportunities",
,and business model,,
IRO-1,Description of processes to identify and assess material biodiversity and,"Sustainability statements - Environmental information - Biodiversity - Impacts, risks, and opportunities",
,"ecosystem-related impacts, risks, and opportunities",,
E4-2,Policies related to biodiversity and ecosystems,Sustainability statements - Environmental information - Biodiversity - Policies,
E4-3,Actions and resources related to biodiversity and ecosystems,Sustainability statements - Environmental information - Biodiversity - Actions and progress,
E4-4,Targets related to biodiversity and ecosystems,Sustainability statements - Environmental information - Biodiversity - Targets,
E4-5,Impact metrics related to biodiversity and ecosystems change,Sustainability statements - Environmental information - Biodiversity - Targets,
E4-6,Anticipated financial effects from biodiversity and ecosystem-related risks,-,Phase-in option used in
,and opportunities,,line with ESRS 1 -
,,,Appendix C
ESRS E5 - Resource use and circular economy,,,
IRO-1,Description of the processes to identify and assess material resource use,Sustainability statements - General information - Double materiality assessment,
,"and circular economy-related impacts, risks, and opportunities",,
E5-1,Policies related to resource use and circular economy,-,
E5-2,Actions and resources related to resource use and circular economy,Sustainability statements - Our sustainable solutions - Actions and progress,
E5-3,Targets related to resource use and circular economy,-,No targets in place
E5-5,Resource outflows,Sustainability statements - Our sustainable solutions - Metrics,
E5-6,Anticipated financial effects from resource use and circular economy-related,-,Phase-in option used in
,"impacts, risks, and opportunities",,line with ESRS 1 -
,,,Appendix C
ESRS S1 - Own Workforce,,,
SBM-2,Interests and views of stakeholders,Sustainability statements - General information - Interest and views of our stakeholders,
SBM-3,"Material impacts, risks, and opportunities and their interaction with strategy","Sustainability statements - Social information - Human capital - Talent attraction, retention, and people development - How we manage our",
,and business model,impact: Strategy and governance,
