0,1,2,3,4
,,,General Disclosures,
ESRS,Topic,Data requirement,Section and page number,
ESRS E2,Pollution,IRO-1,6.1.4.1 Description of the Processes to Identify and Assess Material,
,,,"Impacts, Risks and Opportunities – EssilorLuxottica Double Materiality",
,,,Assessment p. 343,
,,E2-1,6.2.2.3 Policies p. 378,
,,E2-2,6.2.2.4 Actions and Resources p. 379,
,,E2-3,6.2.2.5 Targets and Metrics p. 380,"—
—
—"
,,E2-4,6.1.1.1 General Basis for Preparation of Sustainability Statements,
,,,p. 334,
,,E2-5,6.1.1.1 General Basis for Preparation of Sustainability Statements,
,,,p. 334,
,,E2-6,Phase-in,|1|
ESRS E3,Water and marine,IRO-1,6.1.4.1 Description of the Processes to Identify and Assess Material,
,resources,,"Impacts, Risks and Opportunities – EssilorLuxottica Double Materiality",
,,,Assessment p. 343,
,,E3-1,6.2.3.3 Policies p. 381,
,,E3-2,6.2.3.4 Actions and Resources p. 382,|2|
,,E3-3,6.2.3.5 Targets and Metrics p. 383,
,,E3-4,6.2.3.5 Targets and Metrics p. 383,
,,E3-5,Phase-in,
ESRS E4,Biodiversity,Not material,-,
,and ecosystems,,,|3|
ESRS E5,Circular economy,IRO-1,6.1.4.1 Description of the Processes to Identify and Assess Material,
,,,"Impacts, Risks and Opportunities – EssilorLuxottica Double Materiality",
,,,Assessment p. 343,
,,E5-1,6.2.4.3 Policies p. 385,
,,E5-2,6.2.4.5 Actions and Resources p. 387,|4|
,,E5-3,6.2.4.6 Targets and Metrics p. 391,
,,E5-4,6.2.4.4 Key Products and Materials p. 386,
,,E5-5,6.2.4.5 Actions and Resources p. 387,
,,E5-6,Phase-in,
,,,,|5|
,,,,|6|
,,,,|7|
,,,,|8|
