0,1,2,3
Appendix 1,,,
ESRS Index,,,
Standard,Disclosure Requirement,Location,Comment
ESRS 2 - General Disclosure,BP-1 – General basis for preparation of sustainability statements,39,
,BP-2 – Disclosures in relation to specific circumstances,39,
,"GOV-1 – The role of the administrative, management and supervisory bodies",40,
,"GOV-2 – Information provided to, and sustainability matters addressed by the undertaking’s administrative, management and supervisory bodies",40,
,GOV-3 – Integration of sustainability-related performance in incentive schemes,42,
,GOV-4 – Statement on due diligence,47,
,GOV-5 – Risk management and internal controls over sustainability reporting,39,
,"SBM-1 – Strategy, business model and value chain",43,
,SBM-2 – Interests and views of stakeholders,44,
,"SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business model",50,
,"IRO-1 – Description of the process to identify and assess material impacts, risks and opportunities",47,
,IRO-2 – Disclosure requirements in ESRS covered by the undertaking’s sustainability statement,100,
E1- Climate Change,ESRS 2 GOV-3 – Integration of sustainability-related performance in incentive schemes,66,
,E1-1 – Transition plan for climate change mitigation,63,
,"ESRS 2 SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business model",61,
,"ESRS 2 IRO-1 – Description of the processes to identify and assess material climate-related impacts, risks and opportunities",61,
,E1-2 – Policies related to climate change mitigation and adaptation,60,
,E1-3 – Actions and resources in relation to climate change policies,60,
,E1-4 – Targets related to climate change mitigation and adaptation,67,
,E1-5 – Energy consumption and mix,71,
,"E1-6 – Gross Scopes 1, 2, 3 and Total GHG emissions",73,
,E1-7 – GHG removals and GHG mitigation projects financed through carbon credits,69,
,E1-9 – Anticipated financial effects from material physical and transition risks and potential climate-related opportunities,,Phased in.
