0,1,2,3,4,5
Section / ESRS,Disclosure Requirement,Page,Section / ESRS,Disclosure Requirement,Page
Social information,,,Social information,,
"ESRS S1 Own 
workforce",ESRS 2 SBM-2 – Interests and views of stakeholders,81,"ESRS S2 Workers in 
the value chain",ESRS 2 SBM-2 – Interests and views of stakeholders,94
,"ESRS 2 SBM-3 – Material impacts, risks and opportunities and their interaction with 
strategy and business model",82,,"ESRS 2 SBM-3 – Material impacts, risks and opportunities and their interaction with 
strategy and business model",95
,S1-1 – Policies related to own workforce,83,,S2-1 – Policies related to value chain workers,95
,"S1-2 – Processes for engaging with own workers and workers’ representatives about 
impacts",85,,S2-2 – Processes for engaging with value chain workers about impacts,97
,S1-3 – Processes to remediate negative impacts and channels for own workers to raise,,,"S2-3 – Processes to remediate negative impacts and channels for value chain workers 
to raise concerns",97
,concerns,86,,"S2-4 – Taking action on material impacts on value chain workers, and approaches to",
,"S1-4 – Taking action on material impacts on own workforce, and approaches to 
mitigating material risks and pursuing material opportunities related to own workforce,",,,"managing material risks and pursuing material opportunities related to value chain 
workers, and effectiveness of those actions",98
,and effectiveness of those actions,87,,"S2-5 – Targets related to managing material negative impacts, advancing positive",
,"S1-5 – Targets related to managing material negative impacts, advancing positive 
impacts, and managing material risks and opportunities",89,,"impacts, and managing material risks and opportunities",99
,S1-6 – Characteristics of the undertaking’s employees,91,Governance information,,
,S1-9 – Diversity metrics,92,"ESRS G1 Business 
Conduct","ESRS 2 GOV-1 – The role of the administrative, supervisory and management bodies",101
,S1-10 – Adequate wages,92,,"ESRS 2 IRO-1 – Description of the processes to identify and assess material impacts, 
risks and opportunities",103
,S1-14 – Health and safety metrics,92,,G1-1– Business conduct policies and corporate culture,104
,S1-16 – Compensation metrics (pay gap and total compensation),93,,G1-2 – Management of relationships with suppliers,105
,"S1-17 – Incidents, complaints and severe human rights impacts",93,,G1-3 – Prevention and detection of corruption and bribery,106
,,,,G1-4 – Confirmed incidents of corruption or bribery,107
,,,,G1-6 – Payment practices,107
