0,1,2
ESRS G1 Business conduct,,
Disclosure requirement,,"Section
ESRS 2: Governance"
"ESRS 2, GOV-1","The role of the administrative, 
supervisory and management",E
,bodies,"SRS G1: Business conduct policies and 
corporate culture"
"ESRS 2, IRO-1","Description of the processes 
to identify and assess material","E
ESRS 2: Double materiality assessment"
,"impacts, risks and opportunities","SRS G1: Introduction to the topic
ESRS G1: Business conduct policies and"
,,corporate culture
G1-1,"Corporate culture and business 
conduct policies and corporate","E
SRS G1: Remediation and"
,culture,whistleblowing channel
,,"E
SRS G1: Prevention and detection of 
corruption and bribery"
G1-2,"Management of relationships 
with suppliers","ESRS G1: Management of relationships 
with suppliers"
,,"ESRS G1: Remediation and 
whistleblowing channel"
G1-3,"Prevention and detection of 
corruption and bribery",E
,,"SRS G1: Prevention and detection of 
corruption and bribery"
G1-4,"Confirmed incidents of 
corruption or bribery","ESRS G1: Incidents of corruption and 
bribery"
