0,1,2,3,4
ESRS STANDARD,DISCLOSURE REQUIREMENT,PHASE-IN,"INCORPORATION 
BY REFERENCE",PAGE
"E3 Water 
and marine",Not material. For further detail see paragraph “Double Materiality” with reference,,,
ecosystems,to ESRS 2 IRO-1,,,
,Strategy,,,
,"E4 SBM-3 Material impacts, risks and opportunities and their interaction with 
strategy and business model",,,196
,"Impact, risk and opportunity management",,,
,"E4 IRO-1 Description of processes to identify and assess material biodiversity- 
and ecosystem-related impacts, risks and opportunities",,,196
,MDR-P Minimum policy reporting requirement,,,247
E4 Protecting,E4-2 Policies related to biodiversity and ecosystems,,,247
biodiversity,MDR-A Minimum action reporting requirement,,,254
,E4-3 Actions and resources related to biodiversity and ecosystems,,,254
,Metrics and targets,,,
,MDR-T Minimum measurable target reporting requirement,,,257
,E4-4 Targets related to biodiversity and ecosystems,,,257
,MDR-M Minimum disclosure requirement regarding metrics,,,259
,E4-5 Impact metrics related to biodiversity and ecosystems change,,,259
,"E4-6 Anticipated financial effects from biodiversity- and ecosystem-related risks 
and opportunities",Phase-in,,
,"Impact, risk and opportunity management",,,
,"E5 IRO-1 Description of the processes to identify and assess material resource 
use and circular economy-related impacts, risks and opportunities",,,198
,MDR-P Minimum policy reporting requirement,,,260
,E5-1 Policies related to resource use and circular economy,,,260
,MDR-A Minimum action reporting requirement,,,264
E5 Resource,E5-2 Actions and resources in relation to resource use and circular economy,,,264
"use and circular 
economy",Metrics and targets,,,
,MDR-T Minimum measurable target reporting requirement,,,268
,E5-3 Targets related to resource use and circular economy,,,268
,MDR-M Minimum disclosure requirement regarding metrics,,,269-270
,E5-4 Resource inflows,,,269
,E5-5 Resource outflows,,,270
,"E5-6 Anticipated financial effects from resource use and circular economy-
related risks and opportunities",Phase-in,,
