0,1,2,3
The Sustainability statements comply with all aspects of ESRS.,,,
Disclosure number,Disclosure requirement,Section reference,Explanation
General disclosures (ESRS 2),,,
BP-1,General basis for preparation,"Pages 64, 150, 157",
BP-2,Disclosures in relation to specific circumstances,Page 64,
GOV-1,"The role of the administrative, management and supervisory bodies","Pages 65, 25, 28",
GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s administrative, 
management and supervisory bodies","Pages 65, 69",
GOV-3,Integration of sustainability-related performance in incentive schemes,"Pages 65, 38",
GOV-4,Statement on due diligence,Page 65,
GOV-5,Risk management and internal controls over sustainability reporting,"Pages 66, 53",
SBM-1,"Strategy, business model and value chain","Pages 66, 7, 69",
SBM-2,Interests and views of stakeholders,Page 66,
IRO-1,"Description of the process to identify and assess material impacts, risks and opportunities",Page 68,
SBM-3,"Material impacts, risks and opportunities, and their interaction with strategy and business model","Pages 69, 73, 81, 83, 87, 
89, 92","Phased-in option used for DR48e 
(anticipated financial effects), in line with"
,,,"ESRS 1 Appendix C: List of phased-in 
Disclosure Requirements."
IRO-2,Disclosure requirements covered by the Sustainability statements,"Pages 71, 95",
MDR-P,Policies adopted to manage material sustainability matters,"Pages 72, 75, 80, 89",
MDR-A,Actions and resources in relation to material sustainability matters,"Pages 72, 75, 81, 83, 87, 
90, 92",
MDR-M,Metrics in relation to material sustainability matters,"Pages 72, 76, 82, 85, 87, 
91, 92",
MDR-T,Tracking effectiveness of policies and actions through targets,"Pages 72, 76, 81, 83, 87, 
91, 92",
