0,1,2,3,4,5,6,7,8,9
,continued: IRO-2 - Content index,,,,,continued: IRO-2 - Content index,,,
SECTION,TOPIC,SUB-TOPIC - SUB-SUB-TOPIC,DISCLOSURE REQUIREMENT,PAGE NUMBER,SECTION,TOPIC,SUB-TOPIC - SUB-SUB-TOPIC,DISCLOSURE REQUIREMENT,PAGE NUMBER
,,,ESRS 2 SBM-2 Interests and views of stakeholders,153,,,,ESRS 2 SBM-2 Interests and views of stakeholders,153
,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155,,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155
,,,S1-1 Policies related to own workforce,276,,,,S1-1 Policies related to own workforce,276
,,,"S1-2 Processes for engaging with own workers and workers’ representatives 
about impacts",279,,,,"S1-2 Processes for engaging with own workers and workers’ representatives 
about impacts",279
,,Working conditions - Freedom of,"S1-4 Taking action on material impacts and approaches to mitigating material 
risks and pursuing material opportunities related to own workforce, and",280,,,Equal treatment and opportunities,"S1-4 Taking action on material impacts and approaches to mitigating material 
risks and pursuing material opportunities related to own workforce, and",280
,,"association, works councils and the 
information, consultation and",effectiveness of those actions and approaches,,,,for all - Gender equality and equal,effectiveness of those actions and approaches,
,,participation rights of workers,"S1-5 Targets related to managing material impacts, advancing positive impacts,",284,,,pay for work of equal value,"S1-5 Targets related to managing material impacts, advancing positive impacts,",284
,,,as well as to risks and opportunities,,,,,as well as to risks and opportunities,
,,,S1-6 Characteristics of the Undertaking’s Employees,285,,,,S1-6 Characteristics of the Undertaking’s Employees,285
,,,"S1-7 Characteristics of non employee workers in the undertaking’s own 
workforce",287,,,,"S1-7 Characteristics of non employee workers in the undertaking’s own 
workforce",287
,,,S1-8 Collective bargaining coverage and social dialogue,287,,,,S1-16 Remuneration metrics (pay gap and total remuneration),290
,,,"S1-17 Incidents, complaints and severe human rights impacts",290,,,,"S1-17 Incidents, complaints and severe human rights impacts",290
,,,ESRS 2 SBM-2 Interests and views of stakeholders,153,,,,ESRS 2 SBM-2 Interests and views of stakeholders,153
,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155,,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155
,,,S1-1 Policies related to own workforce,276,,,,S1-1 Policies related to own workforce,276
,,,"S1-2 Processes for engaging with own workers and workers’ representatives 
about impacts",279,,,,"S1-2 Processes for engaging with own workers and workers’ representatives 
about impacts",279
,,Working conditions - Collective,"S1-4 Taking action on material impacts and approaches to mitigating material 
risks and pursuing material opportunities related to own workforce, and",280,,,Equal treatment and opportunities,"S1-4 Taking action on material impacts and approaches to mitigating material 
risks and pursuing material opportunities related to own workforce, and",280
"Social 
information",ESRS S1 Own workforce,"bargaining, including the rate of 
workers covered by collective",effectiveness of those actions and approaches,,"Social 
information",ESRS S1 Own workforce,for all - Training and skills,effectiveness of those actions and approaches,
,,agreements,"S1-5 Targets related to managing material impacts, advancing positive impacts,",284,,,development,"S1-5 Targets related to managing material impacts, advancing positive impacts,",284
,,,as well as to risks and opportunities,,,,,as well as to risks and opportunities,
,,,S1-6 Characteristics of the Undertaking’s Employees,285,,,,S1-6 Characteristics of the Undertaking’s Employees,285
,,,"S1-7 Characteristics of non employee workers in the undertaking’s own 
workforce",287,,,,"S1-7 Characteristics of non employee workers in the undertaking’s own 
workforce",287
,,,S1-8 Collective bargaining coverage and social dialogue,287,,,,S1-13 Training and skills development metrics,288
,,,"S1-17 Incidents, complaints and severe human rights impacts",290,,,,"S1-17 Incidents, complaints and severe human rights impacts",290
,,,ESRS 2 SBM-2 Interests and views of stakeholders,153,,,,ESRS 2 SBM-2 Interests and views of stakeholders,153
,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155,,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155
,,,S1-1 Policies related to own workforce,279,,,,S1-1 Policies related to own workforce,276
,,,"S1-2 Processes for engaging with own workers and workers’ representatives 
about impacts",279,,,,"S1-2 Processes for engaging with own workers and workers’ representatives 
about impacts",279
,,,"S1-4 Taking action on material impacts and approaches to mitigating material 
risks and pursuing material opportunities related to own workforce, and",280,,,Equal treatment and opportunities,"S1-4 Taking action on material impacts and approaches to mitigating material 
risks and pursuing material opportunities related to own workforce, and",280
,,"Working conditions - Work-life 
balance",effectiveness of those actions and approaches,,,,for all - Employment and inclusion,effectiveness of those actions and approaches,
,,,"S1-5 Targets related to managing material impacts, advancing positive impacts,",284,,,of persons with disabilities,"S1-5 Targets related to managing material impacts, advancing positive impacts,",284
,,,as well as to risks and opportunities,,,,,as well as to risks and opportunities,
,,,S1-6 Characteristics of the Undertaking’s Employees,285,,,,S1-6 Characteristics of the Undertaking’s Employees,285
,,,"S1-7 Characteristics of non employee workers in the undertaking’s own 
workforce",287,,,,"S1-7 Characteristics of non employee workers in the undertaking’s own 
workforce",287
,,,S1-15 Work-life balance metrics,289,,,,S1-12 Persons with disabilities,288
,,,"S1-17 Incidents, complaints and severe human rights impacts",290,,,,"S1-17 Incidents, complaints and severe human rights impacts",290
