0,1,2,3,4
,continued: IRO-2 - Content index,,,
SECTION,TOPIC,SUB-TOPIC - SUB-SUB-TOPIC,DISCLOSURE REQUIREMENT,PAGE NUMBER
,,,ESRS 2 SBM-2 Interests and views of stakeholders,153
,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155
,,,S3-1 Policies related to affected communities,292
,,"Communities’ economic, social and",S3-2 Processes for engaging with affected communities about impacts,293
,,cultural rights - adequate housing,"S3-3 Processes to remediate negative impacts and channels for affected 
communities to raise concerns",294
,,,"S3-4 Taking action on material impacts on affected communities, and 
approaches to managing material risks and pursuing material opportunities",294
,,,"related to affected communities, and effectiveness of those actions",
,,,"S3-5 Targets related to managing material negative impacts, advancing 
positive impacts, and managing material risks and opportunities",302
,,,ESRS 2 SBM-2 Interests and views of stakeholders,153
,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155
,,,S3-1 Policies related to affected communities,292
,,"Communities’ economic, social and",S3-2 Processes for engaging with affected communities about impacts,293
,,cultural rights - adequate food,"S3-3 Processes to remediate negative impacts and channels for affected 
communities to raise concerns",293
,,,"S3-4 Taking action on material impacts on affected communities, and 
approaches to managing material risks and pursuing material opportunities",294
,,,"related to affected communities, and effectiveness of those actions",
Social,ESRS S3 Affected communities,,"S3-5 Targets related to managing material negative impacts, advancing 
positive impacts, and managing material risks and opportunities",302
information,,,ESRS 2 SBM-2 Interests and views of stakeholders,153
,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155
,,,S3-1 Policies related to affected communities,292
,,"Communities’ economic,social and",S3-2 Processes for engaging with affected communities about impacts,293
,,cultural rights - security-related,"S3-3 Processes to remediate negative impacts and channels for affected 
communities to raise concerns",293
,,impacts,"S3-4 Taking action on material impacts on affected communities, and",
,,,"approaches to managing material risks and pursuing material opportunities 
related to affected communities, and effectiveness of those actions",294
,,,"S3-5 Targets related to managing material negative impacts, advancing 
positive impacts, and managing material risks and opportunities",302
,,,ESRS 2 SBM-2 Interests and views of stakeholders,153
,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155
,,,S3-1 Policies related to affected communities,292
,,,S3-2 Processes for engaging with affected communities about impacts,293
,,Communities’ civil and political rights,"S3-3 Processes to remediate negative impacts and channels for affected 
communities to raise concerns",293
,,,"S3-4 Taking action on material impacts on affected communities, and 
approaches to managing material risks and pursuing material opportunities",294
,,,"related to affected communities, and effectiveness of those actions",
,,,"S3-5 Targets related to managing material negative impacts, advancing 
positive impacts, and managing material risks and opportunities",302
