0,1,2,3,4,5,6,7
,continued: IRO-2 - Content index,,,,continued: IRO-2 - Content index,,
SECTION,TOPIC,SUB-TOPIC - SUB-SUB-TOPIC,DISCLOSURE REQUIREMENT,PAGE NUMBER,"SECTION 
TOPIC 
SUB-TOPIC - SUB-SUB-TOPIC",DISCLOSURE REQUIREMENT,PAGE NUMBER
,,,ESRS 2 SBM-2 Interests and views of stakeholders,153,,ESRS 2 SBM-2 Interests and views of stakeholders,153
,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155
,,,S3-1 Policies related to affected communities,292,,S4-1 Policies related to consumers and end-users,302
,,"Communities’ economic, social and",S3-2 Processes for engaging with affected communities about impacts,293,Information-related impacts for,S4-2 Processes for engaging with consumers and end-users about impacts,304
,,cultural rights - adequate housing,"S3-3 Processes to remediate negative impacts and channels for affected 
communities to raise concerns",294,consumers and/or end-users,"S4-3 Processes to remediate negative impacts and channels for consumers 
and end-users to raise concerns",304
,,,"S3-4 Taking action on material impacts on affected communities, and 
approaches to managing material risks and pursuing material opportunities",294,,"S4-4 Taking action on material impacts on consumers and end-users, and 
approaches to managing material risks and pursuing material opportunities",304
,,,"related to affected communities, and effectiveness of those actions",,,"related to consumers and end1users, and effectiveness of those actions",
,,,"S3-5 Targets related to managing material negative impacts, advancing 
positive impacts, and managing material risks and opportunities",302,,"S4-5 Targets related to managing material negative impacts, advancing positive 
impacts, and managing material risks and opportunities",313
,,,,,"ESRS S4 Consumers and end users 
Social 
information",,
,,,ESRS 2 SBM-2 Interests and views of stakeholders,153,,ESRS 2 SBM-2 Interests and views of stakeholders,153
,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction",155,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155
,,,with strategy and business model,,,S4-1 Policies related to consumers and end-users,302
,,,S3-1 Policies related to affected communities,292,,S4-2 Processes for engaging with consumers and end-users about impacts,304
,,"Communities’ economic, social and",S3-2 Processes for engaging with affected communities about impacts,293,Social inclusion of consumers,S4-3 Processes to remediate negative impacts and channels for consumers,
,,cultural rights - adequate food,"S3-3 Processes to remediate negative impacts and channels for affected 
communities to raise concerns",293,and/or end users,and end-users to raise concerns,304
,,,"S3-4 Taking action on material impacts on affected communities, and",,,"S4-4 Taking action on material impacts on consumers and end-users, and 
approaches to managing material risks and pursuing material opportunities",304
,,,"approaches to managing material risks and pursuing material opportunities 
related to affected communities, and effectiveness of those actions",294,,"related to consumers and end1users, and effectiveness of those actions",
,,,"S3-5 Targets related to managing material negative impacts, advancing",302,,"S4-5 Targets related to managing material negative impacts, advancing positive 
impacts, and managing material risks and opportunities",313
"Social 
information",ESRS S3 Affected communities,,"positive impacts, and managing material risks and opportunities",,,,
,,,ESRS 2 SBM-2 Interests and views of stakeholders,153,,,
,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155,continued: IRO-2 - Content index,,
,,,S3-1 Policies related to affected communities,292,"SECTION 
TOPIC 
SUB-TOPIC - SUB-SUB-TOPIC",DISCLOSURE REQUIREMENT,PAGE NUMBER
,,"Communities’ economic,social and",S3-2 Processes for engaging with affected communities about impacts,293,,"ESRS 2 GOV-1 The role of the administrative, supervisory and management",137
,,cultural rights - security-related,"S3-3 Processes to remediate negative impacts and channels for affected 
communities to raise concerns",293,,"bodies 
ESRS 2 IRO-1 Description of the processes to identify and assess material",
,,impacts,"S3-4 Taking action on material impacts on affected communities, and",,Corporate culture,"impacts, risks and opportunities",165
,,,"approaches to managing material risks and pursuing material opportunities 
related to affected communities, and effectiveness of those actions",294,,G1-1 Business conduct policies and corporate culture,314
,,,"S3-5 Targets related to managing material negative impacts, advancing",,,"ESRS 2 GOV-1 The role of the administrative, supervisory and management 
bodies",137
,,,"positive impacts, and managing material risks and opportunities",302,Protection of whistle blowers,ESRS 2 IRO-1 Description of the processes to identify and assess material,
,,,ESRS 2 SBM-2 Interests and views of stakeholders,153,,"impacts, risks and opportunities",165
,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction",155,,G1-1 Business conduct policies and corporate culture,314
,,,with strategy and business model,,,"ESRS 2 GOV-1 The role of the administrative, supervisory and management 
bodies",137
,,,S3-1 Policies related to affected communities,292,"ESRS G1 Business conduct 
Governance",ESRS 2 IRO-1 Description of the processes to identify and assess material,
,,,S3-2 Processes for engaging with affected communities about impacts,293,"Management of relationships with 
information 
suppliers including payment","impacts, risks and opportunities",165
,,Communities’ civil and political rights,"S3-3 Processes to remediate negative impacts and channels for affected 
communities to raise concerns",293,practices,G1-1 Business conduct policies and corporate culture,314
,,,"S3-4 Taking action on material impacts on affected communities, and",,,G1-2 Management of relationships with suppliers,317
,,,"approaches to managing material risks and pursuing material opportunities 
related to affected communities, and effectiveness of those actions",294,,G1-6 Payment Practices,318
,,,"S3-5 Targets related to managing material negative impacts, advancing",,,"ESRS 2 GOV-1 The role of the administrative, supervisory and management 
bodies",137
,,,"positive impacts, and managing material risks and opportunities",302,,ESRS 2 IRO-1 Description of the processes to identify and assess material,165
,,,,,Corruption and bribery,"impacts, risks and opportunities",
,,,,,,G1-1 Business conduct policies and corporate culture,314
,,,,,,G1-3 Prevention and detection of corruption and bribery,317
,,,,,,G1-4 Incidents of corruption or bribery,318
