0,1,2
,,Sustainability statement
ESRS,Disclosure Requirement,section concerned
,,"4.1.3.1.3 
Guarantee a safe and healthy working environment and 
well-being at work"
,"S1-5 — Targets related to managing material negative impacts, 
advancing positive impacts, and managing material risks and","4.1.3.1.4 
Attract, develop and retain employees
4.1.3.1.5. 
Ensure respect for diversity and inclusion"
,opportunities,"4.1.3.1.6  
 Ensure social cohesion"
,S1-6 — Characteristics of the undertaking’s employees,"4.1.3.1.2 
Characteristics of own workforce"
,"S1-7 — Characteristics of non-employees in the undertaking’s own 
workforce","4.1.3.1.2 
Characteristics of own workforce"
,S1-8 — Collective bargaining coverage and social dialogue,"4.1.3.1.6  
 Ensure social cohesion"
,S1-9 — Diversity metrics,"4.1.3.1.5. 
Ensure respect for diversity and inclusion"
,S1-10 — Adequate wages,"4.1.3.1.4.3  Compensation policy, employee savings and adequate 
wages"
,S1-11 — Social protection,4.1.3.1.4.4  Social protection
,S1-12 — Persons with disabilities,"4.1.3.1.5. 
Ensure respect for diversity and inclusion"
,S1-13 — Training and skills development metrics,4.1.3.1.4.1  Training for personal development
,S1-14 — Health and safety metrics,"4.1.3.1.3 
Guarantee a safe and healthy working environment and 
well-being at work"
,S1-15 — Work-life balance metrics,4.1.3.1.4.4.2    Additional social protection measures
,S1-16 — Remuneration metrics (pay gap and total remuneration),"4.1.3.1.4.3  Compensation policy, employee savings and adequate 
wages"
,"S1-17 — Incidents, complaints and severe human rights impacts","4.1.3.5 
Human rights"
"ESRS S2 Workers in 
the value chain",ESRS 2 SBM-2 —  Interests and views of stakeholders,"4.1.3.2.2 
Responsible supply chain management"
,"ESRS 2 SBM-3 — Material impacts, risks and opportunities and their 
interaction with strategy and business model","4.1.3.2.2 
Responsible supply chain management"
,S2-1 — Policies related to value chain workers,"4.1.3.2.2 
Responsible supply chain management"
,"S2-2 — Processes for engaging with value chain workers about 
impacts","4.1.3.2.2 
Responsible supply chain management"
,"S2-3 — Processes to remediate negative impacts and channels for 
value chain workers to raise concerns","4.1.3.2.2 
Responsible supply chain management"
,"S2-4 —  Taking action on material impacts on value chain workers, 
and approaches to managing material risks and pursuing material",
,"opportunities related to value chain workers, and effectiveness of 
those action","4.1.3.2.2 
Responsible supply chain management"
,"S2-5 — Targets related to managing material negative impacts, 
advancing positive impacts, and managing material risks and",
,opportunities,"4.1.3.2.2 
Responsible supply chain management"
"ESRS S3 Affected 
communities",ESRS 2 SBM-2 —  Interests and views of stakeholders,"4.1.3.3.1 
Introduction"
,"ESRS 2 SBM-3 — Material impacts, risks and opportunities and their 
interaction with strategy and business model","4.1.3.3.1 
Introduction"
,S3-1 — Policies related to affected communities,"4.1.3.3.2 
A Group committed to the regions and local communities"
,"S3-2 — Processes for engaging with affected communities about 
impacts","4.1.3.3.3 
Contribute to responsible economic development"
,"S3-3 — Processes to remediate negative impacts and channels for 
affected communities to raise concerns","4.1.3.3.3 
Contribute to responsible economic development
4.1.3.3.4 
Ensure accessible and resilient essential services"
,"S3-4 — Taking action on material impacts on affected communities, 
and approaches to managing material risks and pursuing material",
,"opportunities related to affected communities, and effectiveness of 
those actions","4.1.3.3.4 
Ensure accessible and resilient essential services"
,"S3-5 — Targets related to managing material negative impacts, 
advancing positive impacts, and managing material risks and",
,opportunities,"4.1.3.3.5 
Engage with regions and communities"
"ESRS S4 
Consumers and end-",,
users,ESRS 2 SBM-2 —  Interests and views of stakeholders,"4.1.3.4.1 
Introduction"
,"ESRS 2 SBM-3 — Material impacts, risks and opportunities and their 
interaction with strategy and business model","4.1.3.4.1 
Introduction
4.1.3.4.3 
Serving all our customers"
,S4-1 — Policies related to consumers and end-users,"4.1.3.4.2 
Services provided to consumers / A customer relationship 
management policy focused on listening to end-consumers"
