0,1,2,3,4
,Sustainability statement,,,
ESRS,Disclosure Requirement,,,section concerned
,"S4-2 — Processes for engaging with consumers and end-users 
about impacts",4.1.3.4.2,Services provided to consumers /  A multi-channel,approach to communicating with all consumers
,S4-3 — Processes to remediate negative impacts and channels for,4.1.3.4.2,"Services provided to consumers /  A system that 
optimizes impacts with consumers & Careful handling of consumer",
,consumers and end-users to raise concerns,,,complaints
,"S4-4 — Taking action on material impacts on consumers and end-
users, and approaches to managing material risks and pursuing",,,
,"material opportunities related to consumers and end-users, and 
effectiveness of those actions",4.1.3.4.2,Services provided to consumers /  Measuring consumer,satisfaction
,"S4-5 — Targets related to managing material negative impacts, 
advancing positive impacts, and managing material risks and",4.1.3.4.2,Services provided to consumers /  Measuring consumer,
,opportunities,,,satisfaction
"ESRS G1 
Business conduct","ESRS 2 GOV-1 — The role of the administrative, supervisory and 
management bodies",,,"4.1.4.1.1 
Introduction"
,"ESRS 2 IRO-1 — Description of the processes to identify and 
assess material impacts, risks and opportunities",,,"4.1.4.1.1 
Introduction"
,G1-1 — Business conduct policies and corporate culture,,,"4.1.4.1.2 
Ethics and Compliance"
,G1-2 — Management of relationships with suppliers,4.1.4.1.2,Ethics and Compliance / Management of relationships,with suppliers and supply chain
,G1-3 — Prevention and detection of corruption and bribery,,,"4.1.4.1.2 
Ethics and Compliance"
,G1-4 — Incidents of corruption or bribery,,,"4.1.4.1.2 
Ethics and Compliance"
,G1-5 — Political influence and lobbying activities,,4.1.4.1.2,Ethics and Compliance / Lobbying
,G1-6 — Payment practices,,,"4.1.4.1.4 
Supplier payment terms"
