0,1,2,3
Sustainability Report,,,Annex to the sustainability Report
ESRS E1 – Climate change,,Climate change,
"E1-1 
E1-2","Transition plan for climate change mitigation 
Policies related to climate change mitigation and adaptation","Strategy: Climate change and transition plan 
Policy: Decarbonization","267 
270"
"E1-3 
E1-4","Actions and resources in relation to climate change policies 
Targets related to climate change mitigation and adaptation","Actions and resources: Climate change  
Targets: Climate change","278 
272"
"E1-5 
E1-6","Energy consumption and mix 
Gross Scopes 1, 2, 3 and Total GHG emissions","Metrics: Climate change 
Metrics: Climate change","287 
288"
"E1-7 
E1-8","GHG removals and GHG mitigation projects financed through carbon credits 
Internal carbon pricing","Metrics: Climate change 
Metrics: Climate change","295 
297"
ESRS E2 – Pollution,,Pollution,
"E2-1 
E2-2","Policies related to pollution 
Actions and resources related to pollution","Policy: Pollution 
Actions and resources: Pollution","301 
304"
"E2-3 
E2-4","Targets related to pollution 
Pollution of air, water and soil","Targets: Pollution 
Metrics: Pollution","304 
307"
"E2-5 
ESRS E3 – Water and marine resources",Substances of concern and substances of very high concern,"Metrics: Pollution 
Water",309
"E3-1 
E3-2","Policies related to water and marine resources 
Actions and resources related to water and marine resources policies","Policy: Water 
Actions and resources: Water","312 
314"
"E3-3 
E3-4","Targets related to water and marine resources 
Water consumption","Targets: Water 
Metrics: Water","313 
315"
ESRS E4 – Biodiversity and ecosystems,,Biodiversity and ecosystems,
E4-1,"Transition plan and consideration of biodiversity and ecosystems in strategy and 
business model",Transition plan and consideration of biodiversity and ecosystems in strategy and business model,319
"E4-2 
E4-3","Policies related to biodiversity and ecosystems 
Actions and resources related to biodiversity and ecosystems","Policy: Biodiversity and ecosystems 
Actions and resources: Biodiversity and ecosystems","322 
324"
"E4-4 
E4-5","Targets related to biodiversity and ecosystems 
Impact metrics related to biodiversity and ecosystems change","Targets: Biodiversity and ecosystems 
Metrics: Biodiversity and ecosystems","324 
326"
ESRS E5 – Resource use and circular economy,,Resource use and circular economy,
"E5-1 
E5-2","Policies related to resource use and circular economy 
Actions and resources in relation to resource use and circular economy","Policy: Resource use and circular economy 
Actions and resources: Resource use and circular economy","329 
331"
"E5-3 
E5-4","Targets related to resource use and circular economy 
Resource inflows","Targets: Resource use and circular economy 
Metrics: Resource use and circular economy","330 
337"
E5-5,Resource outflows,Metrics: Resource use and circular economy,341
