0,1
ESRS Index,
,Description
S3-4,"► Taking action on material impacts on affected communities, and approaches to managing material 
risks and pursuing material opportunities related to affected communities, and effectiveness of those"
,actions
S3-5,"► Targets related to managing material negative impacts, advancing positive impacts, and managing 
 
 
material risks and opportunities"
S4 Consumers and end-users,
"S4, SBM-2",► Interests and views of stakeholders
"S4, SBM-3",► Material IROs and their interaction with strategy and business model
S4-1,► Policies related to consumers and end-users
S4-2,► Processes for engaging with consumers and end-users about impacts
S4-3,"► Processes to remediate negative impacts and channels for consumers and end-users to raise 
 
 
concerns"
S4-4,"► Taking action on material impacts on consumers and end-users, and approaches to managing 
material risks and pursuing material opportunities related to consumers and end-users, and"
,effectiveness of those actions
S4-5,"► Targets related to managing material negative impacts, advancing positive impacts, and managing 
 
 
material risks and opportunities"
G1 Business conduct,
"G1, GOV-1","► The role of the administrative, management and supervisory bodies"
"G1, SBM-3",► Material IROs and their interaction with strategy and business model
"G1, IRO-1","► Description of the processes to identify and assess material impacts, risks and opportunities"
G1-1,► Business conduct policies and corporate culture
G1-2,► Management of relationships with suppliers
G1-3,► Prevention and detection of corruption and bribery
G1-4,► Incidents of corruption or bribery
G1-6,► Payment practices
