0,1
"o Disclosure Requirement S1-5 – Targets related to managing 
material negative impacts, advancing positive impacts, and","6.3.2.7.3 Targets (S1-5) 
6.3.2.8.3 Targets (S1-5)"
managing material risks and opportunities,6.3.2.9.3 Targets (S1-5)
"o Disclosure Requirement S1-6 – Characteristics of the 
undertaking’s employees",6.3.2.6 Characteristics of the undertaking’s employees (S1-6)
"o Disclosure Requirement S1-8 – Collective bargaining coverage 
and social dialogue",6.3.2.9.4 Metrics (S1-8)
o Disclosure Requirement S1-9 – Diversity metrics,6.3.2.8.4 Metrics (S1-9)
o Disclosure Requirement S1-14 – Health and safety metrics,6.3.2.7.4 Metrics (S1-14)
ESRS S2 - WORKERS IN THE VALUE CHAIN,
ESRS 2 General disclosures,See above
Strategy,
"o Disclosure Requirement related to ESRS 2 SBM-2 Interests and 
views of stakeholders",6.1.1.3.2 SBM-2: Interests and views of stakeholders
"o Disclosure Requirement related to ESRS 2 SBM-3 Material 
impacts, risks and opportunities and their interaction with strategy","6.1.1.3.3 SBM-3: Material impacts, risks and opportunities and their interaction 
with strategy and business model"
"and business model Impact, risk and opportunity management",6.3.3.1 Workers in the value chain IROs
"o Disclosure Requirement S2-1 – Policies related to value chain 
workers","6.3.1 Policies 
6.3.3.3 Policies related to value chain workers (S2-1)"
"o Disclosure Requirement S2-2 – Processes for engaging with value 
chain workers about impacts",6.3.3.4 Processes for engaging with value chain workers about impacts (S2-2)
"o Disclosure Requirement S2-3 – Processes to remediate negative 
impacts and channels for value chain workers to raise concerns","6.3.3.5 Processes to remediate negative impacts and channels for value chain 
workers to raise concerns (S2-3)"
"o Disclosure Requirement S2-4 – Taking action on material impacts 
on value chain workers, and approaches to managing material risks","6.3.3.6 Taking action on material impacts on value chain workers, and 
approaches to managing material risks and pursuing material opportunities"
"and pursuing material opportunities related to value chain workers, 
and effectiveness of those actions","related to value chain workers, and effectiveness of those action (S2-4)"
Metrics and targets,
"o Disclosure Requirement S2-5 – Targets related to managing 
material negative impacts, advancing positive impacts, and","6.3.3.7 Targets related to material negative impacts, advancing positive 
impacts, and managing material risks and opportunities (S2-5)"
managing material risks and opportunities,
ESRS S4 - CONSUMERS AND END-USERS,
ESRS 2 General Disclosures,See above
Strategy,
"o Disclosure Requirement related to ESRS 2 SBM-2 – Interests and 
views of stakeholders",6.1.1.3.2 SBM-2: Interests and views of stakeholders
"o Disclosure Requirement related to ESRS 2 SBM-3 – Material 
impacts, risks and opportunities and their interaction with strategy","6.1.1.3.3 SBM-3: Material impacts, risks and opportunities and their interaction 
with strategy and business model"
and business model,"6.3.4.1 Consumer and end-user IROs 
6.3.4.1.2 ESRS 2 SBM-3 – Material impacts, risks and opportunities and their"
,interaction with strategy and business model
"Impact, risk and opportunity management",
"o Disclosure Requirement S4-1 – Policies related to consumers and 
end-users","6.3.1 Policies 
6.3.4.2 Policies related to consumers and end-users (S4-1)"
"o Disclosure Requirement S4-2 – Processes for engaging with 
consumers and end users about impacts","6.3.4.3 Processes for engaging with consumers and end-users about impacts 
(S4-2)"
"o Disclosure Requirement S4-3 – Processes to remediate negative 
impacts and channels for consumers and end-users to raise","6.3.4.4 Processes to remediate negative impacts and channels for consumers 
and end-users to raise concerns (S4-3)"
concerns,
"o Disclosure Requirement S4-4 – Taking action on material impacts 
on consumers and end-users, and approaches to managing material","6.3.4.5 Taking action on material impacts on consumers and end-users, and 
approaches to managing material risks and pursuing material opportunities"
"risks and pursuing material opportunities related to consumers and 
end-users, and effectiveness of those actions","related to consumers and end-users, and effectiveness of those actions (S4-4)"
Metrics and targets,
"o Disclosure Requirement S4-5 – Targets related to managing 
material negative impacts, advancing positive impacts, and","6.3.4.6 Targets related to managing material negative impacts, advancing 
positive impacts and managing material risks and opportunities (S4-5) and"
managing material risks and opportunities,metrics
