0,1,2,3,4
C _ Group Management Report _ Sustainability Statement,,,,
List of ESRS disclosure requirements complied with,"Sustainability 
matter","Disclosure 
requirements",Section,Sub-section/sub-sub-section
The following table contains the disclosure requirements complied with in preparing Allianz’s Sustainability Statement,,E4-1,"E4 Biodiversity and 
ecosystems","Strategy and business model related to biodiversity and 
ecosystems"
and the accompanying sections. Disclosure requirements not marked in this table have been assessed as immaterial,,E4 – SBM-3,E4 Biodiversity and,"Materiality of biodiversity and ecosystems, Strategy and"
for Allianz or are omitted as they are subject to ESRS phased-in provisions and therefore not applicable in 2024. ESRS,,,ecosystems,business model related to biodiversity and ecosystems
2 disclosure requirements (which are not separately mentioned in the table below) have been fully complied with.,Biodiversity,E4 – IRO-1,Materiality,"Process to identify and assess material impacts, risks, and 
opportunities"
List of disclosure requirements complied with (IRO-2),"and 
ecosystems",E4-2,E4 Biodiversity and,Policies related to biodiversity and ecosystems
,,,ecosystems,
"Sustainability 
Disclosure",,E4-3,"E4 Biodiversity and 
ecosystems",Actions related to biodiversity and ecosystems
"matter 
requirements 
Section 
Sub-section/sub-sub-section",,,E4 Biodiversity and,
"E1 – GOV-3 
E1 Climate Change 
Targets for climate-related opportunities",,E4-4,ecosystems,Targets related to biodiversity and ecosystems
"E1-1 
E1 Climate Change 
Climate Change Strategy and Net-Zero Transition",,E5 – IRO-1,Materiality,"Process to identify and assess material impacts, risks, and"
"E1 – SBM-3 
E1 Climate Change 
Materiality of climate change, Climate-related risks",,,,opportunities
"Process to identify and assess material impacts, risks, and 
E1 – IRO-1 
Materiality 
opportunities",,E5-1,"E5 Resource use and 
circular economy",Policies related to resource use and the circular economy
"Policies related to climate change mitigation for our insurance 
portfolio, Policies related to climate change mitigation for our",Resource use,E5-2,"E5 Resource use and 
circular economy",Actions related to resource use and the circular economy
"proprietary investment portfolio, Policies related to climate 
E1-2 
E1 Climate Change 
change mitigation for Allianz own operations, Policies related to","and circular 
economy",E5-3,E5 Resource use and,Targets related to resource use and the circular economy
"climate change adaptation for our insurance portfolio, Policies",,,circular economy,
for climate-related opportunities,,E5-4,"E5 Resource use and 
circular economy","Metrics related to resource use and the circular economy – 
Resource inflow"
"Decarbonization levers and actions related to climate change 
mitigation for our insurance portfolio, Decarbonization levers",,,E5 Resource use and,Metrics related to resource use and the circular economy – E-
"Climate 
and actions related to climate change mitigation for our 
change",,E5-5,circular economy,waste
"E1-3 
E1 Climate Change 
proprietary investment portfolio, Decarbonization levers and 
actions related to climate change mitigation for Allianz own",,S1 SBM-2,S1 Own workforce,"Group People and Culture strategy – Related impacts, risks, and"
"operations, Actions relating to climate change adaptation for",,,,opportunities
"our insurance portfolio, Actions for climate-related opportunities",,S1 SBM-3,S1 Own workforce,"Materiality of own workforce, Group People and Culture 
strategy – Related impacts, risks, and opportunities"
"Targets related to climate change mitigation for our insurance 
portfolio, Targets related to climate change mitigation for our",,S1-1,S1 Own workforce,Policies related to own workforce
"proprietary investment portfolio, Targets related to climate 
E1-4 
E1 Climate Change 
change mitigation for Allianz Own Operations, Targets related",,S1-2,S1 Own workforce,Engaging with own workforce
"to climate change adaptation for our insurance portfolio, 
Targets for climate-related opportunities",,S1-3,S1 Own workforce,Processes and channels to raise concerns
"E1-5 
E1 Climate Change 
Climate-related metrics for the Allianz Group",,S1-4,S1 Own workforce,"Taking action on material impacts, risks, and opportunities"
"GHG emissions of our insurance portfolio, GHG emissions of our",,S1-5,S1 Own workforce,Targets related to own workforce
"E1-6 
E1 Climate Change 
proprietary investment portfolio, GHG emissions of Allianz Own",Own,S1-6,S1 Own workforce,Characteristics of our employees
"Operations, Climate-related metrics for the Allianz Group",workforce,S1-8,S1 Own workforce,Collective bargaining coverage and social dialogue
"Process to identify and assess material impacts, risks, and 
E2 – IRO-1 
Materiality 
opportunities",,S1-9,S1 Own workforce,"Gender, Generations"
"E2-1 
E2 Pollution 
Policies related to pollution 
Pollution",,S1-10,S1 Own workforce,Adequate wages
"E2-2 
E2 Pollution 
Actions related to pollution",,S1-11,S1 Own workforce,Social protection
"E2-3 
E2 Pollution 
Targets related to pollution",,S1-12,S1 Own workforce,Persons with disabilities
"Process to identify and assess material impacts, risks, and",,S1-13,S1 Own workforce,Learning and development and performance management
"E3 – IRO-1 
Materiality 
opportunities",,S1-14,S1 Own workforce,Health and safety
"E3 Water and marine 
E3-1 
Policies related to water and marine resources",,S1-15,S1 Own workforce,Work-life balance
"Water and 
resources 
marine",,S1-16,S1 Own workforce,Gender pay gap and remuneration ratio
"E3 Water and marine 
resources 
E3-2 
Targets and actions related to water and marine resources 
resources",,S1-17,S1 Own workforce,Human rights in own workforce
"E3 Water and marine 
E3-3 
Targets and actions related to water and marine resources 
resources",,,,
