0,1,2,3,4,5,6,7,8
183.0,3.5 ESRS index,,,,INTRODUCTION,CONTENTS,"OUR 
SUSTAINABILITY 
FINANCIAL 
ABOUT US
PERFORMANCE
STATEMENT
STATEMENTS","ADDITIONAL 
INFORMATION"
,ESRS E5,E5 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and",,,S1-12,Persons with disabilities,150
,,,business model,135,,S1-13,Training and skills development metrics,150
,,E5 IRO-1,"Description of the processes to identify and assess material impacts, risks and","97,",,S1-14,Health and safety metrics,170
,,,opportunities,135,,S1-15,Work-life balance metrics,150
,,E5-1,Policies related to resource use and circular economy,136,,S1-16,Remuneration metrics (pay gap and total remuneration),151
,,E5-2,Actions and resources related to resource use and circular economy,136,,S1-17,"Incidents, complaints and severe human rights impacts",151
,,E5-3,Targets related to resource use and circular economy,138,ESRS S2,S2 SBM-2,Interests and views of stakeholders,92
,,E5-4,Resource inflows,138,,S2 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and",152
,,E5-5,Resource outflows,138,,,business model,
,,E5-6,Anticipated financial effects from material resource use and circular economy-related,,,IRO-1,"Description of the processes to identify and assess material impacts, risks and","97,"
,,,risks and opportunities,140,,,opportunities,152
,Social information,,,,,S2-1,Policies related to value chain workers,153
,ESRS S1,S1 SBM-2,Interests and views of stakeholders,92,,S2-2,Processes for engaging with value chain workers,153
,,S1 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and",142,,S2-3,Processes to remediate negative impacts and channels for value chain workers,154
,,,business model,,,S2-4,Taking action on material impacts on value chain workers,154
,,IRO-1,"Description of the processes to identify and assess material impacts, risks and","97,",,S2-5,"Targets related to managing material negative impacts, advancing positive impacts,",158
,,,opportunities,142,,,and managing material risks and opportunities,
,,S1-1,Policies related to own workforce,143,ESRS S3,S3 SBM-2,Interests and views of stakeholders,92
,,S1-2,Processes for engaging with own workforce and workers’ representatives about,144,,S3 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and",159
,,,impacts,,,,business model,
,,S1-3,Processes to remediate negative impacts and channels for own workers to raise,145,,IRO-1,"Description of the processes to identify and assess material impacts, risks and","97,"
,,,concerns,,,,opportunities,159
,,S1-4,"Taking action on material impacts on own workforce, and approaches to managing",145,,S3-1,Policies related to affected communities,159
,,,"material risks and pursuing material opportunities related to own workforce, and",,,,,
,,,effectiveness of those actions,,,S3-2,Processes for engaging with affected communities about impacts,160
,,S1-5,"Targets related to managing material negative impacts, advancing positive impacts,",148,,S3-3,Processes to remediate negative impacts and channels for affected communities to,160
,,,and managing material risks and opportunities,,,,raise concerns,
,,S1-6,Characteristics of the undertaking’s employees,148,,S3-4,"Taking action on material impacts on affected communities, and approaches to",161
,,S1-7,Characteristics of non-employees in the undertaking’s own workforce,149,,,managing material risks and pursuing material opportunities related to affected,
,,S1-8,Collective bargaining coverage and social dialogue,149,,,"communities, and effectiveness of those actions",
,,S1-9,Diversity and inclusion metrics,149,,S3-5,"Targets related to managing material negative impacts, advancing positive impacts,",162
,,,,,,,and managing material risks and opportunities,
,,S1-10,Living wages,150,,,,
