0,1
TABLE No. 49: LIST OF DISCLOSURE REQUIREMENTS FULFILLED BY PREPARING THE SUSTAINABILITY STATEMENT,
Disclosure Requirements (DR),Paragraphs
ESRS 2 General disclosures to be published,
BP-1 General basis for the preparation of the sustainability statement,"1. General disclosures
and"
BP-2 Disclosure of information relating to special circumstances,8.Annex
"GOV-1 The role of administrative, management and supervisory bodies",
"GOV-2 Information to the company’s administrative, management and supervisory bodies and sustainability issues dealt with by these 
bodies",
GOV-3 Integration of sustainability results into incentive systems,"1. General disclosures 
1.a Governance"
GOV-4 Due diligence statement,
GOV-5 Sustainability information risk management and internal controls,
"SBM-1 Strategy, business model and value chain","1. General disclosures 
1.b Strategy, business model and"
SBM-2 Interests and views of interested parties,stakeholders
"SBM-3 Significant impacts, risks and opportunities and their link to strategy and business model","1. General disclosures 
1.c Material impacts, risks and"
"IRO-1 Description of procedures for identifying and assessing significant impacts, risks and opportunities",opportunities
IRO-2 ESRS Disclosure requirements covered by corporate sustainability statement,8. Annex
ESRS E1 Climate Change,
ESRS 2 GOV-3 Integration of sustainability performance into incentive mechanisms,"1. General disclosures 
1.a Governance"
E1-1 Climate change mitigation transition plan,"2. Climate change
2.a Strategy"
"ESRS 2 SBM-3 Significant impacts, risks and opportunities and their interaction with strategy and business model",
"ESRS 2 IRO-1 Description of processes for identifying and assessing significant climate change impacts, risks and opportunities","1. General disclosures
1.c Material impacts, risks and"
,opportunities
E1-2 Policies related to climate change mitigation and adaptation,"2. Climate change
2.b Impact, risk and opportunity"
E1-3 Actions and resources related to climate change policies,management
E1-4 Targets related to climate change mitigation and adaptation,
E1-5 Energy consumption and energy mix,"2. Climate change
2.c Metrics and targets"
"E1-6 Gross scope 1, 2, 3 GHG emissions and total GHG emissions",
E1-7 GHG absorption and mitigation projects financed by carbon credits,
ESRS S1 Own Workforce,
ESRS 2 SBM-2 Stakeholder interests and views,"1. General disclosures
1.b Strategy, business model and"
,stakeholders
"ESRS 2 SBM-3 Material impacts, risks, and opportunities and their interaction with strategy and business model","4.Own workforce 
4.a Strategy"
S1-1 Own workforce policies,
S1-2 Process for interacting on impacts with company employees and their representatives,"4.Own workforce
4.b Impact, risk and opportunity"
S1-3 Adverse impact remediation procedures and channels for company employees to raise concerns,management
"S1-4 Actions concerning significant impacts on the company’s workforce, approaches to manage significant risks and seize significant 
opportunities concerning the company’s workforce, and the effectiveness of these actions",
