0,1
Disclosure Requirements in ESRS Covered by the Undertaking’s Sustainability Statement [IRO-2],
General Disclosures [ESRS 2],Section
Affected communities [ESRS S3],
"Disclosure Requirement related to ESRS 2 SBM-3 – Material 
impacts, risks and opportunities and their interaction with","4.3.3 Affected Communities – Material impacts, risks and opportunities 
and their interaction with strategy and business model [S3.SBM-3]"
strategy and business model [S3.SBM-3],
Policies related to affected communities [S3-1],"4.3.3 Affected Communities – Policies related to affected communities 
[S3-1]"
"Taking action on material impacts on affected communities, and 
approaches to managing material risks and pursuing material","4.3.3 Affected Communities – Actions related to affected communities 
[S3-4]"
"opportunities related to affected communities, and effectiveness 
of those actions [S3-4]",
"Processes for engaging with affected communities about impacts 
[S3-2]","4.3.3 Affected Communities – Processes for engaging with affected 
communities about impacts [S3-2]"
"Processes to remediate negative impacts and channels for 
affected communities to raise concerns [S3-3]","4.3.3 Affected Communities – Processes to remediate negative impacts 
and channels for affected communities to raise concerns [S3-3]"
"Targets related to managing material negative impacts, advancing 
positive impacts, and managing material risks and opportunities","4.3.3 Affected Communities – Targets related to affected communities 
[S3-5]"
[S3-5],
Consumers and end-users [ESRS S4],
"Material impacts, risks and opportunities and their interaction with 
strategy and business model [S4.SBM-3]","4.3.4 Consumers and End-Users – Material impacts, risks and 
opportunities and their interaction with strategy and business model"
,related to consumers and end-users [S4.SBM-3]
Policies related to consumers and end-users [S4-1],"4.3.4 Consumers and End-Users – Policies related to the social 
involvement of consumers and/or end-users [S4-1] as well as Policies"
,"related to the personal safety of consumers and/or end-users [S4-1] as 
well as Policies related to access to information by consumers and/or"
,end-users [S4-1]
"Taking action on material impacts on consumers and end-users, 
and approaches to managing material risks and pursuing material","4.3.4 Consumers and End-Users – Actions related to the social 
involvement of consumers and/or end-users [S4-4] as well as Actions"
"opportunities related to consumers and end-users, and 
effectiveness of those actions [S4-4]",related to the personal safety of consumers and/or end-users [S4-4]
"Processes for engaging with consumers and end-users about 
impacts [S4-2]","4.3.4 Consumers and End-Users – Processes for engaging with 
consumers and end-users about impacts [S4-2]"
"Processes to remediate negative impacts and channels for 
consumers and end-users to raise concerns","4.3.4 Consumers and End-Users – Processes to remediate negative 
impacts and channels for consumers and end-users to raise concerns"
,[S4-3]
"Targets for managing material negative impacts, advancing 
positive impacts, and managing material risks and opportunities","4.3.4 Consumers and End-Users – Targets for managing material 
negative impacts, advancing positive impacts, and managing material"
[S4-5],risks and opportunities [S4-5]
Business conduct [ESRS G1],
Business conduct policies and corporate culture [G1-1],"4.4.1 Business Conduct – Corporate culture and business conduct 
policies [G1-1]"
Management of relationships with suppliers [G1-2],"4.4.1 Business Conduct – Management of relationships with suppliers 
[G1-2]"
Prevention and detection of corruption and bribery [G1-3],"4.4.1 Business Conduct – Prevention and detection of corruption and 
bribery [G1-3]"
Incidents of corruption or bribery [G1-4],"4.4.1 Business Conduct – Confirmed incidents of corruption or bribery 
[G1-4]"
Political influence and lobbying activities [G1-5],"4.4.1 Business Conduct – Political influence and lobbying activities 
[G1-5]"
