0,1,2,3
IRO-1,"Description of the process to identify and assess material impacts, risks and 
opportunities",GSS,"99-103, 106-107, 
113, 117, 119, 133,"
,,,"145, 148"
IRO-2,Disclosure requirements in ESRS covered by the sustainability statement,GSS,"100, 152-154"
E1,Climate change,,
"ESRS 2 
GOV-3",Integration of sustainability-related performance in incentive schemes,GSS,94-95
E1-1,Transition plan for climate change mitigation,GSS,103-104
"ESRS 2 
SBM-3","Material impacts, risks and opportunities and their interaction with strategy and business 
model",GSS,"99-100, 103, 
106-107"
"ESRS 
IRO-1","Description of the processes to identify and assess material climate-related impacts, 
risks and opportunities",GSS,"99, 101-103, 
106-107"
E1-2,Policies related to climate change mitigation and adaptation,GSS,104-105
E1-3,Actions and resources in relation to climate change policies,GSS,105-106
E1-4,Targets related to climate change mitigation and adaptation,GSS,108-111
E1-5,Energy consumption and mix,GSS,"110, 112"
E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions",GSS,110-112
E1-7,GHG removals and GHG mitigation projects financed through carbon credits,GSS,105
E1-8,Internal carbon pricing,GSS,104
E2,Pollution,,
"ESRS 2 
IRO-1","Description of the processes to identify and assess material pollution-related impacts, 
risks and opportunities",GSS,"99-102, 113"
E2-1,Policies related to pollution,GSS,"113, 115"
E2-2,Actions and resources related to pollution,GSS,113-116
E2-3,Targets related to pollution,GSS,"114, 116"
E2-4,"Pollution of air, water and soil",GSS,114-115
E2-5,Substances of concern and substances of very high concern,GSS,115-116
E2-6,"Operating and capital expenditures incurred in the reporting period in conjunction with 
major incidents and deposits",GSS,115
E3,Water,,
"ESRS 2 
IRO-1","Description of the processes to identify and assess material water resources-related 
impacts, risks and opportunities",GSS,"99-102, 117"
E3-1,Policies related to water resources,GSS,117-118
E3-2,Actions and resources related to water resources,GSS,117-118
E3-3,Targets related to water resources,GSS,117-118
E3-4,Water consumption,GSS,118
E4,Biodiversity and ecosystems,,
"ESRS 2 
IRO-1","Description of processes to identify and assess material biodiversity and ecosystem- 
related impacts, risks and opportunities",GSS,101-102
E5,Resource use and circular economy,,
"ESRS 2 
IRO-1","Description of the processes to identify and assess material resource use and circular 
economy-related impacts, risks and opportunities",GSS,"99-102, 119"
E5-1,Policies related to resource use and circular economy,GSS,119-122
E5-2,Actions and resources related to resource use and circular economy,GSS,119-122
