0,1,2,3
"Coca-Cola HBC Integrated Annual Report 2024
66",,"Strategic Report
Corporate Governance
Financial Statements
Swiss Statutory Reporting",Supplementary Information
Sustainability Statement continued,,,
IRO-2 Disclosure Requirements in ESRS covered by CCHBC’s sustainability statement,,,Location in the sustainability
IRO-2_01,,Disclosure Requirement,statement (page/paragraph)
Table 6: Datapoints from list of the Disclosure Requirements,,E1-8 Internal carbon pricing,p.99
,Location in the sustainability,"E1-9 Anticipated financial effects from material physical and transition risks 
and potential climate-related opportunities",-----
Disclosure Requirement,statement (page/paragraph),Ε2-1 Policies related to pollution,p.100
BP-1 General basis for preparation of sustainability statements,p.41,Ε2-2 Actions and resources related to pollution,
BP-2 Disclosures in relation to specific circumstances,p.43,,p.102
"GOV-1 The role of the administrative, management and supervisory bodies",p.45,Ε2-3 Targets related to pollution,p.103
GOV-2 Information provided to and sustainability matters addressed,p.46,"Ε2-4 Pollution of air, water and soil",------
"by CCHBC’s administrative, management and supervisory bodies",,Ε2-5 Substances of concern and substances of very high concern,------
GOV-3 Integration of sustainability-related performance in incentive schemes,p.47,Ε2-6 Anticipated financial effects from material pollution-related risks and,------
GOV-4 Statement on due diligence,p.48,opportunities,
GOV-5 Risk management and internal controls over sustainability reporting,p.49,E3-1 Policies related to water and marine resources,p.104
"SBM-1 Strategy, business model and value chain",p.50,E3-2 Actions and resources related to water and marine resources,p.106
SBM-2 Interests and views of stakeholders,p.52,E3-3 Targets related to water and marine resources,p.112
"SBM-3 Material impacts, risks and opportunities and their interaction with",p.55,E3-4 Water consumption,p.114
strategy and business model,,"E4.SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",p.115
"IRO-1 Description of the process to identify and assess material impacts, 
risks and opportunities",p.59,E4-1 Transition plan and consideration of biodiversity and ecosystems in,
,,strategy and business model,p.115
"IRO-2 Disclosure Requirements in ESRS covered by CCHBC’s 
sustainability statement",p.66,E4-2 Policies related to biodiversity and ecosystems,
,,,p.116
E1-1 Transition plan for climate change mitigation,p.83,E4-3 Actions and resources related to biodiversity and ecosystems,p.117
"E1.SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",p.84,E4-4 Targets related to biodiversity and ecosystems,p.118
E1-2 Policies related to climate change mitigation and adaptation,p.85,E4-5 Impact metrics related to biodiversity and ecosystems change,p.118
E1-3 Actions and resources in relation to climate change policies,p.87,"E4-6 Anticipated financial effects from material biodiversity and 
ecosystem-related risks and opportunities",------
E1-4 Targets related to climate change mitigation and adaptation,p.90,E5-1 Policies related to resource use and circular economy,p.119
E1-5 Energy consumption and mix,p.92,E5-2 Actions and resources related to resource use and circular economy,p.120
"E1-6 Gross scopes 1, 2, 3 and Total GHG emissions",p.93,E5-3 Targets related to resource use and circular economy,p.125
E1-7 GHG removals and GHG mitigation projects financed through carbon credits,p.98,,
