0,1
Main acronyms used in the Statement on Sustainability Report,
Acronym,Meaning
"ESRS / 
NEIS",«European Sustainability Reporting Standards» / Normas Europeas de Información sobre Sostenibilidad
ESG / ASG,«Environmental Social Governance» / Ambiental Social y de Gobernanza
CSRD,«Corporate Sustainability Reporting Directive» / Directiva de Informes de Sostenibilidad Corporativa
Breakdown Requirements,
IRO,"«Impacts, Risks and Opportunities» / Impactos, Riesgos y Oportunidades"
BP,«Basis for Preparation» / Base de Preparación
GOV,«Governance» / Gobernanza
SBM,«Strategy and Business Model» / Estrategia y Modelo de Negocio
MT,«Metrics and Targets» / Métricas y Objetivos
MDR-P,"«Minimum Disclosure Requirements regarding Policies» / Requisitos Mínimos de Divulgación relativos a 
Políticas"
MDR-A,"«Minimum Disclosure Requirements regarding Actions» / Requisitos Mínimos de Divulgación relativos a 
Actuaciones"
MDR-M,"«Minimum Disclosure Requirements regarding Metrics» / Requisitos Mínimos de Divulgación relativos a 
Métricas"
MDR-T,"«Minimum Disclosure Requirements regarding Targets» / Requisitos Mínimos de Divulgación relativos a 
Objetivos"
