0,1,2
European Sustainability Reporting Standards (ESRS) Disclosure Requirements covered by the,,
Combined Management’s Report,,
ESRS Disclosure Requirement,Disclosure Requirement,Page
S3-4,"Taking action on material impacts on affected communities, and 
approaches to managing material risks and pursuing material",311
,"opportunities related to affected communities, and effectiveness of 
those actions",
S3-5,"Targets related to managing material negative impacts, advancing 
positive impacts, and managing material risks and opportunities",315
G1 Business Conduct,,317
G1-1,Business conduct policies and corporate culture,319
G1-3,Prevention and detection of corruption and bribery,318 and 322
G1-4,Confirmed incidents of corruption or bribery,323
a,,
