0,1,2,3,4,5,6,7
"7.4 
ESRS Index
ESRS 2 BP-2-16, ESRS 2 IRO-2-56",,,,,,,
Disclosure,Paragraph,Page,Comments,Disclosure,Paragraph,Page,Comments
ESRS 2 General disclosures,,,,,53,"104, 105",
1. Basis for preparation,,,,"IRO-2 Disclosure Requirements in ESRS covered by 
the undertaking’s sustainability statements",56,"104, 105, 
371-374",
"BP-1 General basis for the preparation of the 
sustainability statements",5,95,,,59,"104, 105",
BP-2 Disclosures in relation to specific circumstances,9,96,,ESRS E1 Climate Change,,,
,10,96,,ESRS E1-GOV-3,13,177,
,11,96,,E1-1 Transition plan for climate change mitigation,14,109,
,13,96,,,16,109,
,14,96,,"Impacts, risks, and opportunity management",,,
,15,97,,"ESRS 2 SBM-3 – Material impacts, risks and 
opportunities and their interaction with strategy and",18,"110, 112",
,16,371-374,,business model,,,
2. Governance,,,,,19,"110, 112",
"GOV-1 The role of the administrative, management 
and supervisory bodies",21,"135, 164, 
172, 195",,ESRS 2 IRO-1 – Description of the processes to,20,"112, 123",
,22,"175, 176",,"identify and assess material climate-related impacts, 
risks and opportunities",,,
,23,98,,,21,112,
"GOV-2 Information provided to and sustainability 
matters addressed by the undertaking’s",26,"98, 173, 174",,E1-2 Policies related to climate change mitigation and,22,113,
"administrative, management and supervisory bodies",,,,adaptation,,,
GOV-3 Integration of sustainability-related,29,177,,,24,113,
performance in incentive schemes,,,,,25,113,
GOV-4 Statement on sustainability due diligence,32,"141, 142",,"E1-3 Actions plans and recourses in relation to climate 
change policies and targets",26,"113, 114",
"GOV-5 Risk management and internal controls over 
sustainability reporting",36,"99, 203-209",,,28,114,
3. Strategy,,,,,29,114,
"SBM-1 Market position, strategy, business model(s)",40,100,,Metric and targets,,,
and value chain,,,,"E1-4 Targets related to climate change mitigation and 
adaptation",30,115,
,41,100,,,33,115,
,42,100,,,34,115,
SBM-2 Interests and views of stakeholders,45,102,,E1-5 Energy consumption and mix,35,116,
"SBM-3 Material impacts, risks and opportunities and 
their interaction with strategy and business model(s)",48,"104, 123, 
356",,,37,116,
"4. Impact, risks and opportunity management",,,,,38,116,
"IRO-1 Description of the processes to identify and 
assess material impacts, risks and opportunities",51,"104, 105",,,39,116,
,,,,,40,117,
