0,1,2,3
"For an explanation of the thresholds maintained to determine the IROs that define the information to be reported, see ESRS  2 IRO-1. For the list",,,
"identified material  IROs, refer to ESRS 2, section SBM-3.",,,
Standard,Disclosure requirement,Page,Comment
ESRS 2,BP-1,43,
ESRS 2,BP-2,44,
ESRS 2,GOV-1,46,
ESRS 2,GOV-2,49,
ESRS 2,GOV-3,50,
ESRS 2,GOV-4,52,
ESRS 2,GOV-5,52,
ESRS 2,SBM-1,53,
ESRS 2,SBM-2,58,
ESRS 2,SBM-3,59,
ESRS 2,IRO-1,65,
ESRS 2,IRO-2,68,
ESRS E1,SBM-3,85,
ESRS E1,GOV-3,50,
ESRS E1,IRO-1,82,
ESRS E1,E1-1,85,
ESRS E1,E1-2,87,
ESRS E1,E1-3,88,
ESRS E1,E1-4,89,
ESRS E1,E1-5,89,
ESRS E1,E1-6,90,
ESRS E1,E1-7,92,
ESRS E1,E1-8,93,
ESRS E1,E1-9,,Phased-in
ESRS E2,,,Not material
ESRS E3,IRO-1,95,
ESRS E3,E3-1,95,
ESRS E3,E3-2,97,
ESRS E3,E3-3,98,
ESRS E3,E3-4,98,
ESRS E3,E3-5,,Phased-in
ESRS E4,SBM-3,100,
ESRS E4,IRO-1,102,
ESRS E4,E4-1,103,
ESRS E4,E4-2,106,
ESRS E4,E4-3,107,
ESRS E4,E4-4,109,
ESRS E4,E4-5,110,
ESRS E4,E4-6,,Phased-in
ESRS E5,IRO-1,112,
ESRS E5,E5-1,112,
ESRS E5,E5-2,113,
ESRS E5,E5-3,114,
ESRS E5,E5-4,114,
ESRS E5,E5-5,115,
ESRS E5,E5-6,,Phased-in
ESRS S1,SBM-2,117,
ESRS S1,SBM-3,117,
ESRS S1,S1-1,118,
ESRS S1,S1-2,123,
