0,1,2,3,4
FERROVIAL IN 2 MINUTES,GLOBAL STRATEGY AND 2024 PERFORMANCE,CORPORATE GOVERNANCE REPORT,REMUNERATION REPORT,RISK REPORT
ESRS E1,E1-7,LC,Material,97
ESRS E1,E1-9,P3,Material,Phased-in
ESRS E1,E1-9,BNCH,Material,Phased-in
ESRS E2,E2-4,SFDR,No Material,
ESRS E3,E3-1,SFDR,Material,95
ESRS E3,E3-1,SFDR,Material,95
ESRS E3,E3-1,SFDR,Material,95
ESRS E3,E3-4,SFDR,Material,98
ESRS E3,E3-4,SFDR,Material,98
ESRS E4,E4 SBM-3,SFDR,Material,100
ESRS E4,E4 SBM-3,SFDR,Material,100
ESRS E4,E4 SBM-3,SFDR,Material,100
ESRS E4,E4-2,SFDR,Material,106
ESRS E4,E4-2,SFDR,Material,106
ESRS E5,E5-5,SFDR,Material,115
ESRS E5,E5-5,SFDR,Material,115
ESRS S1,S1 SBM-3,SFDR,Material,117
ESRS S1,S1 SBM-3,SFDR,Material,117
ESRS S1,S1-1,SFDR,Material,118
ESRS S1,S1-1,P3,Material,118
ESRS S1,S1-1,SFDR,Material,118
ESRS S1,S1-1,SFDR,Material,118
ESRS S1,S1-3,SFDR,Material,124
ESRS S1,S1-14,SFDR/BNCH,Material,134
ESRS S1,S1-14,SFDR,Material,134
ESRS S1,S1-16,SFDR/BNCH,Material,135
ESRS S1,S1-16,SFDR,Material,135
ESRS S1,S1-17,SFDR,Material,137
ESRS S1,S1-17,SFDR/BNCH,Material,137
ESRS S2,S2 SBM-3,SFDR,Material,138
ESRS S2,S2-1,SFDR,Material,139
ESRS S2,S2-1,SFDR,Material,139
ESRS S2,S2-1,SFDR/BNCH,Material,139
ESRS S2,S2-4,SFDR,Material,143
ESRS S3,S3-1,SFDR,Material,148
ESRS S3,S3-1,SFDR/BNCH,Material,148
ESRS S3,S3-4,SFDR,Material,151
ESRS S4,S4-1,SFDR,No Material,
ESRS S4,S4-1,SFDR/BNCH,No Material,
ESRS S4,S4-4,SFDR,No Material,
ESRS G1,G1-1,SFDR,Material,154
ESRS G1,G1-4,SFDR/BNCH,Material,162
ESRS G1,G1-4,SFDR,Material,162
