0,1,2,3
Sartorius,,Combined Group Management Report    Sustainability Report,140.0
,Disclosure,"Brief description 
Page",
Section,Requirement,number,
Pollution,,,
"Impact, risk and opportunity management",,,
,related to,"Description of the process to identify and assess material pollution-related impacts, 
130f.",
,ESRS 2 IRO-1,risks and opportunities,
,MDR-P,"Policies adopted to manage material sustainability matters 
168",
,E2 -1,"Policies related to pollution 
168",
,MDR-A,"Actions and resources in relation to material sustainability matters 
168",
,E2 -2,"Actions and resources related to pollution 
168",
Metrics and targets,,,
,MDR-T,"Tracking effectiveness of policies and actions through targets 
169",
,E2 -3,"Targets related to pollution 
169",
,MDR-M,"Metrics in relation to material sustainability matters 
169",
,E2 -5,"Substances of concern and substances of very high concern 
169",
,E2 -6,"Anticipated financial effects from pollution-related impacts, risks and opportunities 
171",
Water and marine resources,,,
"Impact, risk and opportunity management",,,
,related to,"Description of processes for identifying and assessing material impacts, risks and 
130f.",
,ESRS 2 IRO-1,opportunities related to water and marine resources,
Biodiversity and ecosystems,,,
"Impact, risk and opportunity management",,,
,related to,"Description of the processes for identifying and assessing significant impacts, risks and 
130f.",
,ESRS 2 IRO-1,opportunities related to biodiversity and ecosystems,
Resource use and circular economy,,,
"Impact, risk and opportunity management",,,
,related to,"Description of the processes to identify and assess material resource use and circular 
130f.",
,ESRS 2 IRO-1,"economy-related impacts, risks and opportunities",
,MDR-P,"Policies adopted to manage material sustainability matters 
172",
,E5 -1,"Policies related to resource use and circular economy 
172",
,MDR-A,"Actions and resources in relation to material sustainability matters 
172",
,E5 -2,"Actions and resources related to resource use and circular economy 
172",
Metrics and targets,,,
,MDR-T,"Tracking effectiveness of policies and actions through targets 
173",
,E5 -3,"Targets related to resource use and circular economy 
173",
,MDR-M,"Metrics in relation to material sustainability matters 
173",
,E5 -4,"Resource inflows 
173",
,E5 -5,"Resource outflows 
175",
,E5 -6,"Anticipated financial effects from resource use and circular economy-related impacts, 
178",
,,risks and opportunities,
