0,1,2,3
Sartorius,,Combined Group Management Report    Sustainability Report,141.0
3. Social information,,,
,Disclosure,"Brief description 
Page",
Section,Requirement,number,
Own workforce,,,
Strategy,,,
,related to,"Interests and views of stakeholders 
122f.",
,ESRS 2 SBM-2,,
,related to,"Material impacts, risks and opportunities and their interaction with strategy and 
124f.",
,ESRS 2 SBM-3,business model,
"Impact, risk and opportunity management",,,
,MDR-P,"Policies adopted to manage material sustainability matters 
179f.",
,S1 -1,"Policies related to own workforce 
179f.",
,S1 -2,"Processes for engaging with own workforce and workers’ representatives about 
181f.",
,,impacts,
,S1 -3,"Processes to remediate negative impacts and channels for own workforce to raise 
181f.",
,,concerns,
,MDR-A,"Actions and resources in relation to material sustainability matters 
182f.",
,S1 -4,"Taking action on material impacts on own workforce, and approaches to managing 
182f.",
,,"material risks and pursuing material opportunities related to own workforce, and",
,,effectiveness of those actions,
Metrics and targets,,,
,MDR-T,"Tracking effectiveness of policies and actions through targets 
184",
,S1 -5,"Targets related to managing material negative impacts, advancing positive impacts, 
184",
,,and managing material risks and opportunities,
,MDR-M,"Metrics in relation to material sustainability matters 
184f.",
,S1 -6,"Characteristics of the undertaking’s employees 
184f.",
,S1 -7,"Characteristics of non-employee workers in the undertaking’s own workforce 
189",
,S1 -8,"Collective bargaining coverage and social dialogue 
189",
,S1 -9,"Diversity metrics 
191.",
,S1 -10,"Adequate wages 
192.",
,S1 -11,"Social protection 
193",
,S1 -12,"Persons with disabilities 
194",
,S1 -13,"Training and skills development metrics 
194",
,S1 -14,"Health and safety metrics 
196",
,S1 -15,"Work-life balance metrics 
198",
,S1 -16,"Remuneration metrics (pay gap and total remuneration) 
199",
,S1 -17,"Incidents, complaints and severe human rights impacts 
200",
