0,1,2
Table 47,Compliance with ESRS standard,
"Disclosure 
requirement",Full name of the disclosure requirement,Page
ESRS 2 General disclosures,,
BP-1,General basis for preparation of sustainability statements,88
BP-2,Disclosures in relation to specific circumstances,88
GOV-1,"The role of the administrative, management and supervisory bodies","67, 69,"
,,"73, 115"
GOV-2,Information provided to and sustainability matters addressed by the undertaking’s,"73, 89"
,"administrative, management and supervisory bodies",
GOV-3,Integration of sustainability-related performance in incentive schemes,"82, 83"
GOV-4,Statement on due diligence,90
GOV-5,Risk management and internal controls over sustainability reporting,60
SBM-1,"Strategy, business model and value chain","9, 14, 18"
SBM-2,Interests and views of stakeholders,90
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and","25, 92"
,business model,
IRO-1,"Description of the processes to identify and assess material impacts, risks and",92
,opportunities,
IRO-2,Disclosure requirements in ESRS covered by the undertaking’s sustainability statement,139
ESRS E1 Climate change,,
GOV-3,Integration of sustainability-related performance in incentive schemes,96
E1-1,Transition plan for climate change mitigation,96
IRO-1,"Description of the processes to identify and assess material climate-related impacts,",97
,risks and opportunities,
E1-2,Policies related to climate change mitigation and adaptation,101
E1-3,Actions and resources in relation to climate change policies,101
E1-4,Targets related to climate change mitigation and adaptation,102
E1-5,Energy consumption and mix,103
E1-6,"Gross Scopes 1, 2, 3 and total GHG emissions",104
E1-7,GHG removals and GHG mitigation projects financed through carbon credits,108
E1-8,Internal carbon pricing,108
