0,1,2
"List of applied disclosure requirements, including sections in this Report.",,
,Disclosure requirement,Section
,BP-1 – General basis for preparation of sustainability statements,10.1.1.
,BP-2 – Disclosures in relation to specific circumstances,10.1.2.
,"GOV-1 – The role of the administrative, management and supervisory bodies",10.1.3.
,"GOV-2 – Information provided to and sustainability matters addressed by the undertaking’s 
administrative, management and supervisory bodies",10.1.4.
,GOV-3 – Integration of sustainability-related performance in incentive schemes,10.1.5.
,GOV-4 – Statement on due diligence,10.1.6.
,GOV-5 – Risk management and internal controls over sustainability reporting,10.1.7.
ESRS 2 General,,"10.1.8. 
Option of gradual"
disclosures,"SBM-1 – Strategy, business model and value chain",disclosure used for
,,"paragraphs 40.b. and 
40.c."
,SBM-2 – Interests and views of stakeholders,10.1.9.
,"SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business","10.1.10 
Option of gradual"
,model,"disclosure used for 
paragraph 48.e."
,"IRO-1 – Description of the processes to identify and assess material impacts, risks and 
opportunities",10.1.11.
,IRO-2 – Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,10.1.12
,E1-1 – Transition plan for climate change mitigation,10.2.2.
,"ESRS 2 SBM-3 E1 – Material impacts, risks and opportunities and their interaction with strategy 
and business model",10.2.2.
,E1-2 – Policies related to climate change mitigation and adaptation,10.2.2.
,E1-3 – Actions and resources in relation to climate change policies,10.2.2.
"ESRS E1 Climate 
change",E1-4 – Targets related to climate change mitigation and adaptation,10.2.2.
,E1-5 – Energy consumption and mix,10.2.2.
,"E1-6 – Gross Scopes 1, 2, 3 and total GHG emissions",10.2.2.
,E1-7 – GHG removals and GHG mitigation projects financed through carbon credits,10.2.2.
,E1-8 – Internal carbon pricing,10.2.2.
,"E1-9 – Anticipated financial effects from material physical and transition risks and potential climate-
related opportunities","Option of gradual 
disclosure used"
,E2-1 – Policies related to pollution,10.2.3.
,E2-2 – Actions and resources related to pollution,10.2.3.
,E2-3 – Targets related to pollution,10.2.3.
ESRS E2 Pollution,"E2-4 – Pollution of air, water and soil",10.2.3.
,E2-5 – Substances of concern and substances of very high concern,10.2.3.
,E2-6 – Anticipated financial effects from pollution-related risks and opportunities,"Option of gradual 
disclosure used"
,E3-1 – Policies related to water and marine resources,10.2.4.
,E3-2 – Actions and resources related to water and marine resources,10.2.4.
"ESRS E3 Water and 
marine resources",E3-3 – Targets related to water and marine resources,10.2.4.
,E3-4 – Water consumption,10.2.4.
,E3-5 – Anticipated financial effects from water and marine resources-related risks and opportunities,"Option of gradual 
disclosure used"
,"E4-1 – Transition plan and consideration of biodiversity and ecosystems in strategy and business 
model",10.2.5.
,"ESRS 2 SBM-3 E4 – Material impacts, risks and opportunities and their interaction with strategy 
and business model",10.2.5.
ESRS E4 Biodiversity,E4-2 – Policies related to biodiversity and ecosystems,10.2.5.
and ecosystems,E4-3 – Actions and resources related to biodiversity and ecosystems,10.2.5.
,E4-4 – Targets related to biodiversity and ecosystems,10.2.5.
,E4-5 – Impact metrics related to biodiversity and ecosystems,10.2.5.
