0,1,2,3,4,5,6
,,,,10 Principles,,TCFD-CDSB (3)
,,CSRD,,of the Global,,"(Climate Change 
Reporting"
Universal Registration Document,,(ESRS/DR),SDG  (1),Compact,GRI (2),Framework)
Chapter/,,,,,,
Section #,Chapter/Section heading,,,,,
4.2.2,Statement on due diligence,GOV-4,"8, 10, 16",,,
,,S1-2,,,,
,,S3-2,,,,
,,S4-2,,,,
,,S1-3,,,,
,,S4-3,,,,
,,S1-17,,,,
5.,Business- and segment-specific information,,,,,
5.1.,Cyberprotection and digital,,,,,
,sovereignty,,,,,
5.1.2.,Policy related to cyberprotection,MDR-P,"16, 17",,,
,and digital sovereignty,,,,,
5.1.3.,Targets related to cyberprotection,MDR-T,"16, 17",,,
,and digital sovereignty,,,,,
5.1.4.,Cyberprotection and digital,MDR-A,"16, 17",,,
,sovereignty action plans and,,,,,
,resources,,,,,
5.1.5.,Indicators related to,MDR-M,"16, 17",,,
,cyberprotection and digital,,,,,
,sovereignty,,,,,
5.2.,"Developing 
responsible 
digital",,,,,
,technology,,,,,
5.2.2.,Responsible digital technology,MDR-P,"8, 10, 16",,,
,policy,,,,,
5.2.3.,Action plans and resources for,MDR-T,"8, 10, 16",,,
,responsible digital technology,MDR-A,,,,
,,MDR-M,,,,
