0,1,2,3,4
,,,CROSS-REFERENCE TABLES,5.0
ESRS,"Disclosure 
requirement",Disclosure requirement description,Reference in the Sustainability report,
G1,G1-1,Business conduct policies and corporate culture,"4.2 Corporate culture and business conduct policy – 
Whistleblower protection, p. 269",
G1,G1-2,Management of relationships with suppliers,"4.4 Supplier relations, p. 272",
,,,"4.2 Corporate culture and business conduct policy – 
Whistleblower protection, p. 269",
G1,G1-3,Actions and resources in relation to business conduct,4.3 Prevention and detection of corruption and bribery –,
,,,"Cases of corruption or bribery, p. 271",
G1,G1-3,Prevention and detection of corruption and bribery,"4.3 Prevention and detection of corruption and bribery – 
Cases of corruption or bribery, p. 271",
,,Tracking effectiveness of policies and actions through targets on business,"4.2 Corporate culture and business conduct policy – 
Whistleblower protection, p. 269",
G1,G1-4,conduct,4.3 Prevention and detection of corruption and bribery –,
,,,"Cases of corruption or bribery, p. 271",
G1,G1-4,Confirmed incidents of corruption or bribery,"4.3 Prevention and detection of corruption and bribery – 
Cases of corruption or bribery, p. 271",
G1,G1-5,Political influence and lobbying activities,Not material,
G1,G1-6,Payment practices,"4.4 Supplier relations, p. 272",
