Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"Message from the Chairman and CEO | 5.2. Annex 2: List of references | ESRS E1.IRO-1 20 a,b,c, AR 9 et AR12a | Phase in requirements for ESRS E1.IRO-1, AR 11 a, b, c & d, 21, | AR 12 a, b, c & d, 21 et AR 15 | 5.3. Annex 3: List of omitted information | Reference | ESRS2 | ESRS 2 | 1 11 | 3 18 b,c | 3 AR 7 | 5","Our ambitions and achievements Management report Sustainability statements Financial statements 121 121 | 121 121 | 98 51 113 121 121 | 50 di 113 121 121 | 98 50 c 113 121 121 | 122 122 | Justification for omission Reference Justification for omission 122 122 | 5d Not applicable 3 34 Non-material data 122 122 | 5e Not applicable 4 40 b Non-material data 122 122 | AR2 Voluntary reporting 4 41 Non-material data 122 122 | AR6 Voluntary reporting 4 AR 33, 35, 36, 40, 41 and 48 Voluntary reporting 122 122 | 40 a iv Not applicable 4 AR 43 Non-material data 122 122 | 45 c i Not applicable 5 AR 49 Voluntary reporting 122 122 | 45 c iii Not applicable 6 52 Voluntary reporting 122 122 | 53 h Not applicable 7 Non-material sub-theme 122 122 | 57 Not applicable 8 Non-material sub-theme 122 122 | 58 Voluntary reporting 9 Non-material sub-theme 122 122 | Voluntary reporting 122 122 | Non-material theme 122 122",121,"11,12,15,18,20,21,33,34,35,36,40,41,43,45,48,49,50,51,52,53,57,58,98,113",
BP-1,"5 a , 5 b i | 5 b ii | 5c","74 44, 46d ; 48 a,b, 49 a,b, 52 121 121 | 75 a,b, 51, AR43c, AR45e, AR46j 105 121 121 | 80 AR 55 107 121 121",121,"44,48,49,51,52,55,74,75,80,105,107",
BP-2,"9 a , 9 b | 10 a, b, c & d , 11 a, 11 b i & 11 b ii | 13 a, b &c ; 14 a, b & c | 16 | 17 | 15",75 AR 41 105 121 121 | 76 AR39 b 105 121 121 | 77 AR39b 105 121 121 | 76 10 c 105 121 121 | 77 45d 105 121 121 | 77 10 c 106 121 121,121,"10,11,13,14,15,16,17,41,75,76,77,105,106",
E1,"19 a, b , AR7b | 19 c, AR 8b | 13 | 18 | 19c","98 49, 50 dii 112 121 121 | 98 50 a,b 113 121 121 | 97 46 112 121 121 | 97 47 112 121 121 | 98 47 112 121 121",121,"13,18,19,46,47,49,50,97,98,112,113",
E1-1,"ESRS , 16 h & i | 16a | 16 f; 29 c ii,16 c & c iii,16 c | 16 d | 16","99 Phase in requirements for 83 a, 84, 85 113 121 121 | 99 Phase in requirements for 83 b 113 121 121 | 103 ESRS G1.GOV-1_5a, ESRS G1.GOV-1_5b 118 121 121 | 103 9, 10g, 20, 21a, 21b, 21c 118 121 121 | 104 ESRS G1-1_10a, ESRS G1-1_10c, ESRS G1-3_18a 119 121 121",121,"16,20,29,83,84,85,99,103,104,113,118,119",
E1-2,"24, 25 | 24",98 50 113 121 121 | 99 113 121 121,121,"24,25,50,98,99,113",
E1-3,"29a, AR21, 14, 16b,j, 34f, 16b | 29 b | 29 b, 34 a,b | AR21, 33, 34b | 29a, 14, 16b,j | 29 ci, 16c","101 ESRS S2-SBM-3 11 a,c 115 121 121 | 101 ESRS S2-16, 17, 18, 19 115 121 121 | 101 115 121 121 | 101 27, 28 116 121 121 | 101 117 121 121 | 102 41 117 121 121 | 103 15a, 15b 117 121 121",121,"11,14,16,17,18,19,27,28,29,33,34,41,101,102,103,115,116,117",
E1-4,"34b | 34 a,b | AR 25 a,b | 33",100 115 121 121 | 102 40 117 121 121 | 102 42 117 121 121 | 100 114 121 121,121,"25,33,34,40,42,100,102,114,115,117",
E1-6,AR 39b | 50,"104 ESRS G1-4_01, ESRS G1-4_02 119 121 121 | 104 121 121",121,"50,104,119",
GOV-1,& 3,89 43 112 121 121,121,"43,89,112",
GOV-2,89,"36, 37, 38, 39, 42 112 121 121",121,"36,37,38,39,42,89,112",
GOV-4,79,"ESRS E1-6, AR 46 i 106 121 121",121,"46,79,106",
GOV-5,"; 53 d,e,f","78 AR 46 i, 46 h 106 121 121",121,"46,53,78,106",
IRO-1,"53 b,c,d,g | 53 a",87 32 111 121 121 | 88 33 111 121 121,121,"32,33,53,87,88,111",
SBM-1,"42 a, b | 40 a i,ii; 42 | 40 a iii | 42 c | 42","80 53, 55 & AR55 107 121 121 | 79 10 c, E1-6, AR 46 106 121 121 | 79 AR39 b 106 121 121 | 80 53 107 121 121",121,"10,40,42,46,53,55,79,80,106,107",
SBM-2,45 b | 45 d | 45 a i | 45 a | 45 a iv | 45 a v | 45 a ii | 45 a iii | 45 c ii,"81 107 121 121 | 80 47, 42c 106 121 121 | 81 AR55 107 121 121 | 81 107 121 121 | 81 66a,b,c,d, AR70ci, AR69a,b 107 121 121 | 81 Phase in requirements for 67, 68,69 & AR 72,73 108 121 121 | 82 67e 108 121 121 | 82 108 121 121 | 83 ESRS S1-SBM-3 109 121 121 | 83 20 a, b, c, 21 109 121 121 | 83 17,18,19, 23 110 121 121 | 83 22 110 121 121 | 84 24 a,b,c,d 110 121 121",121,"17,18,19,20,21,22,23,24,45,47,67,68,69,72,73,80,81,82,83,84,106,107,108,109,110",
SBM-3,"48 a ;b; 48c I, ii, iii, iv; d; f; g; h | 48 a | 48","87 31, 32 111 121 121 | 85 20b, 25, 26, 27 111 121 121 | 87 32 111 121 121",121,"25,26,27,31,32,48,85,87,111",
e,"ESRS E1-4, 34 & 16 a | ESRS E1-4, 34 & 16 a,g",99 87 114 121 121 | 100 88 114 121 121,121,"16,34,87,88,99,100,114",
