Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"Annex 1 - Content Index - list of the Disclosure Requirements | List of disclosure requirements | ESRS 2 General Disclosure | bodies | Information provided to and sustainability matters addressed by | schemes | reporting | with strategy and business model | impacts, risks and opportunities | sustainability statement | List of disclosure requirements | with strategy and business model | representatives about impacts | workforce to raise concerns | Taking action on material impacts on own workforce, and | opportunities related to own workforce, and effectiveness of | those actions | Targets related to managing material negative impacts, | opportunities | workforce | impacts | consumers and end-users to raise concerns | users, and approaches to managing material risks and pursuing | Annex 4 – Incorporated by reference | ESRS Disclosures/Data | point | of the current Annual Board of | Directors’ Report 2024. | composition and diversity of the members of the undertaking’s | administrative, management and supervisory bodies: (c) | experience relevant to the sectors, products and geographic | locations of the undertaking. | SBM-1-40-a | offered, including changes in the reporting period (new/removed | products and/or services) | A description of the scope of the policy, or of its exclusions, in | terms of activities, upstream and/or downstream value chain, | geographies and if relevant, affected stakeholder groups | Security, Mining, Shipping, Civil | Nuclear Power, Oil and Gas, | Tobacco.","201 201 | Page 201 201 | Page 202 202 | 202 202 | 207 207 | Requirement Location 207 207 | of the current Annual Board of 207 207 | Directors’ Report 2024. 207 207 | Description of: i. significant groups of products and/or services Chapter 4. Group activity and 207 207 | results of the current Annual Board 207 207 | of Directors Report 2024 207 207 | Agriculture and Forestry, Dams 207 207 | and Hydropower, Thermal Power, 207 207 | Thermal Coal, Defense and 207 207",201,40,
BP-1,General basis for preparation of the sustainability statement,64-72 201 201,201,"64,65,66,67,68,69,70,71,72",
BP-2,Disclosures in relation to specific circumstances,65-66 201 201,201,"65,66",
E1,Climate change,201 201,201,,
E1-1,Transition plan to reach x climate neutrality by 2050 paragraph 14 | Undertakings excluded from Paris-aligned Benchmarks paragraph 16 x x (g),105 203 203,203,105,"paragraph 14, paragraph 16 x x (g)"
E1-2,(MDR-P 65 b),Policies related to Climate Change - SG E&S sectoral policies: Industrial 207 207,207,65,
E1-4,GHG emission reduction x x x targets paragraph 34,123-126 203 203,203,"123,124,125,126",paragraph 34
E1-5,Energy consumption from fossil sources disaggregated by sources x (only high climate impact sectors) paragraph 38,Not material 203 203,203,,paragraph 38
GOV,1-21-c,The undertaking shall disclose the following information about the Chapter 2 Corporate Governance 207 207,207,21,Chapter 2 Corporate
GOV-1,"The role of the administrative, management and supervisory | Board's gender diversity x x paragraph 21 (d) | Percentage of board members who are independent x paragraph 21 (e)",67-72 201 201 | 72 203 203,201,"67,68,69,70,71,72",paragraph 21
GOV-1-21,-a,(a) the number of executive and non-executive members Chapter 2 Corporate Governance 207 207,207,,Chapter 2 Corporate
GOV-2,"the undertaking’s administrative, management and supervisory",68-69 201 201,201,"68,69",
GOV-3,Integration of sustainability-related performance in incentive,71 201 201 | 71-74 201 201,201,"71,72,73,74",
GOV-4,Statement on due diligence | Statement on due x diligence paragraph 30,72 201 201 | 72-73 203 203,201,"72,73",paragraph 30
GOV-5,Risk management and internal controls over sustainability,73-74 201 201,201,"73,74",
IRO-1,Description of the process to identify and assess material,85-94 201 201,201,"85,86,87,88,89,90,91,92,93,94",
IRO-2,Disclosure Requirements in ESRS covered by the undertaking’s,"64, 200-202 201 201",201,"64,200,202",
S1,Own workforce,202 202,202,,
S4,Consumers and end-users,202 202,202,,
SBM-1,"Strategy, business model and value chain | Involvement in activities related to fossil fuel activities paragraph x x x 40 (d) i | Involvement in activities related to chemical production paragraph x x 40 (d) ii | Involvement in activities related to controversial weapons x x paragraph 40 (d) iii | Involvement in activities related to cultivation and production of x tobacco paragraph 40 (d) iv",74-80 201 201 | Not material 203 203,201,"40,74,75,76,77,78,79,80",paragraph 40
SBM-2,Interests and views of stakeholders,80-85 201 201,201,"80,81,82,83,84,85",
SBM-3,"Material impacts, risks and opportunities and their interaction",106 201 201 | 94-103 201 201 | 145-149 202 202 | 170-171 202 202,201,"94,95,96,97,98,99,100,101,102,103,106,145,146,147,148,149,170,171",
