Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"Disclosure requirements | ESRS 2 | Data points that derive from other EU legislation | Strategy, business model and value chain (headcount by country) | Strategy, business model and value chain (breakdown of revenue) | SUS – Sustainability Statement; AR – Annual Report | Disclosure requirements | SUS – Sustainability Statement; AR – Annual Report",Section / Report Page Additional information 178 178 | General disclosures 178 178 | SUS 184 178 178 | SUS 157 Disclosed in Chapter 178 178 | SUS 81 Revenues from coal and gas 178 178 | 178 178 | Section / Report Page Additional information 179 179 | 179 179 | Section / Report Page Additional information 180 180 | 180 180 | Section / Report Page Additional information 181 181 | 181 181 | Section / Report Page Additional information 182 182 | 182 182 | Section / Report Page Additional information 183 183 | 183 183,178,"81,157,184",
BP-1,General basis for preparation of the sustainability statement,SUS 74 178 178,178,74,
BP-2,Disclosures in relation to specific circumstances,"SUS 76 Estimations: E1, E4, 178 178",178,76,
GOV-1,"The role of the administrative, management and supervisory bodies",SUS 95 178 178,178,95,
GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s administrative, management and supervisory bodies",SUS 96 178 178,178,96,
GOV-3,"Integration of sustainability-related performance in incentive schemes | ESRS 2,",SUS 97 178 178 | Integration of sustainability-related performance in incentive schemes SUS 97 179 179,178,97,
GOV-4,Statement on sustainability due diligence,SUS 100 178 178,178,100,
GOV-5,Risk management and internal controls over sustainability reporting MR 59 Internal controls environment,SUS AR 100 61 Section 2.9 Development of risks and opportunities 178 178,178,59,2.9 Development of risks and
IRO,Content index of ESRS disclosure requirements: Cross-cutting standard general disclosures 2-56 and | Content index of ESRS disclosure requirements: Environmental standard – Climate change 1-56 | Content index of ESRS disclosure requirements: Environmental standard – Biodiversity and ecosystems 2-56 | Content index of ESRS disclosure requirements: Environmental standard – Resource use and circular economy 2-56 | Content index of ESRS disclosure requirements: Social standard – Own workforce 2-56 | Content index of ESRS disclosure requirements: Social standard - Workers in the value chain 1-56,178 178 | 179 179 | 180 180 | 181 181 | 182 182 | 183 183,178,56,2-56 and
IRO-1,"Description of the process to identify and assess material impacts, risks and opportunities | ESRS 2,","SUS 88 – Risk management and internal control over sustainability reporting 178 178 | Description of the processes to identify and assess material climate-related impacts, risks and opportunities SUS 88 179 179 | Description of processes to identify and assess material biodiversity and ecosystem-related impacts, risks and opportunities SUS 93, 131 180 180 | Description of the processes to identify and assess material resource use and circular economy-related impacts, risks and opportunities SUS 94, 142 181 181",178,"88,93,94,131,142",
IRO-2,Disclosure requirements in ESRS covered by the undertaking’s sustainability statement,SUS 184 178 178,178,184,
SBM-1,"Strategy, business model and value chain (products, markets, customers)","SUS AR 77 21, 28 178 178",178,"21,28,77",
SBM-2,Interests and views of stakeholders,SUS 82 178 178 | SUS 81 182 182 | SUS 81 183 183,178,"81,82",
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model | ESRS 2,","SUS AR 83 209 Goodwill impairment test assumption 178 178 | Material impacts, risks and opportunities, and their interaction with strategy and business model SUS 83, 115 179 179 | Material impacts, risks and opportunities and their interaction with strategy and business model SUS 83, 131 180 180 | SUS 83, 150 182 182 | SUS 83, 162 183 183",178,"83,115,131,150,162,209",
