Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"signatory to the UN’s Global Compact, each year, the Group | publishes its Progress | communicates on its contribution to the principles of the | Global Compact Principles | Human Rights | International Labour Standards | 4.6.5 Identification, assessment and management of risks related to suppliers and subcontractors | Environment | 5.13.4 ESRS vs GRI cross-reference table | GRI Standards | GRI 2: General | 2021 Publication | 2-3 Reporting period, frequency and contact point | 2-4 Information reviews | 2-5 External insurance | 2-6 Activities, value chain and other business relationships | 2-7 Employees | 2-8 Workers who are not employees | 2-9 Governance structure and composition | See also the requirements of the corporate governance statement of Directive 2013/34/EU for | public interest entities | 2-10 Appointment and selection of the highest governance body | 2-11 Chair of the highest governance body | 2-12 Role of the highest governance body in overseeing impact management | 2-13 Delegation of responsibility for impact management | 2-14 Role of the highest governance body in the sustainability report | 2-15 Conflicts of interest | 2-16 Communication of critical concerns | 2-17 Collective knowledge of the highest governance body | 2-18 Assessment of the performance of the highest governance body | 3.2.1 | 2-19 Remuneration policies | See also the remuneration report requirements of Directive (EU) 2017/828 for listed companies | 2-20 Process for determining remuneration | [ for listed companies only ] | 2-21 Annual total remuneration ratio | 2-22 Statement on the sustainable development strategy | 2-23 Political commitments | 5.11.2.1; 5.12.2.2 | 2-24 Integration of political commitments | 5.10.2.4; 5.11.2.4; 5.12.2.2 | 2-25 Negative impacts remediation process | 5.11.2.3; 5.11.2.4 | 2-26 Mechanisms for seeking advice and reporting concerns | 5.12.2.2; 5.12.2.6 | 2-27 Compliance with laws and regulations | 2-28 Membership associations | covered by MDR-P, MDR-A, MDR-T, and/or as an entity-specific metric to be disclosed according to | ESRS 1 §11 and in accordance with MDR-M. | GRI Standards | 2-29 Stakeholder engagement approach | 5.9.2.2; 5.10.2.1; 5.10.2.2; 5.11.2.1; | 5.11.2.2 | 2-30 Collective bargaining agreements | GRI 3: | Material | Topics 2021 | 5.9.3.1; 5.10.2.2; 5.10.2.4; | 5.10.3.1; 5.11.2.2; 5.11.2.4 | GRI 201: | Economic performance 2016 | opportunities due to climate change | 201-3 Defined benefit obligations and other retirement plans | 201-4 Financial assistance received from the government | GRI 202: | Market presence 2016 | the local community | MDR-A, MDR-T, and / or as an entity-specific metric to be disclosed according to ESRS 1 and in accordance | with MDR-M. | GRI 203: | Indirect economic impacts 2016 | MDR-A, MDR-T, and / or as an entity-specific metric to be disclosed according to ESRS 1 §11 and in | accordance with MDR-M. | 203-2 Significant indirect economic impacts | GRI 204: | Procurement practices 2016 | 16. Therefore, this GRI disclosure is covered by MDR-P, MDR-A, MDR-T, and/or as an entity-specific metric to | be disclosed according to ESRS 1 §11 and in accordance with MDR-M. | GRI 205: | Anti-corruption 2016 | 205-2 Communication and training about anti- corruption policies and procedures | 205-3 Confirmed incidents of corruption and actions taken | GRI 206: A Anti- competitive behaviour | 2016 | GRI Standards | GRI 207: | Taxation 2019 | risks | 207-3 Stakeholder engagement and management of tax concerns | 207-4 Country by country report | 301-1 Materials used by weight or volume | 301-2 Recycled input materials used | 301-3 Reclaimed products and their packaging materials | Therefore, this GRI disclosure is covered by MDR-P, MDR-A, MDR-T, and/or as an entity-specific metric to | be disclosed according to ESRS 1 and in accordance with MDR-M. | GRI 302: | Energy | 2016 | ESRS 1. Therefore, this GRI disclosure is covered by MDR-P, MDR-A, MDR-T, and/or as an entity-specific | 302-2 Energy consumption outside of the organisation | 302-3 Energy intensity | MDR-P, MDR-A, MDR-T, and/or as an entity-specific | 302-4 Reduction of energy consumption | 302-5 Reductions in energy requirements of products and services | GRI 303: | Water and effluents 2018 | 303-2 Management of water discharge related impacts | 303-3 Water withdrawal | covered by MDR-P, MDR-A, MDR-T, and/or as an entity-specific metric to be disclosed according to | ESRS 1 and in accordance with MDR-M. | 303-4 Water discharge | 303-5 Water consumption | GRI 304: | Biodiversity 2016 | adjacent to protected areas and areas of high biodiversity value outside protected areas | 304-2 Significant impacts of activities, products and services on biodiversity | 304-3 Habitats protected or restored | 304-4 IUCN Red List species and national conservation list species with habitats in areas | affected by operations | GRI Standards | GRI 305: | Emissions 2016 | 305-2 Energy indirect (Scope 2) GHG emissions | 305-3 Other indirect (Scope 3) GHG emissions | 305-4 GHG emissions intensity | Reduction of GHG emissions | 305-6 Emissions of ozone-depleting substances (ODS) | by MDR-P, MDR-A, MDR-T, and/or as an entity- specific metric to be disclosed according to ESRS 1 §11 | and in accordance with MDR-M. | 305-7 Nitrogen oxides (NOX), sulfur oxides (SOX), and other significant air emissions | GRI 306: | Waste | 2020 | 306-2 Management of significant waste-related impacts | 306-3 Waste generated | 306-4 Waste diverted from disposal | 306-5 Waste directed to disposal | Effluents and waste 2016 | MDR-A, MDR-T and/or as an entity-specific indicator to be published in accordance with ESRS 1 and with | MDR-M | GRI 308: | Supplier Environmental | Assessment 2016 | chain and actions taken | GRI 401: | Employment 2016 | 401-2 Benefits provided to full-time employees that are not provided to temporary or part-time | employees | 401-3 Parental leave | GRI 402: | Labour/management relations 2016 | changes | MDR-A, MDR-T, and/or as an entity-specific metric to be disclosed according to ESRS 1 and in accordance | with MDR-M. | GRI Standards | GRI 403: | Occupational health and safety 2018 | system | 403-2 Hazard identification, risk assessment and incident investigation | 403-3 Occupational health services | 403-4 Worker participation, consultation, and communication on occupational health and safety | 403-5 Worker training on occupational health and | safety | 403-6 Promotion of workers ’health | covered by MDR-P, MDR-A, MDR-T, and/or as an entity-specific metric to be disclosed according to | ESRS 1 and in accordance with MDR-M. | 403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business | relationships | 403-8 Workers covered by an occupational health and safety management system | 403-9 Work-related injuries | 403-10 Work-related ill health | GRI 404: | Training and education 2016 | 404-2 Programmes for upgrading employee skills and transition assistance programmes | 404-3 Percentage of employees receiving regular performance and career development reviews | GRI 405: | Diversity and equal opportunities 2016 | 405-1 Diversity of governance bodies and employees | 405-2 Ratio of basic salary and remuneration of women to men | GRI 406: | Non-discrimination 2016 | actions taken | GRI 407: | Freedom of association and collective | bargaining 2016 | freedom of association and collective bargaining may be at risk | MDR-A, MDR-T, and/or as an entity-specific metric to be disclosed according to ESRS 1 and in accordance | with MDR-M. | GRI Standards | GRI 408: | Child labour 2016 | incidents of child labour | GRI 409: | Forced or compulsory labour 2016 | incidents of forced or compulsory labour | GRI 410: | Security practices 2016 | covered by MDR-P, MDR-A, MDR-T, and/or as an entity-specific metric to be disclosed according to | ESRS 1 and in accordance with MDR-M. | GRI 411: | Rights of indigenous peoples 2016 | indigenous peoples | GRI 413: | Local communities 2016 | 413-2 Operations with significant actual and potential negative impacts on local communities | GRI 414: | Supplier social assessment 2016 | 414-2 Negative social impacts in the supply chain and action taken | GRI 415: | Public policy 2016 | GRI 416: | Customer health and safety 2016 | Therefore, this GRI disclosure is covered by MDR-P, MDR-A, MDR-T, and/or as an entity-specific metric to | be disclosed according to ESRS 1 and in accordance with MDR-M. | 416-2 Incidents of non-compliance concerning the health and safety impacts of products and services. | GRI 417: | Marketing and Labeling 2016 | 1. Therefore, this GRI disclosure is covered by MDR-P, MDR-A, MDR-T, and/or as an entity-specific metric to | 417-2 Incidents of non-compliance concerning product and service information and labeling | Incidents of non-compliance concerning marketing communications | GRI 418: | Customer privacy 2016 | 5.11.2.4 | 5.13.5 Cross-reference table for TNFD and ESRS recommendations | TNFD recommendations | GOVERNANCE | Describe the Board’s monitoring of nature-related dependencies, impacts, risks and opportunities. | Describe the role of management in assessing and managing nature- related dependencies, impacts, risks | and opportunities. | • ESRS 2 MDR-P on policies | Describe the organisation's human rights policies and commitment activities, as well as the supervision by the | Board of Directors and management, in relation to | indigenous peoples, local communities, affected stakeholders and others, in the organisation's assessment | of nature-related dependencies, impacts, risks and opportunities, and in the responses it provides. | opportunity management"" | STRATEGY | Describe the nature-related dependencies, impacts, risks and opportunities that the organisation has identified in | the short, medium and long term. | environmental standards. | Describe the effect that nature-related dependencies, impacts, risks and opportunities have had on the | organisation’s business model, value chain, strategy and | financial planning, as well as the transition plans or analyses in place. | • ESRS 2 MDR-A actions and the corresponding data points | in the environmental standards. | • ESRS 2 MDR-T targets and corresponding data points in environmental standards. | Thematic environmental standards • | Describe the resilience of the organisation’s strategy to nature-related risks and opportunities, taking into | account different scenarios. | Thematic environmental standards on “Actions and • resources related to material sustainability issues”. | Thematic environmental standards on the ‘anticipated • | financial effects of significant environmental risks and opportunities’ | Disclose the locations of assets and/or activities in the organisation's direct operations and, if possible, the | upstream and downstream value chains that satisfy the | priority location criteria.","Plan. These two annual publications allow Eramet to reflect nan 557 557 | Report. Eramet therefore the policies, actions and results which the Group nan 557 557 | implements as part of its approach to CSR. nan 557 557 | Sustainability report Eramet Vigilance Plan nan 557 557 | Own workforce 4.6.3 Mapping of risks of human rights violations nan 557 557 | Own workforce 4.6.3 Mapping of risks of harm to human health and safety nan 557 557 | 5.0 557 557 | 4.6.3 Environmental risk mapping nan 557 557 | 558 558 | Disclosure Requirement Sustainability report Sections 558 558 | 2-1 Organisational details See the requirements of Directive 2013/34/EU 5.1.1.1 558 558 | 2-2 Entities included in the organisation’s sustainability report 5.1.4.1 558 558 | ESRS 1 5.1.4.1 558 558 | 5.1.4.2 558 558 | See the external insurance requirements of Directive (EU) 2022/2464 5.13.6 558 558 | 5.1.2.1 558 558 | ESRS 2 SBM-1; 5.1.2.1; 5.8.3.2 558 558 | 5.8.3.3 558 558 | ESRS 2 GOV-1; 5.1.1.1 558 558 | This topic is not covered by the list of sustainability questions in ESRS 1. 3.1 558 558 | ESRS 2 GOV-1; SBM-2; 5.1.1.1 558 558 | ESRS 2 GOV-1; GOV-2; 5.1.1.1 558 558 | ESRS 2 GOV-5; 5.1.1.5 558 558 | This topic is not covered by the list of sustainability questions in ESRS 1. 3.1.1.4 558 558 | ESRS 2 GOV-2; G1-1; 5.1.1.2 558 558 | 5.1.1.1 558 558 | This topic is not covered by the list of sustainability questions in ESRS 1. 5.1.1.1 558 558 | ESRS 2 GOV-3; 3.2.1 558 558 | 3.2.1 558 558 | See also the remuneration report requirements of Directive (EU) 2017/828 for listed companies 558 558 | 5.8.3.12 558 558 | ESRS 2 GOV-4; MDR-P; S1-1; S2-1; S3-1; S4-1; 5.1.1.4; 5.8.2.1; 5.9.2.1; 5.10.2.1; 558 558 | ESRS 2 GOV-2; MDR-P; S1-4; S2-4; S3-4; S4-4; 5.1.1.2; 5.8.2.4; 5.9.2.4; 558 558 | S1-1; S1-3; 5.8.2.1; 5.8.2.3; 5.9.2.1; 5.9.2.3; 558 558 | S1-3; S2-3; S3- 3; S4- 3; G1-1; 5.8.2.3; 5.9.2.3; 5.10.2.3; 5.11.2.3; 558 558 | ESRS 2 SMB-3; 5.10.11.1; 5.4.2.2; 5.8.3.13; 558 558 | “Political commitment” is a sustainability issue for covered by ESRS 1. Therefore, this GRI disclosure is 5.12.3.3 558 558 | Disclosure Requirement Sustainability report Sections 559 559 | ESRS 2 SMB-2; S1-1; S1-2; S2-1; S2-2; S3-1; S3-2; S4-1; 5.10.2.2; 5.8.2.1; 5.8.2.2; 5.9.2.1; 559 559 | 559 559 | 5.8.3.4 559 559 | 3-1 Process for determining material topics ESRS 2 BP-1; 5.1.4.1; 5.1.3.1; 5.3.3.1 559 559 | 3-2 List of material topics 5.1.3.2 5.3.2.1 559 559 | 3-3 Management of material topics ESRS 2 SBM-1; SBM-3; MDR-P, MDR-A, MDR-M, and 5.1.2.1; 5.1.3.2 559 559 | 201-1 Direct economic value generated and distributed This topic is not covered by the list of sustainability questions in ESRS 1. 559 559 | 201-2 Financial implications and other risks and ESRS 2 SBM-3; E1-3; 5.10.11.1; 5.3.3.3; 559 559 | 5.3.4.6 5 559 559 | This topic is not covered by the list of sustainability questions in ESRS 1. 559 559 | This topic is not covered by the list of sustainability questions in ESRS 1. 5.12.2.4; 5.12.3.3 559 559 | 202-1 Ratios of the standard entry level wage by gender compared to the local minimum wage 5.8.3.6 559 559 | 202-2 Proportion of senior management hired from “Economic, social and cultural rights of communities” 5.10 559 559 | is a sustainability issue for covered by ESRS 1. Therefore, this GRI disclosure is covered by MDR-P, 559 559 | 203-1 Infrastructure investments and services supported “Economic, social and cultural rights of communities” is a sustainability issue for covered by ESRS 1 §AR 5.10 559 559 | 16. Therefore, this GRI disclosure is covered by MDR-P, 559 559 | S1-4; 559 559 | 3-3 Management of material topics 5.12.2.5 559 559 | 204-1 Proportion of spending on local suppliers “Economic, social and cultural rights of communities” is a sustainability issue for covered by ESRS 1 §AR 5.10 559 559 | 3-3 Management of material topics G1-1; 5.12.2.2; 5.12.2.6 559 559 | 205-1 Operations assessed for risks related to corruption 5.12.2.6 559 559 | 5.12.2.6 559 559 | 5.12.3.2 559 559 | 206-1 Legal actions for anti-competitive behaviour, anti-trust and monopoly practices This topic is not covered by the list of sustainability questions in ESRS 1. Not concerned Appendices 559 559 | Disclosure Requirement Sustainability report Sections 560 560 | 207-1 Tax approach This topic is not covered by the list of sustainability questions in ESRS 1. 5.12.2.4 560 560 | 207-2 Governance, control and management of tax This topic is not covered by the list of sustainability 560 560 | questions in ESRS 1. 5.12.2.4 560 560 | This topic is not covered by the list of sustainability questions in ESRS 1. 5.12.2.4 560 560 | This topic is not covered by the list of sustainability questions in ESRS 1. 5.12.2.4; 5.12.3.3 560 560 | 5.7.2.2 560 560 | “Product and service resource flows” and “Waste” are sustainability issues for covered by ESRS 1. Not concerned 560 560 | 560 560 | 3-3 Management of material topics E1-2; E1-3; 5.3.3.2; 5.3.3.3; 5.3.4.1 560 560 | 302-1 Energy consumption within the organisation 5.3.4.2 560 560 | “Energy” is a sustainability issue for covered by 5.3.4.3 560 560 | metric to be disclosed according to ESRS 1 and in accordance with MDR-M. 560 560 | 5.3.4.2 560 560 | 5.3.4.1 560 560 | metric to be disclosed according to ESRS 1 and in accordance with MDR-M. 5.3.4.2 560 560 | 3-3 Management of material topics 5.5.1.1; 5.5.1.2 560 560 | 303-1 Interactions with water as a shared resource ESRS 2 SBM-3; MDR-T; 5.1.3.2; 5.3.2.1; 5.5.1.3 560 560 | 5.4.2.1 560 560 | “Water withdrawal” is a sustainability issue for covered by ESRS 1. Therefore, this GRI disclosure is 5.5.2.2 560 560 | “Water discharge” is a sustainability issue for covered by ESRS 1. Therefore, this GRI disclosure is 5.5.2.2 560 560 | 5.5.2.2 560 560 | 3-3 Management of material topics E4-1; E4-2; E4-3; 5.6.1.2; 5.6.2.2; 5.6.2.3; 5.6.3.1 560 560 | 304-1 Operational sites owned, leased, managed in or 5.6.3.2 560 560 | 5.6.3.2 560 560 | E4-3; 5.6.2.3; 5.6.3.1 560 560 | Disclosure Requirement Sustainability report Sections nan 561 561 | 3-3 Management of material topics and GRI 305 1.2 E1-2; E1-3; E1-4; E1-7; E2-1; E2-2; 5.3.3.2; 5.3.3.3; 5.3.4.1; 5.3.4.4 nan 561 561 | 305-1 Direct (Scope 1) GHG emissions E1-4; 5.3.4.1; 5.3.4.3 nan 561 561 | E1-4; 5.3.4.1; 5.3.4.3 nan 561 561 | 5.3.4.3 nan 561 561 | E1-3; E1-4; 5.3.3.3; 5.3.4.1; 5.3.4.4 nan 561 561 | Air pollution is a sustainability issue for covered by ESRS 1 §AR 16. Therefore, this GRI disclosure is covered Not concerned nan 561 561 | nan 561 561 | 5.4.2.2 nan 561 561 | 3-3 Management of material topics E5-1; E5-2; 5.7.1.2; 5.7.1.3; 5.7.2.1 nan 561 561 | 306-1 Waste generation and significant waste-related ESRS 2 SBM-3; 5.7.2.2 nan 561 561 | impacts 5.0 561 561 | E5-2; 5.7.1.3; 5.7.2.3 nan 561 561 | 5.7.2.3 nan 561 561 | 306-3 Significant spills Air pollution, water pollution and soil pollution are sustainability issues for covered by ESRS 1. 5.4.1.2; 5.4.1.3; 5.4.2.2 nan 561 561 | Therefore, this GRI disclosure is covered by MDR-P, nan 561 561 | 3-3 Management of material topics 5.12.2.5 nan 561 561 | 308-1 New suppliers that were screened using environmental criteria 5.12.2.5 nan 561 561 | 308-2 Negative environmental impacts in the supply 5.1.3.2 nan 561 561 | 3-3 Management of material topics S1-1; S1-2; S1-4; S1-5; ; S2-1; S2-2; S2-4; 5.8.2.1; 5.8.2.2; 5.8.2.4; 5.8.3.1 nan 561 561 | 401-1 New employee hires and employee turnover 5.8.3.2 nan 561 561 | 5.8.3.7 nan 561 561 | 5.8.3.11 nan 561 561 | 3-3 Management of material topics S1-1; S1-2; S1-4; S1-5; S2-1; S2-2; S2-4; 5.8.2.2 nan 561 561 | 402-1 Minimum notice periods regarding operational “Social dialogue” and “Collective bargaining” are 5.8.3.4 nan 561 561 | sustainability issues for covered by ESRS 1. Therefore, this GRI disclosure is covered by MDR-P, nan 561 561 | Disclosure Requirement Sustainability report Sections 562 562 | 3-3 Management of material topics S1-1; S1-2; S1-4; S1-5; S2-1; S2-2; S2-4; 5.8.2.4 562 562 | 403-1 Occupational health and safety management 5.8.2.1; 5.8.2.4 562 562 | 562 562 | 5.8.1.1 562 562 | “Health and Safety” and “Training and Skills Development” are sustainability issues for covered 5.8.3.10 562 562 | by ESRS 1. Therefore, this GRI disclosure is covered by 5.8.3.4 562 562 | MDR-P, MDR-A, MDR-T, and/or as an entity-specific metric to be disclosed according to ESRS 1 and in 5.8.3.10 562 562 | accordance with MDR-M. 562 562 | “Social protection” is a sustainability issue for covered by ESRS 1. Therefore, this GRI disclosure is 5.8.2.4.4; 5.8.2.4.5 562 562 | 5.9.2.4 562 562 | 5.8.3.10 562 562 | S1-4; 5.8.3.10 562 562 | 3-3 Management of material topics S1-1; S1-2; S1-4; S1-5; S2-1; S2-2; S2-4; 5.8.2.4.1 562 562 | 404-1 Average training hours per year per employee 5.8.3.9 562 562 | 5.8.3.9 562 562 | 3-3 Management of material topics S1-1; S1-2; S1-4; S1-5; ; S2-1; S2-2; S2-4; 5.8.2.4.2 562 562 | ESRS 2 GOV-1; S1-6; S1-9; H1-12 5.1.1.1; 5.8.3.5 562 562 | 5.8.3.12 562 562 | 3-3 Management of material topics S1-1; S1-2; S1-4; S1-5; S2- 1; S2-2; S2-4; S2-5; S4-1; S4-2; S4-4; 5.8.2.4 562 562 | 406-1 Incidents of discrimination and corrective 5.8.3.13 562 562 | 3-3 Management of material topics S1-1; S1-2; S1-4; S1-5; S2-1; S2-2; S2-4; 5.8.3.4 562 562 | 407-1 Operations and suppliers in which the right to “Freedom of association” and “Collective bargaining” 5.8.2.2.1 562 562 | are sustainability issues for and covered by ESRS 1. Therefore, this GRI disclosure is covered by MDR-P, 562 562 | Disclosure Requirement Sustainability report Sections 563 563 | 3-3 Management of material topics S1-1; S1-2; S1-4; S1-5; S2-1; S2-2; S2-4; 5.8.2.1.4; 5.8.2.4.3 563 563 | 408-1 Operations and suppliers at significant risk for 5.8.2.1; 5.9.2.1 563 563 | 563 563 | 409-1 Operations and suppliers at significant risk of ; 5.8.2.1; 5.9.2.1 563 563 | 3-3 Management of material topics S3-1; S3-2; S3-4; 5.10.2.1 563 563 | 410-1 Security personnel trained in human rights policies or procedures “Security-related impacts” is a sustainability issue for covered by ESRS 1. Therefore, this GRI disclosure is 5.10.2.1 563 563 | 3-3 Management of material topics S3-1; S3-2; S3-4; 5.8.2.1.4; 5.10.2.1 563 563 | 411-1 Incidents of violations involving rights of S3-1; 5.10.2.1; 5.10.2.4 563 563 | 3-3 Management of material topics S3-1; S3-2; S3-4; 5.10.2.1 5 563 563 | 413-1 Operations with local community engagement, impact assessments, and development programs S3-2; 5.10.2.2; 5.10.2.4 563 563 | ESRS 2 SBM-3; 5.10.2.3 563 563 | 3-3 Management of material topics 5.12.2.5 563 563 | 414-1 New suppliers that were screened using social criteria 5.12.2.5 563 563 | 5.1.3.2 563 563 | 3-3 Management of material topics 5.12.3.3 563 563 | 415-1 Political contributions 5.12.3.3 563 563 | 3-3 Management of material topics S4-1; S4-2; S4-4; 5.11.2 563 563 | 416-1 Assessment of the health and safety impacts of product and service categories “Personal safety of consumers and end-users” is a sustainability issue for covered by ESRS 1. 5.11.1.2 563 563 | 5.11.2.4 563 563 | 3-3 Management of material topics S4-1; S4-2; S4-4; Not concerned 563 563 | 417-1 Requirements for product and service information and labeling “Information-related impacts for consumers and end- users” is a sustainability issue for covered by ESRS 563 563 | 418-1 Substantiated complaints concerning breaches of customer privacy and losses of customer data. S4-3; 5.11.2.3 563 563 | Appendices 563 563 | 564 564 | CSRD Disclosure Requirements Sections 564 564 | • 5.1.1.1 564 564 | • 5.1.1.2 564 564 | 5.3.3.1 564 564 | • 5.1.2.2 564 564 | • 5.1.3.2 & 5.3.2.1 564 564 | • and corresponding data points in environmental standards 5.1.3.1 & 5.3.3.1 564 564 | • ESRS 2 MDR-P on policies See ""Impact, risk and 564 564 | • and corresponding data points in environmental standards. 5.1.3.2 & 5.3.2.1 564 564 | • and the corresponding data points in the 5.1.3.1 & 5.3.3.1 564 564 | • ESRS 2 MDR-P policies and corresponding data points in See “Managing impacts, risks and opportunities” and “Metrics 564 564 | environmental standards. and targets” in the thematic 564 564 | chapters 564 564 | 5.10.2.4 564 564 | 5.12.2.5 564 564 | • ESRS 2 MDR-A and the corresponding data points in the 564 564 | See “Managing impacts, risks 564 564 | and opportunities in the relevant chapters 564 564 | • 5.1.3.1 & 5.3.3.1 564 564",557,"10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,34,201,202,203,204,205,206,207,301,302,303,304,305,306,308,401,402,403,404,405,406,407,408,409,410,411,413,414,415,416,417,418,828","4.6.5 Identification, assessment and management of risks related to suppliers and subcontractors, 4.6.3 Mapping of risks of human rights violations, 4.6.3 Mapping of risks of harm to human health and safety, 4.6.3 Environmental risk mapping"
E1,"“Energy” is a sustainability issue for covered by ESRS 1. Therefore, this GRI disclosure is covered by",5.3.3.3 560 560,560,,
E4-1,•,5.6.1.2 564 564,564,,
E4-2,•,5.6.2.2 564 564,564,,
E4-3,•,5.6.2.3 564 564,564,,
G1-2,•,564 564,564,,
G1-5,•,5.12.3.3 564 564,564,,
GOV-2,• | • •,5.1.1.2 564 564,564,,
GOV-3,•,5.1.1.3 564 564,564,,
GOV-4,•,5.1.1.4 564 564,564,,
