Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"Daimler Truck | 2024 Annual Report | Consolidated Financial Statements Further Information | Notes to the chapter Sustainability at Daimler Truck | Disclosure requirements and inclusion by reference | The following tables list all disclosure requirements of ESRS 2 and the seven thematic ESRS standards that are material for Daimler Truck and that were used as a basis for preparing our Group Sustainability | The tables can be used to find the information related to a specific disclosure requirement in the Group Sustainability Statement. | The tables also show where we have located information relating to a specific disclosure requirement outside the Group Sustainability Statement and included it by reference. | In cases where we do not yet have information on a disclosure requirement, no reference is provided. | B.77 | ESRS 2 - General requirements | Page | B.78 | Page | B.79 | B.80 | Page | B.81 | B.82 | Page | B.83 | B.84 | Page",Daimler Truck at a Glance Combined Management Report > Sustainability at Daimler Truck 153 153 153 | 153 153 | 154 154 | 155 155 | 156 156 | 157 157,153,"77,78,79,80,81,82,83,84",
BP-1,General basis for the preparation of sustainability statements,68 153 153,153,68,
BP-2,Disclosures in relation to specific circumstances,68 - 69 153 153,153,"68,69",
E1,- Climate change,154 154,154,,
E2,- Pollution,154 154,154,,
E4,"Statement. We have not taken into account all disclosure requirements of the thematic standards E3, and S3, as these are below our materiality threshold.",153 153,153,,
E5,- Resource use and circular economy,155 155,155,,
G1,- Business conduct,157 157,157,,
GOV-1,"The role of administrative, management and supervisory bodies | ESRS 2,","70 - 71 153 153 | The role of administrative, management and supervisory bodies 70 - 71 157 157",153,"70,71",
GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s administrative, management and supervisory bodies",71 153 153,153,71,
GOV-3,"Integration of sustainability-related performance in incentive schemes | ESRS 2,",75 153 153 | Integration of sustainability-related performance in incentive schemes 75 154 154,153,75,
GOV-4,Statement on due diligence,160 153 153,153,160,
GOV-5,Risk management and internal controls over sustainability reporting,71; 73 - 74 153 153,153,"71,73,74",
IRO-1,"Description of the processes to identify and assess material impacts, risks and opportunities",76 - 78 153 153,153,"76,77,78",
IRO-2,Disclosure requirements in ESRS covered by the undertaking’s sustainability statement,153 - 157 153 153,153,"154,155,156,157",
S1,- Own workforce,155 155,155,,
S2,- Workers in the value chain,156 156,156,,
S4,- Consumers and end-users,156 156,156,,
SBM-1,"Strategy, business model and value chain",67 153 153,153,67,
SBM-2,"Interests and views of stakeholders | ESRS 2,",75 153 153 | Interests and views of stakeholders 115 155 155 | Interests and views of stakeholders 132; 135 156 156 | Interests and views of stakeholders 139 156 156,153,"75,115,132,135,139",
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model | ESRS 2,","78 153 153 | Material impacts, risks and opportunities and their interaction with strategy and business model 80 154 154 | Material impacts, risks and opportunities and their interaction with strategy and business model 115 - 116 155 155 | Material impacts, risks and opportunities and their interaction with strategy and business model 132 156 156 | Material impacts, risks and opportunities and their interaction with strategy and business model 138 156 156",153,"78,80,115,116,132,138",
