Code,Name,Description,Page Range,Relevant Pages,Section Reference
,List of disclosure requirements | General information | Climate change | Biodiversity and ecosystems | Own workforce | Consumers and end-users | Business conduct,Page # 120 120 | 120 120,120,,
BP-1,General basis for preparation of sustainability statement,22 120 120,120,22,
BP-2,Disclosures in relation to specific circumstances Time Horizons and Data methodology for reporting,22 120 120,120,22,
GOV-1,The role of the administrative management and supervisory bodies,24 120 120,120,24,
GOV-2,Information and sustainability aspects dealt with by the company’s administrative management and supervisory bodies,26 120 120,120,26,
GOV-3,Integration of sustainability-related performance in incentive schemes,27 120 120,120,27,
GOV-4,Statement on due diligence,29 120 120,120,29,
GOV-5,Risk management and internal controls over sustainability Statement,29 120 120,120,29,
IRO-1,Description of the process to identify and assess material impacts risks and opportunities,37 120 120,120,37,
IRO-2,Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,41 120 120,120,41,
SBM-1,Strategy business model and value chain,31 120 120,120,31,
SBM-2,Interests and views of stakeholders,33 120 120,120,33,
SBM-3,Material impacts risks and opportunities and their interaction with Erste Group’s strategy and business model,35 120 120,120,35,
