Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"CONTENTS | General disclosures | Disclosure requirements index | How the sustainability statement has been prepared | Strategy and business model | ESG governance | Identifying impacts, risks and | opportunities & mapping our value chain | Conducting our double materiality assessment | Sustainability due diligence | ESG risk management | Engaging with our stakeholders | Environment | EU Taxonomy | General disclosures | 54 | DISCLOSURE | REQUIREMENTS INDEX | The following index lists all the ESRS disclosure requirements in ESRS 2 and the eight topical | standards that are material to Carlsberg and have guided the preparation of our sustainability | statement. | The index can be used to navigate to information relating to a specific disclosure requirement within | the sustainability statement, and also shows where we have utilised incorporation by reference for | disclosure requirements and/or data points that are dealt with outside the sustainability statement | and consequently sit in the management review section of this report or in the Remuneration Report. | Unless otherwise stated, ESRS 2-related disclosures for topical standards are included in ESRS 2. | Standard Section Page | ESRS 2 - General disclosures | business model | Standard | and managing material risks and opportunities | business model | FSA Farm Sustainability Assessment UNGPs United Nations Guiding Principles on Business | General disclosures | GENERAL DISCLOSURES | HOW THE SUSTAINABILITY STATEMENT HAS BEEN PREPARED | data used in the Scope 3 GHG emissions and the resource use-related metrics. Value chain estimates | Scope of consolidation and coverage of our value chain | Our sustainability statement has been prepared on a consolidated basis for the Carlsberg Group. The | scope of consolidation for the sustainability statement is consistent with the financial statements. | mentioned in the accounting note for the respective metric. | As our upstream and downstream value chains are a substantial part of our overall business model, | they have been thoroughly considered in the double materiality assessment (DMA) process that | defines the scope of the sustainability statement. For example, in our disclosures we address the | sourcing of raw and packaging materials, upstream and downstream transportation, and sales and | marketing to customers and consumers. For more information on our value chain, please see the | We have not omitted any disclosures because of ongoing negotiations, nor have we omitted any | information due to reasons of intellectual property. | conducted a series of interviews with key stakeholders in the business who hold in-depth knowledge | Additional information relevant for users of the report | The Group produces and markets beer and other beverages. While mainstream core beer accounts | for a significant part of total volumes, we have particular focus on categories with attractive long- | term volume and value growth opportunities, including premium beer, alcohol-free brews, Beyond | Beer and soft drinks. An overview of some of our key figures, including reporting sites, production | volumes and revenue can be found in the table below. | The Group’s main activities are in markets across Europe and Asia, where the Group holds a number 1 | or 2 market position in 23 markets. The rest of the world is serviced through export and licence | agreements. | Our ESG programme, Together Towards ZERO and Beyond (TTZAB), is an integral part of our | Unit Value Carlsberg at a glance | Breweries number 82 | Warehouses, offices and other number 306 | Total reporting sites number 388 | Production of fermented beverages million hl 90 | Production of non-fermented beverages million hl 19 | Total production of beverages million hl 109 | Total revenue DKK million 75,011 | academics, and non-governmental and intergovernmental organisations, consumers and our | employees across a range of geographies and functions.","nan nan 53 53 | nan Social nan 53 53 | 53.0 Own workforce 88.0 53 53 | 55.0 Workers in the value chain 96.0 53 53 | 55.0 Consumers and end-users 99.0 53 53 | 56.0 Governance nan 53 53 | 59.0 Business conduct 103.0 53 53 | nan Appendices nan 53 53 | 60.0 Appendix 1: Data points that derive from 106.0 53 53 | 61.0 other EU legislation nan 53 53 | 61.0 Appendix 2: Emission factors applied to Scope 1-3 GHG emissions 108.0 53 53 | 62.0 Appendix 3: disclosures on value 108.0 53 53 | nan chain estimates and measurement uncertainties nan 53 53 | 74.0 policies nan 53 53 | 54 54 | 54 | Standard - Climate change Integration of sustainability-related performance in incentive schemes Section REM Page 14 54 54 | Transition plan for climate change mitigation n n Material impacts, risks and opportunities and their interaction with strategy and business model SUS SUS 64 63 54 54 | Actions and resources in relation to climate change policies n SUS 66 54 54 | Targets related to climate change mitigation and adaptation n SUS 66 54 54 | Stakeholder involvement in target setting n SUS 55 54 54 | Energy consumption and mix n SUS 71 54 54 | Gross Scope 1, 2, 3 and total GHG emissions n SUS 72 54 54 | GHG emissions disaggregated by value chain stage n SUS 68 54 54 | Internal carbon pricing n SUS 70 54 54 | - Water and marine resources 54 54 | Policies related to water and marine resources n SUS 78 54 54 | Actions and resources related to water and marine resources n SUS 79 54 54 | - Resource use and circular economy 54 54 | Section Page Standard Section Page 55 55 | Actions taken to address breaches in procedures and standards of anti-corruption MR 50 and anti-bribery 55 55 | CSRD Corporate Sustainability Reporting Directive PPA Power purchase agreement 55 55 | 55 55 | risks and opportunities related to these topics, and their materiality will be continually reassessed 55 55 | 56 56 | Some metrics are subject to measurement uncertainty or are partially calculated using value chain 56 56 | are mostly prevalent in Scope 3 GHG emissions. More information on significant assumptions made, 56 56 | measurement uncertainties and value chain estimates is disclosed in the accounting policies for the 56 56 | relevant metrics. The metrics have not been validated by another external body, unless specifically 56 56 | We expect to revise our ESG targets and baseline values in 2025 following the acquisition of Britvic 56 56 | plc. 56 56 | DETERMINING THRESHOLDS FOR INCLUSION IN THE SUSTAINABILITY 56 56 | STATEMENT 56 56 | To collect and assess the information necessary for disclosure in the sustainability statement, we 56 56 | of all our material topics. These interviews covered specific ESRS data points and company-specific 56 56 | targets, actions and roadmaps. A follow-up exercise, which included further stakeholder consultation 56 56 | and verification, analysed interview results and benchmarked them against existing results, activities, 56 56 | processes and plans to determine which elements of a given material topic are necessary for 56 56 | disclosure. 56 56 | STRATEGY AND BUSINESS MODEL 56 56 | Anchoring Together Towards ZERO and Beyond in our business 56 56 | corporate strategy to create value for shareholders and society. With ambitious targets and 56 56 | commitments across the 11 focus areas that are most material for our business and our stakeholders, 56 56 | our TTZAB programme supports our purpose to brew for a better today and tomorrow. It is firmly 56 56 | anchored in the business through a robust governance model, described on pages 56-57. 56 56 | The programme and its targets have been developed based on thorough stakeholder engagement 56 56 | processes and materiality assessments. Since 2011, we have undertaken regular materiality 56 56 | assessments to identify and prioritise the issues most significant to our stakeholders and the planet. 56 56 | These assessments have gathered the views of customers, suppliers, investors, industry associations, 56 56",53,"11,14,19,23,50,55,57,63,64,66,68,70,71,72,75,78,79,82,90,109,306,388",1-3 GHG
BP-1,General basis for preparation of the sustainability statement SUS 55 n,Targets related to marine resources n SUS 79 54 54,54,"55,79",
BP-2,Disclosures in relation to specific circumstances SUS 55 n | Disclosures on value chain estimates and measurement uncertainties SUS 108 n,Stakeholder involvement in target setting n SUS 55 54 54 | Water consumption n SUS 80 54 54,54,"55,80,108",
E1,Climate change,63.0 Appendix 4: Additional accounting 110.0 53 53,53,,
E3,Water and marine resources,78.0 nan 53 53,53,,
E4,Biodiversity and ecosystems,81.0 nan 53 53,53,,
E5,Resource use and circular economy,84.0 nan 53 53,53,,
E5-4,Resource inflows n,SUS 87 54 54,54,87,
E5-5,Resource outflows n,SUS 87 54 54,54,87,
GOV-1,"The role of the administrative, management and supervisory bodies SUS 56-57 n | Characteristics of the supervisory board and management members MR 50",- Biodiversity and ecosystems 54 54 | Transition plan and consideration of biodiversity and ecosystems in strategy and n business model SUS 82 54 54,54,"50,56,57,82",
