Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"General Disclosures ESRS 2 | Disclosure requirement | Water and wastewater management | Disclosure requirement | disclosure | credits | Environment | Disclosure requirement | disclosure | Anticipated financial effects from material physical and transition risks | tunities | impacts, risks and opportunities | Anticipated financial effects from resource use and circular econo- | Disclosures pursuant to Article 8 of Regulation (EU) 2020/852 (Taxono- | my Regulation) | Disclosure requirement | disclosure | Targets related to managing material | impacts, and managing material risks | and opportunities | employees | Characteristics of non-employee | workforce | metrics | human rights impacts | workers | chain workers about impacts | Processes to remediate negative | workers to raise concerns | Taking action on material impacts on | value chain workers, and approaches | pursuing material opportunities | related to value chain workers, and | effectiveness of those action","140 140 | Reference (chapter) Mandatory (M) / Voluntary (V) disclosure Page 140 140 | V 88 140 140 | Reference (chapter) Mandatory (M) / Voluntary (V) Page 141 141 | 141 141 | 142 142 | Reference (chapter) Mandatory (M) / Voluntary (V) Page 142 142 | Resource use and circular economy M 96 142 142 | Reference Mandatory (M) / Voluntary (V) Page 143 143 | 143 143 | Employee training and development 130 143 143 | Occupational health and safety 124 143 143 | Human and labor rights 118, 143 143",140,"88,96,118,124,130,852",
BP-1,General basis for preparation of sustainability statements,Introduction M 50 140 140,140,50,
BP-2,Disclosures in relation to specific circumstances,"Business model and value chain Sustainability Governance Double materiality assessment Climate change and energy M 54, 56, 61, 76 140 140",140,"54,56,61,76",
E5,"ESRS E1, E3,",141 141 | 142 142,141,,
GOV-1,"The role of the administrative, management and supervisory bodies",Sustainability governance M 56 140 140,140,56,
GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s administrative, management and supervisory bodies",Double materiality assessment M 61 140 140,140,61,
GOV-3,Integration of sustainability-related performance in incentive schemes,"Sustainability governance Climate change and energy M 56, 71 140 140",140,"56,71",
GOV-4,Statement on due diligence,Due Diligence M 58 140 140,140,58,
GOV-5,Risk management and internal controls over sustainability reporting,Sustainability governance M 56 140 140,140,56,
IRO-1,"Description of the processes to identify and assess material impacts, risks and opportunities","Double materiality assessment Climate change and energy Resource use and circular economy Human and labor rights Occupational health and safety Employee training and development Responsible sourcing M 61, 71, 91, 115, 122, 130, 132 140 140",140,"61,71,91,115,122,130,132",
S1,&,143 143,143,,
S1-13,Training and skills development,Employee training and development M 131 143 143,143,131,
S1-14,Health and safety metrics,Occupational health and safety M 126 143 143,143,126,
S1-17,"Incidents, complaints and severe",Human and labor rights V 121 143 143,143,121,
S1-5,"negative impacts, advancing positive","Occupational health and safety M 124, 143 143",143,124,
S1-6,Characteristics of the undertaking’s,Labor rights M 118 143 143,143,118,
S1-7,workers in the undertaking’s own,Labor rights M 118 143 143,143,118,
S1-9,Diversity metrics,Labor rights V 120 143 143,143,120,
S2-1,Policies related to value chain,Human and labor rights M 122 143 143,143,122,
S2-2,Processes for engaging with value,"Human and labor rights M 118, 143 143",143,118,
S2-3,impacts and channels for value chain,Occupational health and safety M 124 143 143,143,124,
S2-4,to managing material risks and,"Human and labor rights M 118, 143 143",143,118,
S2-5,"negative impacts, advancing positive","Human and labor rights M 118, 143 143",143,118,
SBM-1,"Strategy, business model and value chain","Business model and value chain Sustainability strategy Human and labor rights Responsible sourcing M 54, 55, 115, 132 140 140",140,"54,55,115,132",
SBM-2,Interests and views of stakeholders,"Stakeholder engagement Double materiality assessment Human and labor rights M 59, 61, 115 140 140",140,"59,61,115",
SBM-3,"Material impacts, risks and opportunities","Double materiality assessment Climate change and energy Resource use and circular economy Human and labor rights Occupational health and safety Employee training and development Responsible sourcing M 61, 71, 91, 115, 122, 130, 132 140 140",140,"61,71,91,115,122,130,132",
