Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"Covestro Annual Report 2024 | CAPITAL MARKET MANAGEMENT REPORT COMPENSATION REPORT FINANCIAL STATEMENTS FURTHER INFORMATION | Disclosure | ESSRRSS AAppppeennddiixx | ESRS Index | The following tables cover all disclosure requirements classified as material to | Covestro. These tables can be used to find the information on the respective ESRS | disclosure requirements in the Statement. | General Disclosures | requirement Disclosure requirement title | ESRS 2 – General disclosures | and supervisory bodies | administrative, management and supervisory bodies | Supervisory Bodies | in Incentive Schemes | sustainability reporting | General Disclosures | Disclosure requirement | ESRS 2 – General disclosures | circumstances | Supervisory Bodies | administrative, management and | supervisory bodies | performance in incentive schemes | sustainability reporting | and Value Chain, | Strategy – United Nations Sustainable Development Goals (SDGs), | Impact, Risk and Opportunity Management – Covestro’s | Sustainability Targets | their interaction with strategy and business | model | opportunities | and Opportunities | Process and the Associated Internal Control Process, | ESRS Appendix – ESRS Index | CAPITAL MARKET MANAGEMENT REPORT COMPENSATION REPORT FINANCIAL STATEMENTS FURTHER INFORMATION | Disclosure requirement | risks and opportunities | Actions | related impacts, risks and opportunities | ecosystems change | resources-related impacts, risks and | opportunities | marine resources | Entity- | specific | (Products and Waste) | CAPITAL MARKET MANAGEMENT REPORT COMPENSATION REPORT FINANCIAL STATEMENTS FURTHER INFORMATION | Disclosure requirement | with strategy and business model | Impact, Risk, and Opportunity Management | representatives about impacts | Workers’ Representatives about Impacts | workers to raise concerns | to mitigating material risks and | pursuing material opportunities related to own workforce, and | effectiveness of those actions | advancing positive impacts, and managing material risks and | opportunities | workers in the undertaking’s own workforce | human rights impacts | ESRS S2: Workers in the Value Chain – Processes to Remediate Negative Impacts | and Channels for Value Chain Workers to Raise Concerns | Disclosure requirement | approaches to managing material risks and pursuing material | opportunities related to value chain workers, and effectiveness of | those action | Actions for Suppliers with a Specific or | Potential Human Rights Risk, ESRS S2: Workers in the Value Chain – | Transport & Logistics Safety, ESRS S2: Workers in the Value Chain – | Customer Sites, ESRS S2: Workers in the Value Chain – | Product Stewardship, | ESRS S2: Workers in the Value Chain – Metrics | advancing positive impacts, and managing material risks and | opportunities","137 137 | Section in Group Sustainability 137 137 | requirement Disclosure requirement title Strategy, business model and value chain Statement Strategy – Strategy, Business Model, 137 137 | and Value Chain, Strategy – United Nations Sustainable 137 137 | Development Goals (SDGs), 137 137 | Impact, Risk and Opportunity Management – Covestro’s 137 137 | Sustainability Targets 137 137 | Interests and views of stakeholders Strategy – Interests and Views of Stakeholders 137 137 | Section in Group Sustainability Material impacts, risks and opportunities and their interaction with strategy and business Strategy – Material Effects, Risks and Opportunities 137 137 | Statement model 137 137 | Description of the processes to identify and assess material impacts, risks and Impact, Risk and Opportunity Management – Process to Identify 137 137 | Administrative, Management and Supervisory Bodies ESRS Appendix – ESRS Index 137 137 | Addressed by the Undertaking’s Administrative, Management and 137 137 | Specific Standard Disclosures 138 138 | Disclosure requirement title Section in Group Sustainability Statement Disclosure requirement Disclosure requirement title Section in Group Sustainability Statement 138 138 | – Climate change 138 138 | Material impacts, risks and opportunities and their interaction with strategy and business ESRS E1: Climate Change – Resilience Analysis 138 138 | Description of the processes to identify and assess material climate-related impacts, Impact, Risk and Opportunity Management – Methods and 138 138 | Addressed by the Undertaking’s Change 138 138 | Administrative, Management and Supervisory Bodies Transition plan for climate change mitigation ESRS E1: Climate Change – Our Transition Plan for Climate Change 138 138 | Sustainability-Related Performance in Incentive Schemes Policies related to climate change mitigation and adaptation ESRS E1: Climate Change – Policies and Actions 138 138 | and internal controls over sustainability reporting for Reaching the Scope 3 Net-Zero 138 138 | Targets related to climate change mitigation and adaptation ESRS E1: Climate Change – Targets 138 138 | Energy consumption and mix ESRS E1: Climate Change – Energy 138 138 | Usage 138 138 | Gross Scopes 1, 2, 3 and Total GHG emissions ESRS E1: Climate Change – Greenhouse Gas Emissions 138 138 | Opportunities Internal carbon pricing ESRS E1: Climate Change – Internal CO2 Pricing 138 138 | Anticipated financial effects from material ESRS E1: Climate Change – 138 138 | and Assess Material Impacts, Risks, climate-related opportunities 138 138 | 138 138 | 139 139 | Disclosure requirement title Section in Group Sustainability Statement Disclosure requirement Disclosure requirement title Section in Group Sustainability Statement 139 139 | Assumptions Relating to Pollution model Opportunities 139 139 | Policies related to biodiversity and ESRS E4: Biodiversity and 139 139 | Financial Effects Impact metrics related to biodiversity and ESRS E4: Biodiversity and 139 139 | Ecosystems – Metrics 139 139 | Disclosure requirement title Section in Group Sustainability Statement Anticipated financial effects from biodiversity and ecosystem-related risks ESRS E4: Biodiversity and Ecosystems – Metrics 139 139 | Assumptions Relating to Water and requirement Disclosure requirement title Statement 139 139 | Marine Resources – Resource use and circular economy 139 139 | Resources – Water Program opportunities Use and Circular Economy 139 139 | Water withdrawal ESRS E3: Water and Marine economy Economy – Policies and Actions 139 139 | Resources – Metrics Actions and resources related to resource use and circular economy ESRS E5: Resource Use and circular economy – Policies and Actions 139 139 | effects 139 139 | 140 140 | Disclosure requirement title Section in Group Sustainability Statement Disclosure requirement Disclosure requirement title Section in Group Sustainability Statement 140 140 | with strategy and business model ESRS S2: Workers in the Value Chain – Health and Safety, 140 140 | Transport & Logistics Safety, ESRS S2: Workers in the Value Chain – 140 140 | Engaging with the Undertaking’s Workers and ESRS S2: Workers in the Value Chain – Product Stewardship 140 140 | Policies related to value chain ESRS S2: Workers in the Value Chain – 140 140 | Rights, ESRS S2: Workers in the Value Chain – 140 140 | ESRS S1: Own Workforce – Tracking ESRS S2: Workers in the Value Chain – Opportunities for Offering Training and 140 140 | Effectiveness of Policies and Actions Dialogue, 140 140 | ESRS S2: Workers in the Value Chain – Actions for Suppliers with a Specific or 140 140 | ESRS S1: Own Workforce – Actions for Engaging with the Undertaking’s Workers and Transport & Logistics Safety 140 140 | Workers’ Representatives about Impacts Processes for engaging with value chain workers about impacts ESRS S2: Workers in the Value Chain – Supplier Code of Conduct, 140 140 | the Undertaking’s Employees ESRS S2: Workers in the Value Chain – 140 140 | Complaints, and Severe Human Rights Impacts Potential Human Rights Risk, 140 140 | Disclosure requirement title Section in Group Sustainability Statement Entity-Specific Disclosures 141 141 | ESRS S2: Workers in the Value Chain – Preventive and Remedial Measures, Sustainable Solutions 141 141 | ESRS S2: Workers in the Value Chain – Supplier Screening, MDR-P Policies adopted to manage material Sustainable Solutions – Policies and 141 141 | ESRS S2: Workers in the Value Chain – sustainability matters Actions 141 141 | MDR-A Actions and resources in relation to material sustainability matters Sustainable Solutions, Sustainable Solutions – Policies and 141 141 | Actions 141 141 | MDR-M Metrics in relation to material sustainability matters Sustainable Solutions – Policies and Actions, 141 141 | Sustainable Solutions – Targets 141 141 | MDR-T Tracking effectiveness of policies and actions through targets Sustainable Solutions – Policies and Actions, 141 141 | ESRS S2: Workers in the Value Chain – Targets 141 141 | 141 141",137,,
BP-1,General basis for preparation of sustainability statements,"Basis of Preparation opportunities and Assess Material Impacts, Risks, and Opportunities 137 137 | Basis of Preparation Integration of sustainability-related performance in incentive schemes Governance – Integration of Sustainability-Related Performance 138 138",137,,
BP-2,Disclosures in relation to specific circumstances | Disclosures in relation to specific,"Basis of Preparation Disclosure requirements in ESRS covered by the undertaking’s sustainability statement Impact, Risk and Opportunity Management – Decision-Making 137 137 | Basis of Preparation in Incentive Schemes 138 138",137,,
E2,– Pollution,– Biodiversity and ecosystems 139 139,139,,
E3,– Water and marine resources,and opportunities 139 139,139,,
GOV-1,"The role of the administrative, management | The role of the administrative, management and supervisory bodies","Governance – The Role of the Process and the Associated Internal Control Process, 137 137 | Governance – The Role of the Administrative, Management and model 138 138",137,,
GOV-2,Information provided to and sustainability matters addressed by the undertaking’s,Governance – Information Provided to and Sustainability Matters 137 137 | Governance – Information Provided to and Sustainability Matters risks and opportunities Assumptions Relating to Climate 138 138,137,,
GOV-3,Integration of sustainability-related performance in incentive schemes | Integration of sustainability-related,Governance – Integration of Sustainability-Related Performance 137 137 | Governance – Integration of Mitigation 138 138,137,,
GOV-4,Statement on due diligence,Governance – Statement on Due Diligence 137 137 | Governance – Statement on Due Diligence Actions and resources in relation to climate change policies ESRS E1: Climate Change – Actions for Reaching the Scope 1 and 138 138,137,,
GOV-5,Risk management and internal controls over sustainability reporting | Risk management and internal controls over,"Governance – Risk management and internal controls over 137 137 | Governance – Risk management Scope 2 Net-Zero Target, ESRS E1: Climate Change – Actions 138 138",137,,
