Code,Name,Description,Page Range,Relevant Pages,Section Reference
,Mandatory disclosures pursuant to ESRS 2 | MANDATORY DISCLOSURES RELATING TO PREPARATION OF THE GROUP NONFINANCIAL STATEMENT/SUSTAINABILITY STATEMENT ON THE BASIS OF THE MATERIALITY ASSESSMENT | Reference | ESRS 2 | material impacts and risks; cybersecurity: material impacts and risks | risks and opportunities identified; workers in the value chain: material impacts; business conduct: material impacts and risks; cybersecurity: material impacts and risks | 117 DHL Group –2024 Annual Report | Own workforce | 118 DHL Group –2024 Annual Report | those action | 121 DHL Group –2024 Annual Report,117 117 | General disclosures General information 117 117 | 118 118 | 119 119 | 121 121,117,,
BP-1,General basis for preparation of sustainability statements,General information 117 117,117,,
BP-2,Disclosures in relation to specific circumstances,General information 117 117,117,,
E1-2,Policies related to climate change mitigation and adaptation,Environment 118 118,118,,
E1-3,Actions and resources in relation to climate change policies,Environment 118 118,118,,
E1-4,Targets related to climate change mitigation and adaptation,Environment 118 118,118,,
E1-5,Energy consumption and mix,Environment 118 118,118,,
E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions",Environment 118 118,118,,
E1-7,GHG removals and GHG mitigation projects financed through carbon credits,Environment 118 118,118,,
E1-8,Internal carbon pricing,Environment 118 118,118,,
E1-9,Anticipated financial effects from material physical and transition risks and potential climate- related opportunities,Environment 118 118,118,,
E4-2,Sustainable land/agriculture practices or policies paragraph 24 (b) | Sustainable oceans/seas practices or policies paragraph 24 (c) | Policies to address deforestation paragraph 24 (d),Not material 121 121,121,,paragraph 24
E5-5,Non-recycled waste paragraph 37 (d) | Hazardous waste and radioactive waste paragraph 39,Not material 121 121,121,,"paragraph 37, paragraph 39"
G1,Business conduct,Business conduct 119 119,119,,
G1-1,Corporate culture and business conduct policies | United Nations Convention against Corruption paragraph 10(b) | Protection of whistleblowers paragraph 10(d),Business conduct 119 119 | Not material 122 122,119,,"paragraph 10(b), paragraph 10(d)"
G1-2,Management of relationships with suppliers,Business conduct 119 119,119,,
G1-3,Prevention and detection of corruption and bribery,Business conduct 119 119,119,,
G1-4,Confirmed incidents of corruption or bribery | Fines for violation of anti-corruption and anti-bribery laws paragraph 24(a) | Standards to combat corruption and bribery paragraph 24(b),"Business conduct 119 119 | Targets and results, confirmed incidents of corruption or bribery 122 122",119,,"paragraph 24(a), paragraph 24(b)"
GOV-1,"The role of the administrative, management and supervisory bodies",General information 117 117,117,,
GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s administrative, management and supervisory bodies","General information; environment: material climate-related impacts and risks; own workforce: material impacts, risks and opportunities identified; workers in the value chain: material impacts; business conduct: 117 117",117,,
GOV-3,Integration of sustainability-related performance in incentive schemes,General information 117 117,117,,
GOV-4,Statement on due diligence,General information 117 117,117,,
