Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"policies | (see page 114) | adaptation | Environmental information - 2.2 Emissions reduction and | (see page 116-118) | material pollution-related impacts, risks and opportunities | across the value chain (see page 118-120) | material resource use and circular economy-related impacts, | risks and opportunities | circular economy | page 98-99) | interaction with strategy and business model | workers' representatives about impacts | for own workforce to raise concerns | and approaches to managing material risks and pursuing | material opportunities related to own workforce, and | effectiveness of those actions | advancing positive impacts, and managing material risks and | opportunities | 125-126) | remuneration) | impacts | interaction with strategy and business model | chain (see page 128-129) | workers, and approaches to managing material risks and | pursuing material opportunities related to value chain | workers, and effectiveness of those actions | page 130-131) | end- users, and approaches to managing material risks and | pursuing material opportunities related to consumers and | end-users, and effectiveness of those actions | advancing positive impacts, and managing material risks and | opportunities | supervisory bodies | material impacts, risks and opportunities | page 133-143) | ✓ | Energy consumption from fossil sources disaggregated by sources | impact sectors) | sectors | emissions | efficiency classes | emitted to air, water and soil | ✓ | Due diligence policies on issues addressed by the | Conventions 1 to 8 | or management system | mechanisms | rate of work-related accidents | accidents, fatalities or illness",climate change - 2.2.1 Approach to climate change in Exor 154 154 | 154 154 | across the value chain (see page 118-120) 154 154 | 155 155 | Social information - 3.1 Exor employees (see page 123-124) 155 155 | Social information - 3.1 Exor employees (see page 124) 155 155 | 126-128) 155 155 | chain (see page 128-129) 155 155 | Social information - 3.3 Working conditions in the value 155 155 | page 130-131) 155 155 | Social information - 3.4 End users in the value chain (see 155 155 | page 130-131) 156 156 | 156 156 | page 133) 156 156 | ✓ ✓ 114) 157 157 | 157 157 | ✓ 157 157 | ✓ ✓ ✓ 117) 157 157 | ✓ 158 158 | 121-122) 159 159 | Material 159 159 | 159 159 | ✓ 121-122) 159 159 | ✓ 123) 159 159 | ✓ ✓ 125) 159 159 | ✓ 125) 159 159,154,"98,99,114,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,133,134,135,136,137,138,139,140,141,142,143","2.2 Emissions reduction and, 2.2.1 Approach to climate change in"
E1-3,Actions and resources in relation to climate change,Environmental information - 2.2 Emissions reduction and 154 154,154,,2.2 Emissions reduction
E1-4,Targets related to climate change mitigation and,Environmental information - 2.2 Emissions reduction and 154 154,154,,2.2 Emissions reduction
E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions",climate change - 2.2.2 Emission reduction in the value chain 154 154,154,,2.2.2 Emission reduction in the value
E2,POLLUTION,154 154,154,,
E2-1,Policies related to pollution,Environmental information - 2.3 Environmental impacts 154 154,154,,2.3 Environmental
E2-2,Actions and resources related to pollution,Environmental information - 2.3 Environmental impacts 154 154,154,,2.3 Environmental
E2-3,Targets related to pollution,Environmental information - 2.3 Environmental impacts 154 154,154,,2.3 Environmental
E5,RESOURCE USE AND CIRCULAR ECONOMY,154 154,154,,
E5-1,Policies related to resource use and circular economy,Environmental information - 2.3 Environmental impacts 154 154,154,,2.3 Environmental
E5-2,Actions and resources related to resource use and,Environmental information - 2.3 Environmental impacts 154 154,154,,2.3 Environmental
E5-3,Targets related to resource use and circular economy,Environmental information - 2.3 Environmental impacts 154 154,154,,2.3 Environmental
G1,BUSINESS CONDUCT,156 156,156,,
G1-1,Business conduct policies and corporate culture,Governance information - 4.1.1 Exor's Governance (see 156 156,156,,4.1.1 Exor's Governance
GOV-1,"The role of the administrative, management and",General information - 1.2 Governance (see page 90) 156 156,156,90,1.2 Governance (see
IRO-1,Description of the processes to identify and assess,Environmental information - 2.3 Environmental impacts 154 154 | Governance information - 4.1.1 Exor's Governance (see 156 156,154,,2.3 Environmental
S1,OWN WORKFORCE,154 154,154,,
S1-1,Policies related to own workforce,Social information - 3.1 Exor employees (see page 121-122) 154 154,154,"121,122",3.1 Exor employees (see
S1-14,Health and safety metrics,Social information - 3.1 Exor employees (see page 125) 155 155,155,125,3.1 Exor employees (see
S1-16,Remuneration metrics (pay gap and total,Social information - 3.2.1 Diversity in Exor (see page 155 155,155,,3.2.1 Diversity in Exor (see
S1-17,"Incidents, complaints and severe human rights",Social information - 3.2.1 Diversity in Exor (see page 128) 155 155,155,128,3.2.1 Diversity in Exor (see
S1-2,Processes for engaging with own workforce and,Social information - 3.1 Exor employees (see page 123) 154 154,154,123,3.1 Exor employees (see
S1-3,Processes to remediate negative impacts and channels,Social information - 3.1 Exor employees (see page 123) 155 155,155,123,3.1 Exor employees (see
S1-4,"Taking action on material impacts on own workforce,",155 155,155,,
S1-5,"Targets related to managing material negative impacts,",155 155,155,,
S1-6,Characteristics of the undertaking's employees,Social information - 3.1 Exor employees (see page 124) 155 155,155,124,3.1 Exor employees (see
S1-9,Diversity metrics,Social information - 3.2.1 Diversity in Exor (see page 155 155,155,,3.2.1 Diversity in Exor (see
S2,WORKERS IN THE VALUE CHAIN,155 155,155,,
S2-1,Policies related to value chain workers,Social information - 3.3 Working conditions in the value 155 155,155,,3.3 Working conditions in the
S2-4,Taking action on material impacts on value chain,155 155,155,,
S2-5,"Targets related to managing material negative impacts,",Social information - 3.3 Working conditions in the value 155 155,155,,3.3 Working conditions in the
S4,CONSUMERS AND END-USERS,155 155,155,,
S4-1,Policies related to consumers and end-users,Social information - 3.4 End users in the value chain (see 155 155,155,,3.4 End users in the value chain
