Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"Annex to the combined management report | COMBINED MANAGEMENT REPORT | SUSTAINABILITY REPORT Annex to the combined management report | ESRS 2 Appendix B | ESRS Index: Disclosure requirements covered | ESRS | ESRS 2 | and supervisory bodies | management and supervisory bodies | over sustainability reporting | 129, 140, 143, 147, 153, 159, 170, 177, | x | assess material impacts, risks and opportunities | their interaction with strategy and business model | COMBINED MANAGEMENT REPORT | SUSTAINABILITY REPORT Annex to the combined management report | ESRS 2 Appendix B | ESRS Index: Disclosure requirements covered | ESRS | and ecosystems in strategy and business model | impacts, risks and opportunities | ecosystems change | material resource use and circular economy-related | a Classified based on the materiality assessment and ESRS 2 AR 16. | COMBINED MANAGEMENT REPORT | SUSTAINABILITY REPORT Annex to the combined management report | ESRS 2 Appendix B | ESRS Index: Disclosure requirements covered | ESRS | for value chain workers to raise concerns | and pursuing material opportunities related to value chain workers, and effectiveness of those actions","212 212 | EVONIK FINANCIAL AND SUSTAINABILITY REPORT 2024 212 212 | ESRS 2 Appendix B 212 212 | T70 212 212 | Disclosure Material a Use of phase- in provisions Page number ESRS Disclosure Material a Use of phase- in provisions Page number 212 212 | General disclosures x Policies related to climate change mitigation and adaptation x 129 212 212 | x 121 ff. Energy consumption and mix x 141 f. 212 212 | x 117, 122 f. GHG removals and GHG mitigation projects 212 212 | x 69 f., 96 climate-related opportunities x x 212 212 | Policies related to pollution x 159 f., 180 ff. 212 212 | 180, 188, 200, 206 Actions and resources related to pollution x 159 212 212 | x 108 ff., 114 ff. Pollution of air, water and soil x 163, 184 f. 212 212 | x 115 f., 129, 133 impacts, risks and opportunities x 143 212 212 | EVONIK FINANCIAL AND SUSTAINABILITY REPORT 2024 213 213 | 213 213 | T70 213 213 | Disclosure Material a Use of phase- in provisions Page number ESRS Disclosure Material a Use of phase- in provisions Page number 213 213 | x 147 ff. Interests and views of stakeholders x 105 ff. 213 213 | x 109, 147, 149 Processes for engaging with own workforce and workers’ representatives about impacts x 173, 188 213 213 | x 151 f. Targets related to managing material negative 213 213 | Characteristics of non-employees in the undertaking’s own workforce 213 213 | x 153 f., 157 Collective bargaining coverage and social dialogue x 173 f. 213 213 | EVONIK FINANCIAL AND SUSTAINABILITY REPORT 2024 214 214 | 214 214 | T70 214 214 | Disclosure Material a Use of phase- in provisions Page number ESRS Disclosure Material a Use of phase- in provisions Page number 214 214 | x 194 f., 200 ff. Payment practices 214 214 | x 157, 191, 200, 202 f., 205 214 214",212,"16,69,96,105,108,109,114,115,117,121,122,129,133,140,141,143,147,149,151,153,157,159,163,170,173,177,180,184,188,191,194,200,202,205,206",
BP-1,General basis for preparation of sustainability statements,x 93 ff. Actions and resources in relation to 212 212,212,93,
BP-2,Disclosures in relation to specific circumstances,"x 94 ff. climate change policies x 98, 120, 130 ff. 212 212",212,"94,98,120,130",
GOV-1,"The role of the administrative, management","Targets related to climate change mitigation and adaptation x 129 ff., 136 212 212",212,"129,136",
GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s administrative,","Gross Scopes 1, 2, 3 and Total GHG emissions x 134 ff., 212 212",212,134,
GOV-3,Integration of sustainability-related performance in incentive schemes,"x 123 f., 129 related impacts, risks and opportunities x x 212 212 | x 123 ff. financed through carbon credits x 129 f., 133 212 212",212,"123,129,133",
GOV-4,Statement on due diligence,x 125 Internal carbon pricing x 131 f. 212 212,212,"125,131",
GOV-5,Risk management and internal controls,"60 f., 63, 65 ff., Anticipated financial effects from material physical and transition risks and potential 212 212",212,"60,63,65",
IRO-1,"Description of the processes to identify and assess material climate-related impacts, risks and opportunities | Description of the processes to identify and | Description of the processes to identify and assess material biodiversity and ecosystem-related | Description of the processes to identify and assess","x 115 ff., 133, 144, 149 a Classified based on the materiality assessment and ESRS 2 AR 16. 212 212 | Targets related to pollution x 159 f. 212 212 | Policies related to own workforce x 180, 188 f., 195 213 213 | Characteristics of the undertaking’s employees x 175 f. 213 213",212,"16,115,133,144,149,159,175,180,188,195",
IRO-2,Disclosure requirements covered,"x 111, 210 ff. Substances of concern and substances of very high concern x 163 212 212",212,"111,163,210",
SBM-1,"Strategy, business model and value chain","x 27 ff., 97 ff. Pollution x 212 212",212,"27,97",
SBM-2,Interests and views of stakeholders,"x 105 ff. Description of the processes to identify and assess material pollution-related impacts, risks 212 212 | x 105 ff. Business conduct policies and corporate culture x 190 ff., 195 214 214",212,"105,190,195",
SBM-3,"Material impacts, risks and opportunities and | Material impacts, risks and opportunities and their interaction with strategy and business model | Material impacts, risks and opportunities and their","Description of the processes to identify and assess material water and marine resources-related 212 212 | 93, 97 f., 100 ff., 112 f., 115 f., 118 f., and opportunities x 109, 159 212 212 | interaction with strategy and business model x 148, 150 Material impacts, risks and opportunities and their interaction with strategy and business model x 170, 177, 180 f. 188, 192 213 213 | interaction with strategy and business model x 157, 200, Management of relationships with suppliers x 194, 203 214 214",212,"93,97,100,109,112,115,118,148,150,157,159,170,177,180,188,192,194,200,203",
