Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"SECTION | Working conditions - Freedom of | association, works councils and the information, consultation and | participation rights of workers | Working conditions - Collective | Social information | agreements | Working conditions - Work-life balance | SECTION | Working conditions - Freedom of | association, works councils and the information, consultation and | participation rights of workers | as well as to risks and opportunities | Working conditions - Collective | Social information | agreements | Working conditions - Work-life balance | SECTION TOPIC | Equal treatment and opportunities for all - Measures against violence | and harassment in the workplace | as well as to risks and opportunities | Social information | Other work-related rights - Privacy | SECTION TOPIC | Equal treatment and opportunities | for all - Measures against violence and harassment in the workplace | as well as to risks and opportunities | about impacts | Other work-related rights - Privacy | SECTION | Communities’ economic, social and | cultural rights - adequate housing | related to affected communities, and effectiveness of those actions | cultural rights - adequate food | Social | information | Communities’ economic,social and | cultural rights - security-related | impacts | approaches to managing material risks and pursuing material opportunities related to affected communities, and effectiveness of those actions | Communities’ civil and political rights | SECTION | Communities’ economic, social and | cultural rights - adequate housing | related to affected communities, and effectiveness of those actions | with strategy and business model | cultural rights - adequate food | approaches to managing material risks and pursuing material opportunities related to affected communities, and effectiveness of those actions | Social information | Communities’ economic,social and | cultural rights - security-related | impacts | positive impacts, and managing material risks and opportunities | Communities’ civil and political rights | Corruption and bribery","TOPIC SUB-TOPIC - SUB-SUB-TOPIC DISCLOSURE REQUIREMENT PAGE NUMBER 178 178 | Taking action on material impacts and approaches to mitigating material risks and pursuing material opportunities related to own workforce, and 280 178 178 | effectiveness of those actions and approaches 178 178 | Targets related to managing material impacts, advancing positive impacts, as well as to risks and opportunities 284 178 178 | Own workforce bargaining, including the rate of workers covered by collective effectiveness of those actions and approaches 178 178 | TOPIC SUB-TOPIC - SUB-SUB-TOPIC DISCLOSURE REQUIREMENT PAGE NUMBER SECTION TOPIC SUB-TOPIC - SUB-SUB-TOPIC DISCLOSURE REQUIREMENT PAGE NUMBER 179 179 | Taking action on material impacts and approaches to mitigating material risks and pursuing material opportunities related to own workforce, and 280 Equal treatment and opportunities Taking action on material impacts and approaches to mitigating material risks and pursuing material opportunities related to own workforce, and 280 179 179 | effectiveness of those actions and approaches for all - Gender equality and equal effectiveness of those actions and approaches 179 179 | Targets related to managing material impacts, advancing positive impacts, 284 pay for work of equal value Targets related to managing material impacts, advancing positive impacts, 284 179 179 | as well as to risks and opportunities 179 179 | Own workforce bargaining, including the rate of workers covered by collective effectiveness of those actions and approaches Social information Own workforce for all - Training and skills effectiveness of those actions and approaches 179 179 | Targets related to managing material impacts, advancing positive impacts, 284 development Targets related to managing material impacts, advancing positive impacts, 284 179 179 | effectiveness of those actions and approaches for all - Employment and inclusion effectiveness of those actions and approaches 179 179 | SUB-TOPIC - SUB-SUB-TOPIC DISCLOSURE REQUIREMENT PAGE NUMBER 180 180 | Taking action on material impacts and approaches to mitigating material risks and pursuing material opportunities related to own workforce, and 280 180 180 | effectiveness of those actions and approaches Targets related to managing material impacts, advancing positive impacts, 180 180 | 284 180 180 | Own workforce Equal treatment and opportunities for all - Diversity effectiveness of those actions and approaches 180 180 | SUB-TOPIC - SUB-SUB-TOPIC DISCLOSURE REQUIREMENT PAGE NUMBER SECTION TOPIC SUB-TOPIC - SUB-SUB-TOPIC DISCLOSURE REQUIREMENT PAGE NUMBER 181 181 | Taking action on material impacts and approaches to mitigating material labour Processes to remediate negative impacts and channels for value chain workers to raise concerns 291 181 181 | risks and pursuing material opportunities related to own workforce, and effectiveness of those actions and approaches 280 Taking action on material impacts, and approaches to mitigating material 181 181 | 284 Targets related to managing material negative impacts, advancing positive 181 181 | 279 risks and pursuing material opportunities related to value chain workers, and 291 181 181 | 181 181 | Taking action on material impacts and approaches to mitigating material risks and pursuing material opportunities related to own workforce, and 280 181 181 | 284 181 181 | TOPIC SUB-TOPIC - SUB-SUB-TOPIC DISCLOSURE REQUIREMENT PAGE NUMBER 182 182 | Processes for engaging with affected communities about impacts 293 182 182 | Processes to remediate negative impacts and channels for affected communities to raise concerns 294 182 182 | 182 182 | Processes to remediate negative impacts and channels for affected communities to raise concerns 293 182 182 | Affected communities Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities 302 182 182 | Interests and views of stakeholders 153 182 182 | Taking action on material impacts on affected communities, and 182 182 | 294 182 182 | TOPIC SUB-TOPIC - SUB-SUB-TOPIC DISCLOSURE REQUIREMENT PAGE NUMBER SECTION TOPIC SUB-TOPIC - SUB-SUB-TOPIC DISCLOSURE REQUIREMENT PAGE NUMBER 183 183 | Processes for engaging with affected communities about impacts 293 Information-related impacts for Processes for engaging with consumers and end-users about impacts 304 183 183 | Processes to remediate negative impacts and channels for affected communities to raise concerns 294 consumers and/or end-users Processes to remediate negative impacts and channels for consumers and end-users to raise concerns 304 183 183 | related to consumers and end1users, and effectiveness of those actions 183 183 | Policies related to consumers and end-users 302 183 183 | Processes for engaging with affected communities about impacts 293 Social inclusion of consumers Processes to remediate negative impacts and channels for consumers 183 183 | Processes to remediate negative impacts and channels for affected communities to raise concerns 293 and/or end users and end-users to raise concerns 304 183 183 | 294 related to consumers and end1users, and effectiveness of those actions 183 183 | Affected communities positive impacts, and managing material risks and opportunities 183 183 | Processes for engaging with affected communities about impacts 293 The role of the administrative, supervisory and management 137 183 183 | Processes to remediate negative impacts and channels for affected communities to raise concerns 293 bodies Description of the processes to identify and assess material 183 183 | Taking action on material impacts on affected communities, and Corporate culture impacts, risks and opportunities 165 183 183 | 294 Business conduct policies and corporate culture 314 183 183 | 302 Protection of whistle blowers Description of the processes to identify and assess material 183 183 | The role of the administrative, supervisory and management bodies 137 183 183 | Processes to remediate negative impacts and channels for affected communities to raise concerns 293 practices Business conduct policies and corporate culture 314 183 183 | 294 Payment Practices 318 183 183 | 302 Description of the processes to identify and assess material 165 183 183 | impacts, risks and opportunities 183 183",178,"137,153,165,279,280,284,291,293,294,302,304,314,318",
G1-1,Business conduct policies and corporate culture,314 183 183,183,314,
G1-3,Prevention and detection of corruption and bribery,317 183 183,183,317,
G1-4,Incidents of corruption or bribery,318 183 183,183,318,
IRO-2,continued: - Content index,178 178 | continued: - Content index 179 179 | 180 180 | continued: - Content index 181 181 | 182 182 | continued: - Content index 183 183,178,,
S1,Own workforce Social information,"Equal treatment and opportunities for all - Diversity effectiveness of those actions and approaches Targets related to managing material negative impacts, advancing positive 292 181 181",181,292,
S1-1,Policies related to own workforce,276 178 178 | 279 178 178 | 276 Policies related to own workforce 276 179 179 | 279 Policies related to own workforce 276 179 179 | 276 180 180 | 276 Policies related to value chain workers 291 181 181 | 276 Other work-related rights - Forced labour Processes to remediate negative impacts and channels for value chain 291 181 181 | 276 181 181,178,"276,279,291",
S1-15,Work-life balance metrics,289 178 178 | 289 Persons with disabilities 288 179 179,178,"288,289",
S1-17,"Incidents, complaints and severe human rights impacts","290 178 178 | 290 Incidents, complaints and severe human rights impacts 290 179 179 | 290 180 180 | 290 Material impacts, risks and opportunities and their interaction with strategy and business model 155 181 181 | 290 181 181",178,"155,290",
S1-2,Processes for engaging with own workers and workers’ representatives about impacts | Processes for engaging with own workers and workers’ representatives about impacts | Processes for engaging with own workers and workers’ representatives,"279 178 178 | 279 Processes for engaging with own workers and workers’ representatives about impacts 279 179 179 | 279 180 180 | 279 Other work-related rights - Child Processes for engaging with value chain workers about impacts 291 181 181 | workers to raise concerns Taking action on material impacts, and approaches to mitigating material 181 181 | 279 181 181",178,"279,291",
