Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"The table below gives the reader the location in the sustainability statement of the different disclosure requirements, identified by their code as published the CSRD directive: | ESRS | ESRS 2 General disclosures | supervisory bodies | 4.1.2.1.2 Aligning Veolia’s trajectory with the 1.5°C target 4.1.2.1.3 Focus on coal phase-out and methane recovery plans | 4.1.2.1.2 Aligning Veolia’s trajectory with the 1.5°C target 4.1.2.1.4 Helping customers decarbonize | Sustainability statement | ESRS | marine resources | 4.1.2.3.6 | ecosystems | interaction with strategy and business model | dependencies and opportunities | and circular economy | 4.1.3.1.3 | 4.1.3.1.4 Attract, develop and retain employees 4.1.3.1.5. Ensure respect for diversity and inclusion | approaches to managing material risks and pursuing material opportunities related to own workforce, and effectiveness of those | actions | Sustainability statement | ESRS | 4.1.3.1.3 Guarantee a safe and healthy working environment and well-being at work | opportunities | opportunities related to value chain workers, and effectiveness of those action | opportunities related to affected communities, and effectiveness of those actions | users | Sustainability statement | ESRS | consumers and end-users to raise concerns | material opportunities related to consumers and end-users, and effectiveness of those actions | opportunities","309 309 | Disclosure Requirement section concerned 309 309 | — General basis for preparation of sustainability statements 4.1.1.2 General basis for preparation of sustainability statements 309 309 | supervisory bodies 309 309 | 310 310 | Disclosure Requirement section concerned 310 310 | and opportunities 4.1.2.3.1 Introduction 310 310 | A Historical contractual model that needs to evolve 310 310 | ecosystems in strategy and business model Veolia’s strategy 310 310 | within the Group’s risk management policy 310 310 | operations and the value chain 310 310 | risks and opportunities 4.1.2.5.1 Introduction 310 310 | Guarantee a safe and healthy working environment and well-being at work 310 310 | 4.1.3.1.6 Ensure social cohesion 310 310 | 4.1.3.1.4 Attract, develop and retain employees 4.1.3.1.5. Ensure respect for diversity and inclusion 310 310 | 311 311 | Disclosure Requirement section concerned 311 311 | 4.1.3.1.6 Ensure social cohesion 311 311 | 4.1.3.2.2 Responsible supply chain management 311 311 | 4.1.3.3.4 Ensure accessible and resilient essential services 311 311 | 4.1.3.3.5 Engage with regions and communities 311 311 | — Interests and views of stakeholders 4.1.3.4.1 Introduction 311 311 | 312 312 | Disclosure Requirement section concerned 312 312 | complaints 312 312 | 4.1.3.4.2 Services provided to consumers / Measuring consumer satisfaction 312 312 | satisfaction 312 312",309,,"4.1.2.1.2 Aligning Veolia’s trajectory with the, 4.1.2.1.3 Focus on coal phase-out and methane recovery plans, 4.1.2.1.4 Helping customers decarbonize, 4.1.1.2 General basis for preparation of sustainability"
BP-2,— Disclosures in relation to specific circumstances,4.1.1.3 Disclosures in relation to specific circumstances 309 309,309,,4.1.1.3 Disclosures in relation to specific
E1,Climate change,— Integration of sustainability-related performance in incentive schemes 4.1.2.1.6 Governance of the climate commitment 309 309,309,,4.1.2.1.6 Governance of the climate
E1-1,— Transition plan for climate change mitigation,4.1.2.1.2 Aligning Veolia’s trajectory with the 1.5°C target 309 309,309,,4.1.2.1.2 Aligning Veolia’s trajectory with the
E1-2,— Policies related to climate change mitigation and adaptation,4.1.2.1.5 Climate change adaptation 309 309,309,,4.1.2.1.5 Climate change
E1-3,— Actions and resources in relation to climate change policies,The Group’s action plan to reduce direct and indirect emissions in practice 309 309,309,,
E1-4,— Targets related to climate change mitigation and adaptation,2050 target: the reduction drivers to be deployed between 2032 and 2050 309 309,309,,
E1-5,— Energy consumption and mix,4.1.2.1.7 Metrics 309 309,309,,4.1.2.1.7
E1-6,"— Gross Scopes 1, 2, 3 and Total GHG emissions",4.1.2.1.7 Metrics 309 309,309,,4.1.2.1.7
E1-7,— GHG removals and GHG mitigation projects financed through carbon credits,4.1.2.1.4 Helping customers decarbonize 309 309,309,,4.1.2.1.4 Helping customers
E1-8,— Internal carbon pricing,4.1.2.1.2 Aligning Veolia’s trajectory with the 1.5°C target 4.1.2.1.4 Helping customers decarbonize 309 309,309,,"4.1.2.1.2 Aligning Veolia’s trajectory with the, 4.1.2.1.4 Helping customers"
E1-9,— Anticipated financial effects from material physical and transition risks and potential climate-related opportunities,4.1.2.1.5 Climate change adaptation 309 309,309,,4.1.2.1.5 Climate change
E2,Pollution,"— Description of the processes to identify and assess material pollution-related impacts, risks and opportunities 4.1.2.2.1 Introduction 309 309",309,,4.1.2.2.1
E2-1,— Policies related to pollution,4.1.2.2.2 Pollution emitted by Veolia / A Group operational policy supporting the Business Units 309 309,309,,4.1.2.2.2 Pollution emitted by Veolia / A Group operational policy supporting the Business
E2-2,— Actions and resources related to pollution,4.1.2.2.2 Pollution emitted by Veolia / This operational policy is translated locally into appropriate action plans 309 309,309,,4.1.2.2.2 Pollution emitted by Veolia / This operational policy is translated locally into appropriate action
