Code,Name,Description,Page Range,Relevant Pages,Section Reference
,Our business | Content index of ESRS disclosure requirements | List of material disclosure requirements | ESRS 2 | 64 opportunities | 64 risks and opportunities | Vestas Annual Report 2024 | Our business | Content index of ESRS disclosure requirements – continued | List of material disclosure requirements | those actions | model | effectiveness of those actions | Vestas Annual Report 2024,"Sustainability statement Financial statements Auditor and management statements Additional information Related to the Sustainability statement 212 212 | 212 212 | Page List of material disclosure requirements Page 212 212 | General Disclosures Water and marine resources 212 212 | ESRS 2 IRO-1-E4 Description of processes to identify and assess material biodiversity and ecosystem- related impacts, risks dependencies and opportunities 66 212 212 | ESRS 2 IRO-1-E5 Description of the processes to identify and assess material resource use and circular 212 212 | 212 212 212 | Sustainability statement Financial statements Auditor and management statements Additional information Related to the Sustainability statement 213 213 | 213 213 | Page List of material disclosure requirements Page 213 213 | 100,104, 109 to managing material risks and pursuing material opportunities related to affected communities, and effectiveness of those actions 120 213 213 | 112 Incidents of corruption or bribery 126, 127 213 213 | 115 213 213 | 213 213 213",212,"64,66,100,104,109,112,115,120,126,127",
BP-1,69 General basis for preparation of the sustainability statement,"ESRS 2 SBM-3-E3 Material impacts, risks and opportunities and their interaction with strategy and business model 81 212 212",212,"69,81",
BP-2,69 Disclosures in relation to specific circumstances,ESRS 2 IRO-1-E3 Description of the processes to identify and assess material water and marine resources- 212 212,212,69,
GOV-1,"40, 44, 47 The role of the administrative, management and supervisory bodies","related impacts, risks and opportunities 65 212 212",212,"40,44,47,65",
GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s 48, 63 administrative, management and supervisory bodies",Policies related to water and marine resources 82 212 212,212,"48,63,82",
GOV-3,46 Integration of sustainability-related performance in incentive schemes,Actions and resources related to water and marine resources 82 212 212,212,"46,82",
GOV-4,213 Statement on due diligence,Targets related to water and marine resources 82 212 212,212,"82,213",
GOV-5,63 Risk management and internal controls over sustainability reporting,Water consumption 82 212 212,212,"63,82",
IRO-1,"Description of the processes to identify and assess material impacts, risks and",model 84 212 212,212,84,
IRO-2,"212 | 64, 212 Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement | 213",212 | Policies related to biodiversity and ecosystems 85 212 212 | 213,212,"64,85",
SBM-1,"16, 19, 62 Strategy, business model and value chain",Biodiversity and ecosystems 212 212,212,"16,19,62",
SBM-2,67 Interests and views of stakeholders,Transition plan and consideration of biodiversity and ecosystems in strategy and business model 83 212 212,212,"67,83",
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business 66 model","ESRS 2 SBM-3-E4 Material impacts, risks and opportunities and their interaction with strategy and business 212 212",212,66,
