Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"64 Coca-Cola HBC Integrated Annual Report 2024 | Sustainability Statement continued | resources, hygiene and sanitation services, regulatory framework, biodiversity and important | water-related areas surrounding our | manufacturing sites. The most significant impact-related water risks considered in our | assessment are: the impact of our water use on | the naturally renewable water resources, the impact of our wastewater operations and | discharge to the natural environment, and the | impact of our community projects on the | watersheds health status. During the mid-term and long-term water risk assessment processes, | we evaluate the future trends that might impact | the current water risks. The starting point for the | climate change impact on water resources is related to water availability. We use the publicly | available information from recognised platforms | such as Aqueduct (WRI) and Water Risk Filter | (WWF) to evaluate the change in baseline water stress of the areas in which our plants are located. | impacts, we consider the direct impact of the interface of our activities with the biodiversity | We also factor in the current source water utilisation rate (calculated as water use volume | divided by available water at source). This allows | us to calculate the future source water utilisation | rate. If this value exceeds 100%, it means we need to optimise and expand our water infrastructure | to ensure future available water volumes for our | production needs. We also quantify the climate | change impact on water resources availability as financial risk. We specifically quantify the | additional operational and capital expenditure we | need to increase water availability for the climate | scenarios of 2030 and 2040, under two different climate scenarios. We actively monitor the | regulatory changes that may potentially impact | water resources so we can proactively upgrade | plants’ water supply and water treatment infrastructures. The reputational issues are | considered in our stakeholders’ engagement | process, and we agree common actions | to address shared, current and future water challenges. | and likelihood (for potential impacts) of the | positive and negative impacts. Specifically, to | 65 Coca-Cola HBC Integrated Annual Report 2024 | Sustainability Statement continued | E4.IRO-1_14 | As of 2024, we have one site overlapping with a | legally protected biodiversity area (Natura 2000, Category IV-VI) and six sites located near other | legally protected areas up to 30 kilometres. | under the broader risk ‘Cost and availability of sustainable packaging’, that was deemed financially | E4.IRO-1_15 | Even though we have activities near legally | protected areas, we do not negatively affect these areas by any means of deterioration of habitats | and/or species. This is confirmed in our Source | Vulnerability Assessment (SVA), an assessment | done regularly for each manufacturing site by an | external independent expert and documented in the SVA. | solutions, which were not deemed financially | E4.IRO-1_16 | biodiversity, deforestation and soil practices that prevent pollution. | We fully comply with all local biodiversity regulations and, on top, we have voluntarily | certified our sites in ISO 14001 and Water | stewardship certifications (AWS or ISO 46001). | As no negative impact has been identified, our measures are rather for addressing the positive | impact, such as replenish water. | Forum, the aim of which is to supplement the | E5.IRO-1_01 | Resource inflows, outflows and mostly waste were | used as drivers of impacts which affect soil and water bodies. Furthermore, TNFD does not have | a specific impact topic related to circular | economy, so to be compliant with TNFD, we incorporated them as drivers of impacts to soil | and water pollution. To determine the latter, all | activities of our value chain (upstream, own operation and downstream) were screened, and | according to their location in the value chain, | different assumptions were made. | Coca-Cola HBC Integrated Annual Report 2024 66 | Sustainability Statement continued | IRO-2_01 | Table 6: Datapoints from list of the Disclosure Requirements | Location in the sustainability | Disclosure Requirement | by CCHBC’s administrative, management and supervisory bodies | strategy and business model | p.116 | E1.SBM-3 Material impacts, risks and opportunities and their interaction with strategy and business model | Coca-Cola HBC Integrated Annual Report 2024 67 | Sustainability Statement continued | Disclosure Requirement | with strategy and business model | workers to raise concerns | own workforce, and effectiveness of those actions | positive impacts, and managing material risks and opportunities","Strategic Report Corporate Governance Financial Statements Swiss Statutory Reporting Supplementary Information 66 66 | 66 66 | E4.IRO-1_01,02,03,04 assess the severity of our impact, we assess: the scale through the WWF Biodiversity Risk E4.IRO-1_07 66 66 | We apply the LEAP approach, specifically the Locate, Evaluate and Assess steps as indicated in ESRS. Filter, the scope which assesses the level of For calibration of our material impact, we have approached representatives from the 66 66 | These steps can be further analysed as follows: geographical occurrence of facilities with impact to biodiversity and the remediability which is local communities in Europe and Africa, and we 66 66 | • Locate: We develop a list of the locations of our determined by the anticipated time required have captured their feedback. In every Annual Stakeholder Forum, there are representatives 66 66 | assets and identify the biomes and ecosystems for natural restoration of ecosystems. Also, likelihood of potential impacts assesses the from local communities who discuss the relevant 66 66 | our assets interface with. Consequently, we identify the integrity and importance of probability of an impact to occur considering sustainability topic and suggest actions 66 66 | biodiversity in these areas and carry out a best practices and based on the business model for improvement. 66 66 | mapping of the biodiversity-sensitive areas. and the mitigation measures that we implement. Within the WASH projects, we provide clean water 66 66 | Finally, we identify our activities as well as those in our upstream and downstream value chain. At a site level, we have conducted biodiversity access and sanitation to communities in need, and we work together with NGOs, local municipalities 66 66 | In 2024, 7 plants were in close proximity to impact and risk assessment throughout our value chain which can be found in our 2022 and local representatives. In other water 66 66 | legally protected areas. Out of them, 5 plants Biodiversity Impact and Risk Assessment. stewardship projects, e.g., for providing water 66 66 | are in proximity from zero to 2 kilometres as per the definition of the S&P Global Corporate Additionally, on a five-year basis, we conduct for irrigation, we work with affected farmers. 66 66 | Sustainability Assessment biodiversity criterion. a Source Vulnerability Assessment, which includes impact assessment related to E4.IRO-1_08 66 66 | • Evaluate: Regarding the identification of current biodiversity within our own operations. Negative impacts on ecosystem services are 66 66 | • Assess: Physical and transition risks (including avoided by implementing replenishment projects 66 66 | in the material locations. Moreover, we indicate systemic risks) and dependencies in relation to in our plants in countries we operate. Our negative 66 66 | the size, scale, frequency of occurrence and nature are considered during the ‘assess’ step. impact assessed in direct operations is related only to water use, however, we address water 66 66 | timeframe of the impacts on biodiversity and ecosystems in these areas. We estimate the Based on the assessment process, the risks for further consideration are three transition across the entire value chain by: 66 66 | percentage of our procurement spent from risks. In the upstream value chain, difficulties in • undertaking Source Vulnerability Assessments 66 66 | major suppliers with facilities located in risk- prone areas (with threatened species on the accessing ingredients and/or potential increase in their cost driven by climate change, and low in 100% of our manufacturing sites, which 66 66 | IUCN Red List of Species, the Birds and Habitats quality or quantity of agricultural ingredients serves as a basis for our Source Water Protection Plan; 66 66 | Directive or national list of threatened species, used in our production triggered by invasive • actively reducing the amount of water used in 66 66 | or in officially recognised Protected Areas, the Natura 2000 network of protected areas species in our supply chain are assessed as transition market risks. In the downstream the production of our beverages and treating 66 66 | and Key Biodiversity Areas). Furthermore, we value chain, the impact on our reputation if we wastewater at levels that support aquatic life; • partnering with suppliers to minimise our water 66 66 | indicate the size and scale of the dependencies do not meet our deforestation commitment, is footprint across the entire value chain; 66 66 | on biodiversity and ecosystems, including on raw materials, natural resources and ecosystem assessed as a transition reputational risk. None of these risks was deemed financially material. • investing in community water conservation 66 66 | services. Regarding the identification of potential projects designed to replenish the water we use through innovative sustainable technologies; 66 66 | impacts, we use the ENCORE platform that E4.IRO-1_06 and 66 66 | provides us with scientific rigorous information about the impacts on water resources of Please read our Biodiversity Impact and Risk • delivering Alliance for Water Stewardship or ISO 66 66 | the sector and our value chain. After the Assessment for detailed insights regarding our 46001 Water efficiency management systems certification at all our manufacturing sites. 66 66 | identification process, we assess the severity sites: within our seven manufacturing sites in close 66 66 | proximity to legally protected areas up to 30 kilometres, there is no site with negative 66 66 | impact on biodiversity. 66 66 | Strategic Report Corporate Governance Financial Statements Swiss Statutory Reporting Supplementary Information 67 67 | 67 67 | The ROs identification process included a thorough resilience, economic growth and the wellbeing of Lastly, we engaged with subject-matter experts and impacted stakeholders through dedicated 67 67 | review to capture the full scope of ROs, incorporating the ERM, Impact Universe, SASB sectoral analyses people. Further information regarding our Annual Stakeholder Forum is available in our website. interviews as an additional source for identifying 67 67 | and ENCORE dependency assessments. In 2024, we welcomed over 160 (167) stakeholders impacts and understanding how our business 67 67 | The identified and evaluated risks were grouped to our Annual Stakeholder Forum, themed activities, including those across the value chain, affect the environment and people. 67 67 | ‘Harnessing the Circular Economy for Packaging’. In particular, an independent organisation 67 67 | material. This risk includes risks related to regulatory Further insights regarding our 2024 Annual conducted 26 interviews with various external 67 67 | targets on collection, waste management and Stakeholder Forum are available on page 38 of the Strategic Report, paragraph ‘Stakeholder Forum stakeholders and experts, representing a diverse 67 67 | specific packaging types, increased cost of – hearing from our stakeholders on what matters range of our stakeholders, including investors, 67 67 | packaging materials due to climate change-related most’. shareholders, customers, suppliers, industry associations, NGOs, IGOs, community 67 67 | regulation and Capex costs associated with changing packaging mix. We have also identified a participants, and international institutions such 67 67 | few opportunities, such as the opportunity In addition to our Annual Stakeholder Forum, we regularly organise supplier sustainability as the UNGC and the International Organisation 67 67 | associated with the launch of innovative packaging events (especially with our main sugar and of Employers. Interviews’ objectives were to hear 67 67 | sweeteners suppliers) and meetings where the perspective of affected stakeholders to understand the level of impact materiality, to 67 67 | material. For the risks’ identification and assessment, please refer to section ‘IRO-1_09’. we discuss different ESG aspects, including support decisions on setting the materiality 67 67 | thresholds and manage the total level of disclosure 67 67 | E3.IRO-1_02 & E2.IRO-1_02 & E4.IRO-1_05& required, as well as to understand the nature of the 67 67 | E5.IRO-1_02 & IRO-1_05 During the annual innovation day with suppliers, we also discuss with packaging suppliers solutions impacts, to guide any disclosure, in line with the 67 67 | We conduct consultations with affected for alternative packaging, lightweighting and needs of users of sustainability statements. 67 67 | stakeholders, including communities, and we recyclability to minimise packaging waste and 67 67 | ensure that their feedback is taken into account. Every year we carry out an Annual Stakeholder increase circularity and thus reduce further soil 67 67 | and water pollution. 67 67 | process of material IROs identification and Furthermore, in the context of environmental permitting process and updates regarding the 67 67 | assessment and to take insights regarding our impacts on both people and nature. The theme performance towards the licensing environmental 67 67 | of this forum changes each year as well. authorities, we consult various stakeholders such 67 67 | In 2023, we focused on ‘Water Regeneration – as NGOs, environmental and subject-matter (pollution, water and biodiversity-related) experts 67 67 | partnering to strengthen communities’ and affected communities. 67 67 | resilience and drive economic growth’. Over 130 representatives, from customers, industry 67 67 | associations and academia, to NGOs, 67 67 | policymakers and peer companies – and 25 countries – came together to our Annual Forum. 67 67 | The theme was covered in the context of climate 67 67 | Strategic Report Corporate Governance Financial Statements Swiss Statutory Reporting Supplementary Information 68 68 | 68 68 | Disclosure Requirement statement (page/paragraph) 68 68 | Internal carbon pricing p.99 68 68 | Anticipated financial effects from material physical and transition risks and potential climate-related opportunities ----- 68 68 | statement (page/paragraph) Ε2-1 Policies related to pollution p.100 68 68 | Ε2-5 Substances of concern and substances of very high concern ------ 68 68 | E4.SBM-3 Material impacts, risks and opportunities and their interaction with strategy and business model p.115 68 68 | p.115 68 68 | p.84 Targets related to biodiversity and ecosystems p.118 68 68 | Strategic Report Corporate Governance Financial Statements Swiss Statutory Reporting Supplementary Information 69 69 | 69 69 | Location in the sustainability statement (page/paragraph) Disclosure Requirement Location in the sustainability statement (page/paragraph) 69 69 | Material impacts, risks and opportunities and their p.155 69 69 | Policies related to affected communities p.156 69 69",66,"25,26,30,38,64,65,66,67,84,99,100,115,116,118,130,155,156,160,167",
BP-1,General basis for preparation of sustainability statements,p.41 Ε2-2 Actions and resources related to pollution 68 68,68,41,
BP-2,Disclosures in relation to specific circumstances,p.43 p.102 68 68,68,"43,102",
E1-1,Transition plan for climate change mitigation,p.83 Actions and resources related to biodiversity and ecosystems p.117 68 68,68,"83,117",
E1-2,Policies related to climate change mitigation and adaptation,p.85 Impact metrics related to biodiversity and ecosystems change p.118 68 68,68,"85,118",
E1-3,Actions and resources in relation to climate change policies,p.87 Anticipated financial effects from material biodiversity and ecosystem-related risks and opportunities ------ 68 68,68,87,
E1-4,Targets related to climate change mitigation and adaptation,p.90 Policies related to resource use and circular economy p.119 68 68,68,"90,119",
E1-5,Energy consumption and mix,p.92 Actions and resources related to resource use and circular economy p.120 68 68,68,"92,120",
E1-6,"Gross scopes 1, 2, 3 and Total GHG emissions",p.93 Targets related to resource use and circular economy p.125 68 68,68,"93,125",
E1-7,GHG removals and GHG mitigation projects financed through carbon credits,p.98 68 68,68,98,
