Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"The undertaking shall include a list of the Disclosure Requirements complied with in preparing the sustainability statement, | following the outcome of the materiality assessment (IRO-2-56) | Disclosure requirements | 4.1.3.2 Information on the materiality assessment process | 4.2.2.4 The Group’s carbon footprint | 4.1.3.3 Risk management and internal controls over | 1) | (SBM-3) | SBM-3) 4.1.3.2.1 Description of the processes to identify and | assess material impacts, risks and opportunities (IRO-1) 4.2.2.3 Focus on taking climate risks into account | 4.2.4.3 Water consumption at Group sites | Disclosure requirements | 4.2.3.4 Policies, actions and targets related to financial activities | 4.2.3.5 Impacts and actions related to Group sites | 4.3.2.3.1 Training and skills development 4.3.2.3.2 Employee mobility | 4.3.2.3.3 Pay policy 4.3.2.4.1 Health and safety at work | 4.3.2.4.2 Work-life balance 4.3.2.5.1 Inclusion strategy | 4.3.2.5.2 Employment and inclusion of people with disabilities | 4.3.2.5.3 Gender mix and balance 4.3.2.6 Measuring perceptions of the employee | experience | experience 4.6 Duty of care plan | 4.3.2.6 Measuring the perception of the employee experience | 4.3.2.3.2 Employee mobility 4.3.2.5.3 Gender diversity and balance | Disclosure requirements | policy 4.3.1.3 Reporting, a key element in the protection of | human rights 4.3.1.4 Serious human rights incidents | 4.3.3.3 Financial and social inclusion 4.3.3. | 4 The development of products and services in support of major social and societal issues in local and regional | areas 4.3.3.5 Support for access to housing through financing | and investment activities and 4.3.3.6 Protection of privacy | 4.3.3.7 Access to information and responsible marketing practices | 4.6 Compliance plan | 4.3.3.1 Customer centricity 4.3.3.6 Protection of privacy | 4.3.3.8 Main interactions with consumers and end- users at Crédit Mutuel Arkéa | 4.3.1.3 Whistleblowing, a key element in the protection of human rights | 4.3.3.3 Financial and social inclusion 4.3.3.6 Protection of privacy | of those actions | 4.3.1 The Crédit Mutuel Arkéa Group's human rights policy | 4.3.3 Consumers and end users (S4) 4.3.3.3 Financial and social inclusion | 4.3.3.4 Development of products and services in support of major social and societal issues in local and | regional areas 4.3.3.5 Support for access to housing through | financing and investment activities and as a social landlord | support major social and societal issues in the territories | 1) | 4.4.3.3 The whistleblowing system 4.4.3.4 The business ethics training and information | system | 4.4.3.2 The involvement of corporate governance in promoting business ethics | of business ethics 4.4.3.3 The whistleblowing system | 4.4.3.4 The business ethics training and information system",nan 157 157 | Location in the sustainability statement nan 157 157 | Location in the sustainability statement 158 158 | 158 158 | Location in the sustainability statement nan 159 159 | nan 159 159 | 4.0 159 159 | 4.1.3.2 Information on the materiality assessment process nan 159 159,157,56,"4.1.3.2 Information on the materiality assessment process, 4.2.2.4 The Group’s carbon footprint, 4.1.3.3 Risk management and internal controls over, 4.1.3.2.1 Description of the processes to identify and, 4.2.2.3 Focus on taking climate risks into account, 4.2.4.3 Water consumption at Group sites"
BP-1,Disclosure Requirement —General basis for preparation of sustainability statements,4.1.1.1 I General basis for preparation of sustainability statements (BP-1) nan 157 157,157,,4.1.1.1 I General basis for preparation of sustainability statements
BP-2,Disclosure Requirement – Disclosures in relation to specific circumstances,4.1.1.2 Disclosures in relation to specific circumstances (BP-2) nan 157 157,157,,4.1.1.2 Disclosures in relation to specific circumstances
E1-1,Disclosure Requirement – Transition plan for climate change mitigation,4.2.2.2 The transition plan (E1-1) nan 157 157,157,,4.2.2.2 The transition plan
E1-2,Disclosure Requirement – Policies related to climate change mitigation and adaptation,4.2.2.2 The transition plan (E1-1) 4.2.2.3 Focus on taking climate risks into account nan 157 157,157,,"4.2.2.2 The transition plan, 4.2.2.3 Focus on taking climate risks into account"
E1-3,Disclosure Requirement – Actions and resources in relation to climate change policies,4.2.2.4 The Group’s carbon footprint nan 157 157,157,,4.2.2.4 The Group’s carbon footprint
E1-4,Disclosure Requirement – Targets related to climate change mitigation and adaptation,4.2.2.4 The Group’s carbon footprint nan 157 157,157,,4.2.2.4 The Group’s carbon footprint
E1-5,Disclosure Requirement – Energy consumption and mix,4.2.2.4 The Group’s carbon footprint nan 157 157,157,,4.2.2.4 The Group’s carbon footprint
E1-6,"Disclosure Requirement – Gross Scopes 1, 2, 3 and Total GHG emissions",4.2.2.4 The Group’s carbon footprint nan 157 157,157,,4.2.2.4 The Group’s carbon footprint
E1-7,Disclosure Requirement – GHG removals and GHG mitigation projects financed through carbon credits,4.2.2.4 The Group’s carbon footprint nan 157 157,157,,4.2.2.4 The Group’s carbon footprint
