Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"Disclosure | ESRS 2 General disclosures | 1. Basis for preparation | 10 | 11 | 13 | 14 | 15 | 16 | 2. Governance | 22 | 23 | administrative, management and supervisory bodies | performance in incentive schemes | 3. Strategy | and value chain | 41 | 42 | 4. Impact, risks and opportunity management | 40 | Disclosure | 41 | 42 | 43 | 46 | 47 | 48 | 49 | 50 | 51 | 52 | 53 | 54 | 55 | risks, material transition risks and climate-related opportunities. | 67 | 68 | 69 | identify and assess material resource use and circular economy-related impacts, risks and opportunities | economy | 14 | 15 | 16 | ESRS 2 62 | Disclosure | 19 | 20 | 21 | 22 | 23 | 24 | ESRS 2 62 | 27 | 28 | 29 | 32 | 33 | 34 | workforce, and approaches to mitigating material risks | and pursuing material opportunities related to own | workforce, and effectiveness of those actions | 37 | 38 | 39 | 40 | 41 | 42 | 43 | Metrics and targets | material risks and opportunities | 45 | ESRS 2 72 | 50 | Disclosure | 16 | 17 | 18 | 19 | ESRS 2 62 | 22 | 23 | channels for value chain workers to raise concerns | 27 | 28 | 29 | CTP | pursuing material opportunities related to value chain | workers, and the effectiveness of those actions | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | Metrics and targets | material risks and opportunities | 41 | 42 | ESRS 2 72","Paragraph Page Comments Disclosure Paragraph Page Comments 371 371 | 53 104, 105 371 371 | Disclosure Requirements in ESRS covered by the undertaking’s sustainability statements 56 104, 105, 371-374 371 371 | 96 ESRS E1-GOV-3 13 177 371 371 | 96 Transition plan for climate change mitigation 14 109 371 371 | 96 16 109 371 371 | 96 Impacts, risks, and opportunity management 371 371 | 97 – Material impacts, risks and opportunities and their interaction with strategy and 18 110, 112 371 371 | 371-374 business model 371 371 | 19 110, 112 371 371 | 175, 176 identify and assess material climate-related impacts, risks and opportunities 371 371 | 98 21 112 371 371 | adaptation 371 371 | 25 113 371 371 | 29 114 371 371 | Targets related to climate change mitigation and adaptation 30 115 371 371 | 100 33 115 371 371 | 100 34 115 371 371 | 38 116 371 371 | 117 371 371 | Paragraph Page Comments Disclosure Paragraph Page Comments 372 372 | 117 Actions and resources related to resource use and circular economy 17 125 372 372 | 117 19 125 372 372 | 117 20 Not applicable 372 372 | 120, 121 Targets related to resource use and circular 21 125 372 372 | 120 economy 372 372 | 120 23 125 372 372 | 120 24 Not applicable 372 372 | 120 25 Not applicable 372 372 | 120, 122 26 Not applicable 372 372 | 120 27 Not applicable 372 372 | 122 ESRS 2 72 125 372 372 | 122 Resource inflows 28 126 372 372 | 122 30 126 372 372 | 35 126 372 372 | 123, 147 36 126 372 372 | 123 37 126 372 372 | 123 38 126 372 372 | Own workforce 372 372 | – Material impacts, risks and opportunities and their interaction with strategy and 13 128 372 372 | 124 business model 372 372 | Not applicable 14 128 372 372 | Not applicable 15 129 372 372 | 124 16 129 372 372 | Paragraph Page Comments Disclosure Paragraph Page Comments 373 373 | 129, 130 55 134 373 373 | 129, 130 Collective bargaining coverage and social dialogue 58 134 373 373 | 129, 130 60 134 373 373 | 129 63 134 373 373 | 130 Diversity indicators 64 135 373 373 | 129, 130 66 135 373 373 | 130 Adequate wages 67 135 373 373 | 130 Social protection 72 135 373 373 | 130 74 135 373 373 | Process developed Persons with disabilities Not Material 373 373 | 130 83 135 373 373 | 130 Health and safety indicators 86 135 373 373 | 130 88 135 373 373 | 93 136 373 373 | Compensation indicators (pay gap and total compensation) 95 136 373 373 | 97 136 373 373 | 130, 131 Incidents, complaints, and severe human rights 100 136, 137 373 373 | 131 impacts and incidents 373 373 | 130 102 136, 137 373 373 | 131 103 136, 137 373 373 | 130, 131 104 136 373 373 | 130, 131 Workers in the value chain 373 373 | 130 Interests and views of stakeholders 9 137 373 373 | Material impacts, risks and 10 137, 138 373 373 | business model 373 373 | 131 11 137, 138 373 373 | 12 138 373 373 | 132-134 Policies related to value chain workers 14 138 373 373 | Paragraph Page Comments Disclosure Paragraph Page Comments 374 374 | 138 Consumers and end-users Not Material 374 374 | 138 Business Conduct 374 374 | 138 Impacts, risks, and opportunity management 374 374 | 138 – The role of the administrative, management and supervisory bodies 5 142 374 374 | 138 – Description of the processes to 6 143 374 374 | 139 opportunities 374 374 | 139 Corporate culture and business conduct policies 7 143, 144 374 374 | 10 143, 144 374 374 | 139 Management of relationships with suppliers 12 145 374 374 | 139 14 145 374 374 | Not applicable to 15 145 374 374 | Prevention and detection of corruption/bribery 16 145 374 374 | 19 Not applicable to CTP 374 374 | 20 145 374 374 | 139 21 145 374 374 | 139 Metrics and targets 374 374 | 139 Confirmed incidents of corruption or bribery 22 145 374 374 | 139 24 145 374 374 | 139 26 145 374 374 | 139 Political influence and lobbying activities Not Material 374 374 | 139 Payment practices 31 146 374 374 | 139 33 146 374 374 | 374 374 | 139 374 374",371,"10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50,51,52,53,54,55,56,58,60,62,63,64,66,67,68,69,72,74,83,86,88,93,95,96,97,98,100,102,103,104,105,109,110,112,113,114,115,116,117,120,121,122,123,124,125,126,128,129,130,131,132,133,134,135,136,137,138,139,142,143,144,145,146,147,175,176,177,372,373,374",
BP-1,General basis for the preparation of the sustainability statements,"5 95 59 104, 105 371 371",371,"59,95,104,105",
BP-2,Disclosures in relation to specific circumstances,9 96 Climate Change 371 371,371,96,
E1-6,"Gross scopes 1, 2, 3 and total GHG emissions",44 120 ESRS 2 62 125 372 372,372,"44,62,120,125",
E1-7,GHG removals and GHG mitigation projects financed through carbon credits,Not Material 31 126 372 372,372,"31,126",
E1-8,Internal carbon pricing,Not Material 32 126 372 372,372,"32,126",
E1-9,Potential financial effects from material physical,66 123 Resource outflows 33 126 372 372,372,"33,66,123,126",
E2,Pollution,Not Material 39 126 372 372,372,"39,126",
E3,Water and marine sources,Not Material 40 126 372 372,372,"40,126",
E4,Biodiversity and ecosystems,Not Material Anticipated financial effects from material resource use and circular economy-related risks and 41 126 372 372,372,"41,126",
E5,Resource use and Circular Economy,opportunities 372 372,372,,
E5-1,Policies related to resource use and circular,12 124 – Interests and views of stakeholders 12 128 372 372,372,"12,124,128",
GOV-1,"The role of the administrative, management and supervisory bodies","21 135, 164, 172, 195 – Description of the processes to 20 112, 123 371 371",371,"20,21,112,123,135,164,172,195",
GOV-2,Information provided to and sustainability matters addressed by the undertaking’s,"26 98, 173, 174 Policies related to climate change mitigation and 22 113 371 371",371,"22,26,98,113,173,174",
GOV-3,Integration of sustainability-related,29 177 24 113 371 371,371,"24,29,113,177",
GOV-4,Statement on sustainability due diligence,"32 141, 142 Actions plans and recourses in relation to climate change policies and targets 26 113, 114 371 371",371,"26,32,113,114,141,142",
GOV-5,Risk management and internal controls over sustainability reporting,"36 99, 203-209 28 114 371 371",371,"28,36,99,114,203,204,205,206,207,208,209",
IRO-1,"Description of the processes to identify and assess material impacts, risks and opportunities | Description of the processes to","51 104, 105 39 116 371 371 | 11 124 43 126 372 372",371,"11,39,43,51,104,105,116,124,126",
IRO-2-56,"7.4 ESRS Index ESRS 2 BP-2-16,",371 371,371,16,7.4 ESRS Index
S1-1,Policies related to own workforce,"17 129, 130 Characteristics of non-employee workers in the undertaking’s own workforce 53 134 373 373",373,"17,53,129,130,134",
S1-2,Processes for engaging with own workers and workers’,25 130 69 135 373 373,373,"25,69,130,135",
S1-3,Processes to remediate negative impacts and channels for own worders to raise concerns,30 130 Training and skills development indicators 81 135 373 373,373,"30,81,130,135",
S1-4,Taking action on material impacts on own,35 130 Work-life balance indicators 91 136 373 373,373,"35,91,130,136",
S1-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing",44 131 opportunities and their interaction with strategy and 373 373,373,"44,131",
S1-6,Characteristics of the undertaking’s employees,"48 132-134 13 137, 138 373 373",373,"13,48,132,133,134,137,138",
S2-2,Processes of engaging with value chain workers about impacts,"20 139 identify and assess material impacts, risks and 374 374",374,"20,139",
S2-3,Processes to remediate negative impacts and,25 139 9 143 374 374,374,"25,139,143",
S2-4,"Taking action on material impacts on value chain workers, approaches to mitigating material risks and",30 139 18 145 374 374,374,"18,30,139,145",
S2-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing",39 Not applicable 374 374,374,39,
S3,Affected communities,Not Material 374 374,374,,
SBM-1,"Market position, strategy, business model(s)",40 100 Metric and targets 371 371,371,"40,100",
SBM-2,Interests and views of stakeholders,45 102 Energy consumption and mix 35 116 371 371,371,"35,45,102,116",
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model(s)","48 104, 123, 356 37 116 371 371",371,"37,48,104,116,123,356",
