Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"Disclosure requirements and incorporation by reference | Cross-cutting standard Disclosure requirement | ESRS 2 — General disclosures | Employee representation on the Board of Directors | administrative, management, and supervisory bodies | Strategy and value chain | Environmental standards Disclosure requirement | and opportunities | Social standards Disclosure requirement | material opportunities related to value chain workers, and effectiveness of those actions | and managing material risks and opportunities",95 95 | Section Page Environmental standards Disclosure requirement Section Page 95 95 | — Climate change 95 95 | MR 42-43 Targets related to climate change mitigation and adaptation SUS 64 95 95 | Energy intensity based on net revenue SUS 101 95 95 | SUS 49-52 Anticipated financial effects from material physical and transition risks and potential climate-related opportunities - - 95 95 | Section Page Social standards Disclosure requirement Section Page 96 96 | Social protection - - 96 96 | Section Page Governance standard Disclosure requirement Section Page 97 97 | Political influence and lobbying activities - - 97 97 | 97 97,95,"42,43,49,50,51,52,64,101",
BP-1,General basis for preparation of sustainability statement,SUS 94 Transition plan for climate change mitigation - - 95 95,95,94,
BP-2,Disclosures in relation to specific circumstances,SUS 94 Policies implemented to manage climate change mitigation and adaptation SUS 65 95 95,95,"65,94",
E2,— Pollution,— Own workforce 96 96,96,,
E2-1,Policies related to pollution,SUS 78 Policies related to own workforce SUS 83-84 96 96,96,"78,83,84",
E2-2,Actions and resources related to pollution,- - Processes for engaging with own workers and workers’ representatives about impacts SUS 85 96 96,96,85,
E2-3,Targets related to pollution,- - Processes to remediate negative impacts and channels for own workers to raise concerns SUS 87-88 96 96,96,"87,88",
E2-4,"Pollution of air, water, and soil","- - Taking action on material impacts on own workforce, and approaches to managing material risks and pursuing material opportunities related to own workforce, and effectiveness of SUS 83 96 96",96,83,
E2-5,Substances of concern and substances of very high concern,- - those actions 96 96,96,,
E2-6,Anticipated financial effects from material pollution-related risks and opportunities,"- - Targets related to managing material negative impacts, advancing positive impacts, SUS 80 96 96",96,80,
E3,— Water and marine resources,and managing material risks and opportunities 96 96,96,,
E3-1,Policies related to water and marine resources,SUS 78 Characteristics of the undertaking’s employees SUS 106 96 96,96,"78,106",
E3-2,Actions and resources related to water and marine resources,- - Characteristics of non-employee workers in the undertaking’s own workforce - - 96 96,96,,
E3-3,Targets related to water and marine resources,- - Collective bargaining coverage and social dialogue - - 96 96,96,,
E3-4,Water consumption,"SUS 101 Diversity metrics SUS 101, 106 96 96",96,"101,106",
E3-5,Anticipated financial effects from material water and marine resources-related risks,- - Adequate wages SUS 84 96 96,96,84,
E5,— Resource use and circular economy,Training and skills development metrics SUS 105 96 96,96,105,
E5-1,Policies related to resource use and circular economy,SUS 73 Health and safety metrics SUS 81 96 96,96,"73,81",
E5-2,Actions and resources related to resource use and circular economy,SUS 73 Work-life balance metrics - - 96 96,96,73,
E5-3,Targets related to resource use and circular economy,"SUS 73 Compensation metrics (pay gap and total compensation) SUS 84,101 96 96",96,"73,84,101",
E5-4,Resource inflows,"- - Incidents, complaints, and severe human rights impacts SUS 91 96 96",96,91,
E5-5,Resource outflows,- - 96 96,96,,
E5-6,"Anticipated financial effects from resource use and circular economy-related impacts, risks, and opportunities",- - 96 96,96,,
GOV-1,"The role of the administrative, management, and supervisory bodies Expertise and skills on sustainability matters",MR MR 37 42-43 Actions and resources in relation to climate change policies SUS 65 95 95,95,"37,42,43,65",
GOV-2,Information provided to and sustainability matters addressed by the undertaking’s,MR 38 Energy consumption and mix SUS 72 95 95,95,"38,72",
GOV-3,Integration of sustainability-related performance in incentive schemes,"MR 40 Gross scopes 1, 2, 3 and Total GHG emissions SUS 101 95 95",95,"40,101",
GOV-4,Statement on due diligence,SUS 56 GHG Intensity based on net revenue SUS 72 95 95,95,"56,72",
GOV-5,Risk management and internal controls over sustainability reporting,MR 39 GHG removals and GHG mitigation projects financed through carbon credits SUS 72 95 95,95,"39,72",
IRO-1,"Description of the process to identify and assess material impacts, risks, and opportunities",SUS 54 95 95,95,54,
IRO-2,Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,SUS 95-97 95 95,95,"96,97",
S1-12,Persons with disabilities,- - 96 96,96,,
S2,— Workers in the value chain,— Business conduct 97 97,97,,
S2-1,Policies related to value chain workers,SUS 87 Business conduct policies and corporate culture SUS 90 97 97,97,"87,90",
S2-2,Processes for engaging with value chain workers about impacts,SUS 88 Management of relationships with suppliers SUS 92 97 97,97,"88,92",
S2-3,Processes to remediate negative impacts and channels for value chain workers to raise concerns,SUS 90 Prevention and detection of corruption and bribery SUS 90 97 97,97,90,
S2-4,"Taking action on material impacts, and approaches to mitigating material risks and pursuing",- - Confirmed incidents of corruption or bribery SUS 91 97 97,97,91,
S2-5,"Targets related to managing material negative impacts, advancing positive impacts,",- - Payment practices - - 97 97,97,,
SBM-1,Business model,MR 26 Internal carbon pricing SUS 66 95 95,95,"26,66",
SBM-2,Interests and views of stakeholders,SUS 57 95 95,95,57,
SBM-3,"Material impacts, risks, and opportunities and their interaction with strategy and business model",SUS 55 95 95,95,55,
