Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"CEO Report of the | Review Board of Directors | Low-carbon fuels are currently many times more | Business model and | operating environment | mandates on them should be carefully designed | Financial performance in 2024 | to avoid regional inequalities. The same applies | Financial position and | capital expenditure | Shareholder return policy | and the Board’s proposal for | the distribution of profit | Fleet | Strategy implementation | Changes in company management | Shares and shareholders | opportunity to create added value and differentiate its | Risk management | services, thereby increasing their attractiveness on the | Significant risks and uncertainties | market. | Seasonal variation and sensitivities | in business operations | Outlook | potential biodiversity and ecosystem impacts and | Performance indicators classified as | alternative performance measures | as most material, outweighing impacts from other | Reconciliation of performance indicators | classified as alternative performance | measures | Other performance indicators | of land-use change resulting from cultivation of | • Sustainability Report | General information | Environmental information | Social information | are largely tied to SAF production, and therefore to | Governance information | the business relationship with suppliers from whom | Finnair acquires SAF. Risks and negative impacts | are mitigated through use of certified suppliers who | comply with recognised sustainability standards. No | Review Board of Directors | Business model and | operating environment | List of the Disclosure Requirements complied with in preparing the Sustainability Report | Financial performance in 2024 | Financial position and | capital expenditure | Shareholder return policy | and the Board’s proposal for | the distribution of profit | Fleet | Strategy implementation | supervisory bodies | Changes in company management | Shares and shareholders | Risk management | Significant risks and uncertainties | Seasonal variation and sensitivities | in business operations | Outlook | 137 | Performance indicators classified as | alternative performance measures | Reconciliation of performance indicators | classified as alternative performance | measures | Other performance indicators | • Sustainability Report | General information | Environmental information | Social information | Governance information | Review Board of Directors | Disclosure Requirement | Business model and | operating environment | Financial performance in 2024 | General requirements Appendix C | Financial position and | capital expenditure | Shareholder return policy | and the Board’s proposal for | the distribution of profit | Fleet | Strategy implementation | Changes in company management | Shares and shareholders | Risk management | Significant risks and uncertainties | Seasonal variation and sensitivities | in business operations | Outlook | Performance indicators classified as | alternative performance measures | Reconciliation of performance indicators | classified as alternative performance | measures | Other performance indicators | • Sustainability Report | General information | Environmental information | Social information | Governance information | and opportunities | Review Board of Directors | Disclosure Requirement | Business model and | operating environment | Financial performance in 2024 | General requirements Appendix C | Financial position and | capital expenditure | Shareholder return policy | and the Board’s proposal for | the distribution of profit | Fleet | Strategy implementation | Changes in company management | Shares and shareholders | opportunities | Risk management | Significant risks and uncertainties | Seasonal variation and sensitivities | in business operations | Outlook | Performance indicators classified as | alternative performance measures | Reconciliation of performance indicators | classified as alternative performance | measures | Other performance indicators | • Sustainability Report | General information | Environmental information | Social information | Governance information | CEO Report of the | Review Board of Directors | Disclosure Requirement | Business model and | operating environment | material opportunities related to value chain workers, and effectiveness of those action | Financial performance in 2024 | Financial position and | capital expenditure | Shareholder return policy | and the Board’s proposal for | the distribution of profit | Fleet | Strategy implementation | Changes in company management | Shares and shareholders | opportunities | Risk management | Significant risks and uncertainties | Seasonal variation and sensitivities | in business operations | Outlook | Performance indicators classified as | alternative performance measures | Reconciliation of performance indicators | classified as alternative performance | measures | Other performance indicators | • Sustainability Report | General information | Environmental information | Social information | Governance information","Financial Board of Directors’ Proposal Auditor’s 61 61 | Statements on a return of capital Report 61 61 | positive impacts, opportunities, or direct material challenges for the overall recycling rate of produced 61 61 | 61 61 | expensive than fossil kerosene, so any refuelling dependencies on biodiversity and ecosystem services waste. 61 61 | were identified. Finnair’s own operations are situated 61 61 | in proximity of its home hub, Helsinki-Vantaa airport, As a result of the DMA, the topics of Pollution and 61 61 | to possible regulatory upward pressure on ticket which is not considered a biodiversity-sensitive area. Water and marine resources were determined 61 61 | prices (taxes). As stated in the IEA’s NetZero 2050 Impacts of climate change on biodiversity in short-, non-material for Finnair. Finnair’s pollution-related 61 61 | scenario, international co-operation is needed to medium-, and long-term time horizons was recognised, impacts were determined as non-material in its own 61 61 | define a common direction and actions. Finnair’s SAF but all disclosures related to climate change impacts operations at Helsinki-Vantaa home hub site location, 61 61 | strategy is generally highly dependent on Finnair’s are reported under Climate change. and along its value chain. Finnair’s water and marine 61 61 | financial position to participate in supporting the resources-related impacts were determined as 61 61 | development of the global SAF market. Finnair sees For the topic of Circular economy and resource non-material in its own operations at Helsinki-Vantaa 61 61 | the energy transition not only as an expense, but as an use two negative impacts and one opportunity home hub site location and along its value chain, 61 61 | were identified. No risks were identified. When as Finnair does not have significant operations in 61 61 | assessing the resource use and circular economy geographical areas where water is a material issue nor 61 61 | aspects, Finnair evaluated material use and waste do its operations or services materially impact marine 61 61 | management in its own operations related to flights, resources. 61 61 | facility management. In evaluation of the upstream 61 61 | risks associated with increasing SAF use emerged value chain, emphasis was on aircraft and spare 61 61 | parts manufacturers and providers of catering 61 61 | impacts, risks, and opportunities related to Finnair’s goods. Affected communities were consulted in the 61 61 | own operations and value chain. These impacts form of a stakeholder survey. Food and beverage 61 61 | and risks relate to the potential long-term impacts used in catering services is the biggest category of 61 61 | materials used in term of quantity. Chemicals form 61 61 | feedstock to produce SAF and the financial risk related the second largest category of materials used, and 61 61 | to SAF availability. As the risk and negative impact were considered material, as they represent the 61 61 | identified specifically relate to the use of SAF, they biggest category of hazardous waste. In terms of 61 61 | specific activities, business relationships, geographies, 61 61 | or other factors that give rise to heightened risk of 61 61 | adverse impacts, the lack of visibility or control over the 61 61 | recycling of waste in Finnair’s destination hubs poses 61 61 | Statements on a return of capital Report 62 62 | 62 62 | Page Additional 62 62 | Disclosure Requirement Section number information 62 62 | ESRS 2 General disclosures 62 62 | General basis for preparation of the Sustainability Report ESRS 2; 44 62 62 | Disclosures in relation to specific circumstances ESRS 2; 45 62 62 | The role of the administrative, management and supervisory bodies ESRS 2; 45 62 62 | Information provided to and sustainability matters addressed by the undertaking’s administrative, management and ESRS 2; 47 62 62 | Integration of sustainability-related performance in incentive schemes ESRS 2; 48 62 62 | Statement on due diligence ESRS 2; 48 62 62 | Risk management and internal controls over sustainability reporting ESRS 2; 48 62 62 | Interests and views of stakeholders ESRS 2; 53 62 62 | Material impacts, risks and opportunities and their interaction with strategy and business model 55, 83, 62 62 | E1; SBM-3, E4; SBM-3, 104, 110, 62 62 | S3; , S4; 62 62 | Description of the processes to identify and assess material impacts, risks and opportunities ESRS 2; 58 62 62 | Disclosure requirements in ESRS covered by the undertaking’s Sustainability Report ESRS 2; 62 62 62 | Environmental information 62 62 | Climate change 62 62 | Integration of sustainability-related performance in incentive schemes 48 62 62 | Transition plan for climate change mitigation E1; 81 62 62 | Description of the processes to identify and assess material climate-related impacts, risks and opportunities ESRS 2, ESRS 2; 58 62 62 | Policies related to climate change mitigation and adaptation E1; 90 62 62 | Actions and resources in relation to climate change policies E1; 91 62 62 | Targets related to climate change mitigation and adaptation E1; 93 62 62 | Energy consumption and mix E1; 96 62 62 | Statements on a return of capital Report 63 63 | Page Additional Section 63 63 | number information 63 63 | Internal carbon pricing E1; 102 63 63 | Anticipated financial effects from material physical and transition risks and potential climate-related opportunities Disclosure requirement omitted as per ESRS 1 63 63 | 63 63 | Pollution 63 63 | ESRS 2, Description of the processes to identify and assess material pollution-related impacts, risks and opportunities Determined non-material 63 63 | Policies related to pollution Determined non-material 63 63 | Actions and resources related to pollution Determined non-material 63 63 | Targets related to pollution Determined non-material 63 63 | Pollution of air, water and soil Determined non-material 63 63 | Substances of concern and substances of very high concern Determined non-material 63 63 | Water and marine resources 63 63 | Description of the processes to identify and assess material water and marine resources-related impacts, risks and Determined non-material 63 63 | Actions and resources related to water and marine resources Determined non-material 63 63 | Targets related to water and marine resources Determined non-material 63 63 | Water consumption Determined non-material 63 63 | Anticipated financial effects from water and marine resources-related impacts, risks and op-portunities Determined non-material 63 63 | Biodiversity and ecosystems 63 63 | Transition plan and consideration of biodiversity and ecosystems in strategy and business model E4; 103 63 63 | Description of processes to identify and assess material biodiversity and ecosystem-related impacts, risks and ESRS 2, ESRS 2; 58 63 63 | opportunities 63 63 | Actions and resources related to biodiversity and ecosystems E4; 105 63 63 | Impact metrics related to biodiversity and ecosystems change E4; 105 63 63 | Anticipated financial effects from biodiversity and ecosystem-related risks and opportunities Disclosure requirement omitted as per ESRS 1 63 63 | General requirements Appendix C 63 63 | Resource use and circular economy 63 63 | Description of the processes to identify and assess material resource use and circular econ-omy-related impacts, risks ESRS 2, ESRS 2; 58 63 63 | Statements on a return of capital Report 64 64 | Section Page Additional 64 64 | number information 64 64 | Resource outflows E5; 109 64 64 | Anticipated financial effects from resource use and circular economy-related impacts, risks and opportunities Disclosure requirement omitted as per ESRS 1 64 64 | 64 64 | Social information 64 64 | Own workforce 64 64 | ESRS 2, Interests and views of stakeholders ESRS 2; 53 64 64 | ESRS 2, Material impacts, risks and opportunities and their interaction with strategy and business model S1; 55, 110 64 64 | Policies related to own workforce S1; 112 64 64 | Processes for engaging with own workers and workers’ representatives about impacts S1; 114 64 64 | Processes to remediate negative impacts and channels for own workers to raise concerns S1; 116 64 64 | opportunities related to own workforce, and effectiveness of those actions 64 64 | Targets related to managing material negative impacts, advancing positive impacts, and man-aging material risks and S1; 119 64 64 | Characteristics of non-employee workers in the undertaking’s own workforce Disclosure requirement omitted as per ESRS 1 64 64 | Collective bargaining coverage and social dialogue S1; 121 64 64 | Diversity metrics S1; 122 64 64 | Social protection Disclosure requirement omitted as per ESRS 1 64 64 | General requirements Appendix C 64 64 | Persons with disabilities Disclosure requirement omitted as per ESRS 1 64 64 | Training and skills development metrics S1; 123 64 64 | Health and safety metrics S1; 124 64 64 | Compensation metrics (pay gap and total compensation) S1; 125 64 64 | Incidents, complaints and severe human rights impacts S1; 125 64 64 | Workers in the value chain 64 64 | Policies related to value chain workers S2; 128 64 64 | Financial Board of Directors’ Proposal Auditor’s 65 65 | Statements on a return of capital Report 65 65 | Section Page Additional 65 65 | number information 65 65 | Taking action on material impacts on value chain workers, and approaches to managing mate-rial risks and pursuing S2; 129 65 65 | 65 65 | Targets related to managing material negative impacts, advancing positive impacts, and man-aging material risks and S2; 130 65 65 | Affected communities 65 65 | ESRS 2, Interests and views of stakeholders ESRS 2; 53 65 65 | ESRS 2, Material impacts, risks and opportunities and their interaction with strategy and business model S3; 55, 131 65 65 | Policies related to affected communities S3; 133 65 65 | Processes for engaging with affected communities about impacts S3; 134 65 65 | material opportunities related to affected communities, and effectiveness of those actions 65 65 | Targets related to managing material negative impacts, advancing positive impacts, and man-aging material risks and S3; 136 65 65 | Consumers and end-users 65 65 | ESRS 2, Material impacts, risks and opportunities and their interaction with strategy and business model S4; 55, 137 65 65 | Policies related to consumers and end-users S4; 140 65 65 | Taking action on material impacts on consumers and end-users, and approaches to managing material risks and S4; 143 65 65 | pursuing material opportunities related to consumers and end-users, and effectiveness of those actions 65 65 | Targets related to managing material negative impacts, advancing positive impacts, and man-aging material risks and S4; 145 65 65 | opportunities 65 65 | Governance information 65 65 | Business conduct 65 65 | ESRS 2, Description of the processes to identify and assess material impacts, risks and opportunities ESRS 2; 58 65 65 | Corporate culture and business conduct policies and corporate culture G1; 147 65 65 | Management of relationships with suppliers G1; 150 65 65 | Confirmed incidents of corruption or bribery G1; 151 65 65 | Political influence and lobbying activities Determined non-material 65 65",61,"44,45,47,48,53,55,58,81,83,90,91,93,96,102,103,104,105,109,110,112,114,116,119,121,122,123,124,125,128,129,130,131,133,134,136,137,140,143,145,147,150,151",
E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions",E1; 97 62 62,62,97,
E1-7,GHG removals and GHG mitigation projects financed through carbon credits,E1; 101 62 62,62,101,
E2-6,"Anticipated financial effects from pollution-related impacts, risks and opportunities",Determined non-material 63 63,63,,
E3-1,Policies related to water and marine resources,Determined non-material 63 63,63,,
E4,"For the topic of Biodiversity and ecosystems,","ground operations, cargo, catering, maintenance, and 61 61",61,,
E4-2,Policies related to biodiversity and ecosystems,E4; 104 63 63,63,104,
E4-4,Targets related to biodiversity and ecosystems,E4; 105 63 63,63,105,
E5-1,Policies related to resource use and circular economy,E5; 106 63 63,63,106,
E5-2,Actions and resources related to resource use and circular economy,E5; 107 63 63,63,107,
