Code,Name,Description,Page Range,Relevant Pages,Section Reference
,"Table 47 | Disclosure requirement | ESRS 2 General disclosures | 73, 115 | administrative, management and supervisory bodies | business model | opportunities | risks and opportunities | Disclosure requirement | business model | concerns | Taking action on material impacts on own workforce, and approaches to mitigating | effectiveness of those actions | and managing material risks and opportunities | business mode | to raise concerns | Taking action on material impacts on consumers and end-users, and approaches to | and end-users, and effectiveness of those actions | Disclosure requirement | Entity specific disclosure – social engagement | business mode | Social engagement policy | Targets related to the area of social engagement and activities implemented during | the reported period | Amount donated to charity in the reported period",Compliance with ESRS standard 139 139 | Full name of the disclosure requirement Page 139 139 | 139 139 | Full name of the disclosure requirement Page 140 140 | 140 140 | Full name of the disclosure requirement nan 141 141 | nan 141 141 | 124.0 141 141 | 125.0 141 141,139,"47,73,115",
BP-1,General basis for preparation of sustainability statements,88 139 139,139,88,
BP-2,Disclosures in relation to specific circumstances,88 139 139,139,88,
E1,Climate change,139 139,139,,
G1,Business conduct,nan 141 141,141,,
GOV-1,"The role of the administrative, management and supervisory bodies","67, 69, 139 139",139,"67,69",
GOV-2,Information provided to and sustainability matters addressed by the undertaking’s,"73, 89 139 139",139,"73,89",
GOV-3,Integration of sustainability-related performance in incentive schemes,"82, 83 139 139 | 96 139 139",139,"82,83,96",
GOV-4,Statement on due diligence,90 139 139,139,90,
GOV-5,Risk management and internal controls over sustainability reporting,60 139 139,139,60,
IRO-1,"Description of the processes to identify and assess material impacts, risks and | Description of the processes to identify and assess material climate-related impacts, | Description of the processes to identify and assess material impacts, risks and opportunities",92 139 139 | 97 139 139 | 125.0 141 141,139,"92,97",
IRO-2,Disclosure requirements in ESRS covered by the undertaking’s sustainability statement,139 139 139,139,,
S1,Own workforce,140 140,140,,
S4,Consumers and end-users,140 140,140,,
SBM-1,"Strategy, business model and value chain","9, 14, 18 139 139",139,"14,18",
SBM-2,Interests and views of stakeholders,90 139 139 | 109 140 140 | 118 140 140,139,"90,109,118",
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and","25, 92 139 139 | 109 140 140 | 119 140 140 | 123.0 141 141",139,"25,92,109,119",
